VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID OBJECT_CAT CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F001      CF000 1192.68293  885.41463     47.57318    -85.88545 -29.6709  20.71122  5.69791   52          48 1687.84279  1968.55109  1086.312     0.35802      30.56875     31.60938     33.03125     34.09375     35.26875       35.92188     1714.375             NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F002      CF000 1208.96429  867.51786     47.04439    -85.34153 -29.56693 14.76122  6.18052   33          31 1688.69502  1982.35655  1065.89768   0.45         30.2125      31.375       32.375       33.1875      34.05          34.25        1064.625             NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F003      CF000 1312.53659  825.09756     45.50399    -81.63231  -2.04134 14.06236  2.35494   24          24 2012.24802  2512.77885   372.32324   0.076923     31.20625     31.51562     32.34375     32.9375      33.8375        34.45937      779.3125            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F004      CF000 1330.80769  822.26923     45.34376    -80.96494 -15.89245 11.26077  5.63038   33          33 1817.54903  2256.1214    812.76061   0.29032      30.6125      31.6875      33.5625      34.875       35.75          36.2125      1103.4375            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F005      CF000 1473.08696  793.34783     43.79997    -75.94505   0.39156 15.02015  5.98619   44          42 2087.07952  2648.50163   375.14533   0.37589      30.56875     31.28125     32.625       35.625       37.56875       37.86562     1467.25              NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F006      CF000 1456.25     790.95        43.84071    -76.57563  -0.16931 16.00584  8.01179   50          49 1970.54061  2504.61326   596.83982   0.40476      32.04375     34.5         36.71875     40.26562     42.91875       43.94687     1857.4375            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F007      CF000 1123.25758  533.31818     38.36015    -89.78094  15.44168 14.12827  6.04967   43          40 1490.04324  1914.88343   315.59316   0.27119      30.225       30.71875     31           31.375       31.7875        31.86875     1332.5               NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F008      CF000 1165.20465  524.06047     38.00802    -88.37626   4.86305 28.98038 10.55742  173         162 1639.56977  2077.9412     52.1475    0.17225      30.375       31.5         33.0625      34.6875      35.5625        36.3375      5711.0625            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F009      CF000 1136.43713  516.13174     37.86765    -89.38134 -84.65469 15.58688 13.3161   131         122 1397.13792  1676.64306   835.916     0.17868      30.125       30.625       31.6875      33           35             36.71875     4194.875             NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 080000    20241201_010000 000000     000000   20241201_005840 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F010      CF000 1489.8      167.7         27.28171    -79.7886   53.85321  7.79433  4.03754   18          16 1722.16372  2190.47879   644.42208   0.18182      31.38125     33.60938     36.09375     39.35938     42.50625       42.85938      647                 NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
