VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG   LENGTH   WIDTH    AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F001       CF000 1180.91489  883.70213     47.56657    -86.35465 -40.66793  11.28139  4.56172   30          30 1654.63955  1852.76385  1216.79465   0.22078      31.0375      31.6875      32.34375     33.34375     33.6875        33.75625      970.4375       NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F002       CF000 1198.02857  871.57143     47.18932    -85.74578 -31.77124   7.73359  4.98022   23          23 1663.91597  1890.00649  1179.57748   0.098039     31.0875      31.875       32.8125      34.46875     34.875         35.1          758.25         NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F003       CF000 1204.55405  862.21622     46.91957    -85.53954 -17.31695  20.22238  7.39058   43          41 1720.13706  2077.26565   915.53896   0.5567       30.4         31.0625      31.625       33.59375     34.525         34.79375     1392.625        NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F004       CF000 1220.62745  845.64706     46.42435    -85.00514 -25.49592  13.84452  4.04091   31          31 1703.63038  2048.55849   954.36702   0.2619       30.4375      30.90625     31.3125      31.59375     31.8125        31.9375       968.0625       NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F005       CF000 1199.10526  843.42105     46.44061    -85.84336  -3.56925  10.16737  3.42996   23          23 1782.23717  2201.3139    692.67688   0.19298      30.375       30.625       30.9375      31.21875     31.375         31.43125      711.3125       NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F006       CF000 1310.20435  821.57826     45.42183    -81.74299   2.97684  53.92713  7.76954  164         159 2170.11434  2662.00703   121.46422   0.4623       30.74375     32.1875      33.90625     36.07812     40.25625       43.075       5680            NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F007       CF000 1464.22222  800.20165     44.03398    -76.20768  28.31665  59.19599  7.17532  160         146 1947.19289  2463.77758   711.26373   0.51807      30.54375     32.20312     34.4375      40.70312     44.94375       46.64375     5806.6875       NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F008       CF000 1251.13208  529.24528     37.88072    -85.43572 -19.35911  22.18407  6.80823   62          49 1651.92183  2129.79475   195.59497   0.48333      26.68125     32.15625     33.75        34.70312     36.18125       36.42813     2016.5625       NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F009       CF000 1198.47333  524.8         37.93354    -87.24139  -0.079303 23.99859  8.00138  115         104 1729.57077  2167.903     -58.1432    0.20415      30.025       30.59375     31.4375      32.625       33.35          33.5375      3627            NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_040000 000000     000000   20241201_035834 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        O001       CO000 1483.92157  808.33333     44.1228     -75.42087  15.30375  10.70115  5.70571   31          25 1940.68463  2438.18102   822.77808   0.30337      28.5         30           31           32           32.5           32.5          957.5          NA                 NA               NA    NA         NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
