VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG LENGTH   WIDTH    AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F001       CF000 1227.69444  845.61111     46.39757    -84.73412 12.88117 10.64006  4.42831   19          19 1902.9069   2362.41433   512.20139    0.44118     30.375       30.375        30.5625     31.15625       31.9         32.0125       585.875       NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F002       CF001 1318.37584  820.7651      45.36275    -81.44138  5.32685 39.11008  6.75857   97          93 2229.44643  2716.66613    44.02601    0.5101      30.75        31.375        32.75       34.5625        35.775       37.225       3220.1875      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F003       CF000 1457.13333  797.5         44.00671    -76.48839 56.15834  9.15546  3.60554   16          14 2067.76868  1749.2036   1993.79053    0.30435     30.65625     34.17188      38          39.51562       41.875       43.07812      589           NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          O001       CO001 1326.47273  822           45.35731    -81.12932  8.22789 16.26464  3.97089   32          30 2239.51883  2729.30421    39.52321    0.35354     30.05        31            31.5        32.5           33           33.5         1013           NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS     F001_O001 CF000_CO001   NA         NA           NA           NA       NA       NA       NA         NA          NA   NA          NA          NA         NA           NA           NA            NA          NA             NA           NA             NA          101.56099      88.76936         88.76936    4.65328    0.17205     0.59375                 0         51             51                0               0.84969          0.80135                    0.9556   0.52994
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS     F002_O001 CF001_CO001   NA         NA           NA           NA       NA       NA       NA         NA          NA   NA          NA          NA         NA           NA           NA            NA          NA             NA           NA             NA            8.19052       0                0          2.90103    0.071334    3.03125                29        100             71                0.90625         0.9955           0.69307                    0.89993  0.81273
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS     F003_O001 CF000_CO001   NA         NA           NA           NA       NA       NA       NA         NA          NA   NA          NA          NA         NA           NA           NA            NA          NA             NA           NA             NA          132.93774     122.02459        122.02459   47.93045    0.14967     0.5                     0         48             48                0               0.92331          0.86087                    0.77766  0.38187
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS         CF001       CF001 1318.37584  820.7651      45.36275    -81.44138  5.32685 39.11008  6.75857   97          93 2229.44643  2716.66613    44.02601    0.5101      30.75        31.375        32.75       34.5625        35.775       37.225       3220.1875      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS         CO001       CO001 1326.47273  822           45.35731    -81.12932  8.22789 16.26464  3.97089   32          30 2239.51883  2729.30421    39.52321    0.35354     30.05        31            31.5        32.5           33           33.5         1013           NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 020000    20241201_050000 000000     000000   20241201_045832 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS   CF001_CO001 CF001_CO001   NA         NA           NA           NA       NA       NA       NA         NA          NA   NA          NA          NA         NA           NA           NA            NA          NA             NA           NA             NA            8.19052       0                0          2.90103    0.071334    3.03125                29        100             71                0.90625         0.9955           0.69307                    0.89993  0.81273
