VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG   LENGTH   WIDTH    AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F001       CF000 1133.15789  925.86842     48.82177    -88.05903 -78.4791    9.41784  3.91941   24          24 1664.37168  1506.2464   1625.61852    0.17241     26.0625      26.26562     26.9375      28.26562     28.94375       29.31875      656.9375      NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F002       CF000 1155.86792  886.96226     47.72983    -87.32283 -60.36834  15.25526  4.34611   31          29 1631.66228  1676.45042  1405.19383    0.34043     25.875       27.8125      29.6875      31.6875      35.5           36.53125      931.1875      NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F003       CF000 1185.14634  879.17073     47.43309    -86.21081  -8.10828   8.20211  5.94002   26          24 1671.80368  1938.72212  1101.72602    0.23529     25.4375      26.34375     28.53125     30.4375      31.71875       32.39062      738           NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F004       CF000 1167.73913  874.78261     47.372      -86.91156 -17.00532  11.98136  4.03867   29          27 1692.78944  2022.70157   950.30283    0.21622     25.5625      27.3125      29.75        31.125       33.325         39.6375       870.875       NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F005       CF000 1190.46939  871.87755     47.22276    -86.03849  58.16817   9.43394  6.35771   32          29 1672.10786  1624.76523  1527.57185    0.25581     25.38125     26.40625     28.9375      31.15625     32.73125       34.05938      941.4375      NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F006       CF000 1158.23214  861.96429     47.06102    -87.33883 -24.61098  13.82506  5.30245   36          36 1649.52214  1940.07126  1020.55519    0.25        26.40625     28.51562     30.40625     34.03125     38.125         40.8125      1138.0625      NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F007       CF004 1181.32143  857.42857     46.87008    -86.46276 -48.05213   5.72413  4.98038   17          15 1632.19125  1787.08002  1265.34548    0.17073     24.3125      26.875       29.8125      35.875       38.675         39.2          524.875       NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F008       CF000 1190.75251  834.75251     46.23856    -86.2058  -59.06745  42.87277 10.45403  235         230 1626.68333  1757.38969  1293.20879    0.30267     25.875       27.40625     29.9375      32.21875     33.4375        34.125       7005.125       NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F009       CF000 1205.02857  847.14286     46.519      -85.59708 -42.17629   8.47498  4.30716   22          22 1651.0012   1874.64639  1175.2669     0.15385     26.25        26.75        27.84375     29.09375     29.68125       29.98438      615.375       NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_130000 000000     000000   20241201_125839 000000    1        >=25     1       >=25    REFC     dB         L0       REFC    dB        R1      MRMS          F010       CF005 1220.69048  808.34524     45.43558    -85.19539 -65.57541  14.23404  8.93803   53          45 1638.35195  1792.85222  1270.19304    0.38012     23.8125      27.0625      29.75        33.625       37.65          39.75        1605.875       NA            NA               NA         NA        NA           NA                      NA         NA             NA              NA               NA               NA                         NA       NA
