VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID OBJECT_CAT CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH   AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F001      CF000 1160.37838  877.48649     47.46578    -87.18741 -60.82595 13.01682 2.72121   18          16 1629.3996   1682.26591  1393.33615   0.37931      29.98125     36.45312     38.1875      39.21875     40.01875       40.39062      667.5               NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F002      CF000 1182.33333  856.91667     46.85328    -86.42595 -12.4333   7.69704 4.7674    24          23 1664.22714  1963.08872  1023.79456   0.058824     31.06875     35.07812     40.65625     42.70312     45.2875        46.84687      934.4375            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F003      CF000 1194.3      844.18182     46.47685    -86.0245  -56.4471  23.57203 6.66701   75          72 1635.3065   1779.66445  1282.97302   0.34783      30.5375      31.0625      31.8125      32.96875     34.2875        36.15        2428.75              NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F004      CF000 1169.35821  846.34328     46.61357    -86.97593 -38.98308 16.24798 5.88604   41          38 1623.04194  1854.93889  1130.11709   0.36434      30.3125      30.9375      32.4375      35.125       40.875         42.3125      1392.8125            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F005      CF000 1197.96774  827.48387     46.0219     -85.96432 -41.624    7.14208 4.9828    19          18 1630.49665  1849.9343   1164.52584   0.19149      30.55        30.78125     31.75        32.09375     32.4125        32.81875      598.625             NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F006      CF000 1213.27083  805.5         45.38623    -85.49021 -44.76254 13.43784 3.5736    28          27 1634.03699  1896.11505  1093.47253   0.31707      34.2625      35.85938     38           39.51562     40.33125       42.8125      1055.9375            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F007      CF000 1471.12308  798.94615     43.95846    -75.96784  38.86394 27.94825 7.87763   89          86 2492.75528  1420.98405  2645.22064   0.48406      30.8625      31.8125      33.125       34.6875      40.3875        42.6125      3040.6875            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F008      CF000 1322.3      789.9         44.52978    -81.49757  -4.25043  9.12348 4.13723   26          24 1829.22707  2299.80674   655.27327   0.16129      30.5         31.53125     32.9375      34.82812     37.71875       39.34375      870.6875            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F009      CF000 1452.57895  788.68421     43.80355    -76.72775  17.6397  13.9039  5.11182   36          34 2084.92775  2639.49584   334.67242   0.28713      32.03125     34.71875     36.90625     39.79688     42.15625       43.6875      1335.125             NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 040000    20241201_150000 000000     000000   20241201_145836 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS        F010      CF000 1439.88571  783.97143     43.75549    -77.22707  30.69836  9.43153 3.76181   20          18 1841.16796  2076.96663  1328.15602   0.27273      31.125       35.01562     35.78125     38.14062     39.34375       39.64687      704.5625            NA            NA               NA         NA          NA         NA                NA         NA             NA                     NA              NA               NA                         NA       NA
