VERSION MODEL      DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID  OBS_LAT OBS_LON   OBS_LVL OBS_ELV FCST          OBS           OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV OBS_PRS    OBS_ERR_IN   OBS_ERR_ADJ   OBS_ERR_FIN   PREP_USE ANLY_USE SETUP_QC QC_WGHT
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  907.28337     907.79999         2             NA              NA            NA              NA               NA  907.79999      1.84301    1.84301       0.66319           0        1       NA 3.99941
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  907.35411     907.79999         2             NA              NA            NA              NA               NA  907.79999      1.84301    1.84301       0.70896           0        1       NA 3.99947
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  907.35412     907.5             2             NA              NA            NA              NA               NA  907.5          1.84301    1.84301       0.71921           0        1       NA 3.99961
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      183    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78762   10    -84.22        931     931  907.33049     905.09998         9             NA              NA            NA              NA               NA  905.09998      1e-09      1e-09         1e-09           101       -1       NA 3.99962
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      180    NA      NA          0           NA          NA         NA         NA    MPR           1     0 MASKSTID   10    -86.39999       0       0 1008.46331    1009               2             NA              NA            NA              NA               NA 1009            1.86442    1.86442       1.86442           0        1       NA 3.99938
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  293.61584     295.85001         9             NA              NA            NA              NA               NA  907.79999      0.79423    0.79423       1e-10           101       -1        0 3.98616
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  293.61583     294.64999         9             NA              NA            NA              NA               NA  907.79999      0.79423    0.79423       1e-10           101       -1        0 3.99597
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        931     931  293.61583     294.64999         9             NA              NA            NA              NA               NA  907.5          0.79423    0.79423       1e-10           101       -1        0 3.99597
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      183    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78762   10    -84.22        931     931  293.61582     295.04999         9             NA              NA            NA              NA               NA  905.09998      0.70413    0.70413       1e-10           102       -1        0 3.99522
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      180    NA      NA          0           NA          NA         NA         NA    MPR           1     0 MASKSTID   10    -86.39999       0       0  303.58808     302.54999         2             NA              NA            NA              NA               NA 1009            1.07772    1.07772       0.49009           0        1        0 3.99463
