VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_ENS CRPS      CRPSS IGN      ME         RMSE      SPREAD   ME_OERR RMSE_OERR SPREAD_OERR SPREAD_PLUS_OERR CRPSCL CRPS_EMP   CRPSCL_EMP CRPSS_EMP CRPS_EMP_FAIR SPREAD_MD  MAE        MAE_OERR BIAS_RATIO  N_GE_OBS ME_GE_OBS  N_LT_OBS ME_LT_OBS IGN_CONV_OERR IGN_CORR_OERR
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           NA          NA         NA         NA    ECNT       1125     6  8.21904     NA  6.53721  0.97455   12.52909  9.16021       NA        NA          NA               NA     NA 3.89086            NA        NA    3.49045    4.80493     5.27874         NA  0.26157        5685 4.07699        1065 -15.58639            NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           NA          NA         NA         NA    ECNT       1116    24  7.78383     NA  8.24891 NA         NA        9.69587       NA        NA          NA               NA     NA 3.56073            NA        NA    3.45594    5.02999    NA               NA  0.27748       22558 4.2322         4226 -15.25216            NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           NA          NA         NA         NA    ECNT         35     6  0.39839     NA  0.30765  0.31286    0.65349  0.90462       NA        NA          NA               NA     NA 0.11421            NA        NA    0.074476   0.47676     0.31286         NA NA               210 0.31286           0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           NA          NA         NA         NA    ECNT         35    24  0.38481     NA  0.21802 NA         NA        1.10719       NA        NA          NA               NA     NA 0.1077             NA        NA    0.097267   0.50094    NA               NA NA               840 0.34774           0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 NEAREST     1           NA          NA         NA         NA    ECNT         64     6 NA           NA NA        0          0        0             NA        NA          NA               NA     NA 0                  NA        NA    0          0           0               NA NA               384 0                 0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1803 HIRA_SQUARE 4           NA          NA         NA         NA    ECNT         64    24  0.025542    NA -1.3424  NA         NA        0.012758      NA        NA          NA               NA     NA 1.3563e-05         NA        NA    0          0.00065104 NA               NA NA              1536 0.00032552        0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 NEAREST     1           NA          NA         NA         NA    ECNT         79     6  0.085947    NA -0.71975  0.024473   0.076169 0.17553       NA        NA          NA               NA     NA 0.0046414          NA        NA    0.00067511 0.047595    0.024473        NA NA               474 0.024473          0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1804 HIRA_SQUARE 4           NA          NA         NA         NA    ECNT         79    24  0.092162    NA -0.80303 NA         NA        0.1907        NA        NA          NA               NA     NA 0.0047293          NA        NA    0.0036507  0.05177    NA               NA NA              1896 0.029536          0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 NEAREST     1           NA          NA         NA         NA    ECNT         45     6  0.62355     NA  3.56689 -0.053926   0.20948  0.096762      NA        NA          NA               NA     NA 0.045877           NA        NA    0.043852   0.024296    0.053926        NA  0.0012678       253 0.0011067        17  -0.87294            NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1805 HIRA_SQUARE 4           NA          NA         NA         NA    ECNT         45    24  0.37503     NA  0.76177 NA         NA        0.091069      NA        NA          NA               NA     NA 0.044101           NA        NA    0.043631   0.022552   NA               NA  0.00081626     1009 0.00067393       71  -0.82563            NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 NEAREST     1           NA          NA         NA         NA    ECNT         78     6 NA           NA NA        0          0        0             NA        NA          NA               NA     NA 0                  NA        NA    0          0           0               NA NA               468 0                 0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1806 HIRA_SQUARE 4           NA          NA         NA         NA    ECNT         78    24 NA           NA NA       NA         NA        0             NA        NA          NA               NA     NA 0                  NA        NA    0          0          NA               NA NA              1872 0                 0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 240000   20100101_120000 20100101_120000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP FULL      NEAREST     1           NA          NA         NA         NA    ECNT      15480     6  6.79265     NA  5.86983  2.13749   10.75308  7.19206       NA        NA          NA               NA     NA 3.44286            NA        NA    3.15368    3.47015     4.47633         NA  0.3721        81068 4.025         11812 -10.81686            NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 240000   20100101_120000 20100101_120000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP HUC4_1605 NEAREST     1           NA          NA         NA         NA    ECNT        398     6  0.20833     NA -0.65668  0.11072    0.46432  0.56145       NA        NA          NA               NA     NA 0.04658            NA        NA    0.033752   0.15394     0.11072         NA NA              2388 0.11072           0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 240000   20100101_120000 20100101_120000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP HUC4_1803 NEAREST     1           NA          NA         NA         NA    ECNT        540     6  0.052611    NA -0.95926  0.0010802  0.010418 0.024932      NA        NA          NA               NA     NA 0.00019033         NA        NA    1.2346e-05 0.0021358   0.0010802       NA NA              3240 0.0010802         0  NA                  NA            NA
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 240000   20100101_120000 20100101_120000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP HUC4_1804 NEAREST     1           NA          NA         NA         NA    ECNT        503     6  0.1367      NA -0.36308  0.037674   0.11939  0.27074       NA        NA          NA               NA     NA 0.0074497          NA        NA    0.0014049  0.072538    0.037674        NA NA              3018 0.037674          0  NA                  NA            NA
