VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_TP_1   ON_TP_1 CALIBRATION_1 REFINEMENT_1 LIKELIHOOD_1 BASER_1  THRESH_2 OY_TP_2   ON_TP_2   CALIBRATION_2 REFINEMENT_2 LIKELIHOOD_2 BASER_2  THRESH_3 OY_TP_3  ON_TP_3   CALIBRATION_3 REFINEMENT_3 LIKELIHOOD_3 BASER_3  THRESH_4 OY_TP_4 ON_TP_4   CALIBRATION_4 REFINEMENT_4 LIKELIHOOD_4 BASER_4  THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0         NA         NA    PJC        1125        5        0 0.0062222 0.56889      0.010819      0.57511     0.018041 0.010819     0.25 0.0071111 0.016889        0.2963     0.024         0.020619  0.2963       0.5 0.011556 0.019556        0.37143    0.031111      0.033505  0.37143     0.75 0.32    0.049778        0.86538    0.36978        0.92784  0.86538        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.1       NA         NA    PJC        1125        5        0 0.0071111 0.57956      0.012121      0.58667     0.020619 0.012121     0.25 0.0071111 0.012444        0.36364    0.019556      0.020619  0.36364      0.5 0.016    0.022222        0.4186     0.038222      0.046392  0.4186      0.75 0.31467 0.040889        0.885      0.35556        0.91237  0.885          1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.25      NA         NA    PJC        1125        5        0 0.0062222 0.58578      0.010511      0.592       0.018817 0.010511     0.25 0.008     0.016889        0.32143    0.024889      0.024194  0.32143      0.5 0.015111 0.024889        0.37778    0.04          0.045699  0.37778     0.75 0.30133 0.041778        0.87824    0.34311        0.91129  0.87824        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.5       NA         NA    PJC        1125        5        0 0.014222  0.59644      0.02329       0.61067     0.043011 0.02329      0.25 0.0044444 0.016           0.21739    0.020444      0.013441  0.21739      0.5 0.017778 0.024889        0.41667    0.042667      0.053763  0.41667     0.75 0.29422 0.032           0.90191    0.32622        0.88978  0.90191        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >1.0       NA         NA    PJC        1125        5        0 0.014222  0.61156      0.022727      0.62578     0.045584 0.022727     0.25 0.0062222 0.018667        0.25       0.024889      0.019943  0.25         0.5 0.016    0.021333        0.42857    0.037333      0.051282  0.42857     0.75 0.27556 0.036444        0.88319    0.312          0.88319  0.88319        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >1.5       NA         NA    PJC        1125        5        0 0.012444  0.62578      0.019499      0.63822     0.042042 0.019499     0.25 0.0062222 0.018667        0.25       0.024889      0.021021  0.25         0.5 0.016889 0.021333        0.44186    0.038222      0.057057  0.44186     0.75 0.26044 0.038222        0.87202    0.29867        0.87988  0.87202        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >2.0       NA         NA    PJC        1125        5        0 0.011556  0.63644      0.017833      0.648       0.040123 0.017833     0.25 0.0062222 0.014222        0.30435    0.020444      0.021605  0.30435      0.5 0.022222 0.024889        0.4717     0.047111      0.07716   0.4717      0.75 0.248   0.036444        0.87187    0.28444        0.86111  0.87187        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0         NA         NA    PJC        1125        5        0 0.0062222 0.56444      0.010903      0.57067     0.018041 0.010903     0.25 0.010667  0.024889        0.3        0.035556      0.030928  0.3          0.5 0.010667 0.016889        0.3871     0.027556      0.030928  0.3871      0.75 0.31733 0.048889        0.8665     0.36622        0.9201   0.8665         1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PJC        1125        5        0 0.0062222 0.576        0.010687      0.58222     0.018041 0.010687     0.25 0.012444  0.023111        0.35       0.035556      0.036082  0.35         0.5 0.013333 0.016           0.45455    0.029333      0.03866   0.45455     0.75 0.31289 0.04            0.88665    0.35289        0.90722  0.88665        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PJC        1125        5        0 0.008     0.584        0.013514      0.592       0.024194 0.013514     0.25 0.0097778 0.021333        0.31429    0.031111      0.02957   0.31429      0.5 0.015111 0.019556        0.4359     0.034667      0.045699  0.4359      0.75 0.29778 0.044444        0.87013    0.34222        0.90054  0.87013        1
