VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH BASER    BASER_NCL  BASER_NCU RELIABILITY RESOLUTION UNCERTAINTY ROC_AUC  BRIER    BRIER_NCL   BRIER_NCU BRIERCL BRIERCL_NCL BRIERCL_NCU BSS BSS_SMPL  THRESH_1 THRESH_2 THRESH_3 THRESH_4 THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0         NA         0.05  PSTD       1125        5 0.34489  0.31768    0.37315     0.0096811   0.16444     0.22594   0.94905 0.071181  0.029507    0.11285       NA          NA          NA  NA  0.68496         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.1       NA         0.05  PSTD       1125        5 0.34489  0.31768    0.37315     0.0091414   0.1689      0.22594   0.95416 0.066181  0.024664    0.1077        NA          NA          NA  NA  0.70709         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.25      NA         0.05  PSTD       1125        5 0.33067  0.30379    0.35869     0.01028     0.16365     0.22133   0.95456 0.067958  0.027804    0.10811       NA          NA          NA  NA  0.69295         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >0.5       NA         0.05  PSTD       1125        5 0.33067  0.30379    0.35869     0.0089132   0.16473     0.22133   0.95001 0.065514  0.02558     0.10545       NA          NA          NA  NA  0.70399         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >1.0       NA         0.05  PSTD       1125        5 0.312    0.2856     0.33967     0.0083958   0.15476     0.21466   0.94583 0.068292  0.030166    0.10642       NA          NA          NA  NA  0.68186         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >1.5       NA         0.05  PSTD       1125        5 0.296    0.27006    0.32333     0.0087773   0.14876     0.20838   0.94674 0.068403  0.031769    0.10504       NA          NA          NA  NA  0.67175         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      NEAREST     1           ==0.25000   >2.0       NA         0.05  PSTD       1125        5 0.288    0.2623     0.31515     0.0086542   0.14586     0.20506   0.9484  0.067847  0.032087    0.10361       NA          NA          NA  NA  0.66913         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0         NA         0.05  PSTD       1125        5 0.34489  0.31768    0.37315     0.009215    0.16342     0.22594   0.949   0.071736  0.030161    0.11331       NA          NA          NA  NA  0.6825          0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.1       NA         0.05  PSTD       1125        5 0.34489  0.31768    0.37315     0.0085306   0.16896     0.22594   0.95564 0.065514  0.024058    0.10697       NA          NA          NA  NA  0.71004         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.25      NA         0.05  PSTD       1125        5 0.33067  0.30379    0.35869     0.0087206   0.15953     0.22133   0.94946 0.070514  0.030497    0.11053       NA          NA          NA  NA  0.6814          0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.5       NA         0.05  PSTD       1125        5 0.33067  0.30379    0.35869     0.0090578   0.16509     0.22133   0.95186 0.065292  0.025453    0.10513       NA          NA          NA  NA  0.705           0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >1.0       NA         0.05  PSTD       1125        5 0.312    0.2856     0.33967     0.0077876   0.15304     0.21466   0.94457 0.069403  0.031427    0.10738       NA          NA          NA  NA  0.67668         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >1.5       NA         0.05  PSTD       1125        5 0.296    0.27006    0.32333     0.0098886   0.15109     0.20838   0.94852 0.067181  0.030543    0.10382       NA          NA          NA  NA  0.67761         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >2.0       NA         0.05  PSTD       1125        5 0.288    0.2623     0.31515     0.0098401   0.14905     0.20506   0.95016 0.065847  0.029956    0.10174       NA          NA          NA  NA  0.67888         0     0.25      0.5     0.75        1
