VERSION MODEL DESC   FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_ENS RELP_1     RELP_2     RELP_3     RELP_4     RELP_5
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          NA         NA         NA    RELP        311     5   92.5       69.66667   66.66667   34         48.16667
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >0         NA         NA    RELP         66     5   17         14          3         22         10
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >=2.54     NA         NA    RELP         33     5   11          6          1         10          5
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          NA         NA         NA    RELP        226     5   74.58333   47.91667   46.91667   28.41667   28.16667
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >0         NA         NA    RELP         60     5   15         14          4         19          8
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >=2.54     NA         NA    RELP         32     5    9          6          1          9          7
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC GRB     NEAREST     1           NA          NA         NA         NA    RELP          4     5    1          1          1          0          1
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RELP      26026     5 4692       4809       6339       6433       3753
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RELP       2461     5  497        651        519        424        370
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RELP       5122     5 1006       1122       1099       1350        545
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RELP      15061     5 3074.21667 4239.71667 3442.21667 2789.71667 1515.13333
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >0         NA         NA    RELP       3495     5  564.38333  731.63333  956.8      700.46667  541.71667
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >=2.54     NA         NA    RELP        966     5  161        354        163        188        100
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RELP       1947     5  472.76667  391.68333  301.18333  460.93333  320.43333
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >0         NA         NA    RELP       1512     5  290.43333  316.18333  207.1      443.68333  254.6
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >=2.54     NA         NA    RELP        386     5   43        141         24        139         39
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RELP        121     5   27.45      24.45      24.45      18.7       25.95
V12.0.0 FCST  OBSERR 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          >0         NA         NA    RELP         84     5   18.2       15.2       15.2       15.2       20.2
