VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_ENS RELP_1     RELP_2     RELP_3     RELP_4     RELP_5
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          NA         NA         NA    RELP        311     5   96.75      68.25      65.25      33         47.75
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >0         NA         NA    RELP         66     5   21.25      12.58333    1.58333   21          9.58333
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >=2.54     NA         NA    RELP         33     5   11          6          1         10          5
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          NA         NA         NA    RELP        226     5   78.83333   46.5       44.5       28.41667   27.75
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >0         NA         NA    RELP         60     5   19.25      12.58333    1.58333   19          7.58333
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >=2.54     NA         NA    RELP         32     5   10          6          1         10          5
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC GRB     NEAREST     1           NA          NA         NA         NA    RELP          4     5    1          1          1          0          1
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RELP      26026     5 4692       4809       6339       6433       3753
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RELP       2461     5  497        651        519        424        370
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RELP       5122     5 1006       1122       1099       1350        545
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RELP      15061     5 3041.91667 4219.83333 3375.83333 2873.16667 1550.25
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >0         NA         NA    RELP       3495     5  532.08333  711.75     890.41667  783.91667  576.83333
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >=2.54     NA         NA    RELP        966     5  162.4      342.4      159.4      204.4       97.4
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RELP       1947     5  439.61667  369.95     265.45     519.28333  352.7
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >0         NA         NA    RELP       1512     5  257.28333  294.45     171.36667  502.03333  286.86667
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >=2.54     NA         NA    RELP        386     5   43        132         23        154         34
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RELP        121     5   25.25      25.25      25.25      23.5       21.75
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          >0         NA         NA    RELP         84     5   16         16         16         20         16
