VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_RANK RANK_1 RANK_2 RANK_3 RANK_4 RANK_5 RANK_6
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          NA         NA         NA    RHIST       311      6     75     57     59     47     61     12
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >0         NA         NA    RHIST        66      6      1      1      4     13     35     12
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >=2.54     NA         NA    RHIST        33      6      0      0      0      2     23      8
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          NA         NA         NA    RHIST       226      6     37     54     43     34     48     10
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >0         NA         NA    RHIST        60      6      1      1      4     11     33     10
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >=2.54     NA         NA    RHIST        32      6      0      0      0      2     22      8
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC GRB     NEAREST     1           NA          NA         NA         NA    RHIST         4      6      0      1      0      1      2      0
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RHIST     26026      6   8907   2960   2300   2367   3089   6403
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RHIST      2461      6    664    300    234    196    355    712
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RHIST      5122      6   1700    324    207    251    412   2228
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          NA         NA         NA    RHIST     15061      6   7990   2807   1379   1008    925    952
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >0         NA         NA    RHIST      3495      6    805    450    265    406    617    952
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS FULL    NEAREST     1           NA          >=2.54     NA         NA    RHIST       966      6     56    133     70     42    252    413
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          NA         NA         NA    RHIST      1947      6    172    271    147    264    505    588
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >0         NA         NA    RHIST      1512      6     27    155     75    214    453    588
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS NWC     NEAREST     1           NA          >=2.54     NA         NA    RHIST       386      6      0      1      4     10    143    228
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          NA         NA         NA    RHIST       121      6      9      8      6      5      9     84
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 360000   20120412_000000 20120412_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ANALYS GRB     NEAREST     1           NA          >0         NA         NA    RHIST        84      6      0      0      0      0      0     84
