VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER    VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2    CL_3 VALUE_3    CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11   CL_12 VALUE_12   CL_13 VALUE_13   CL_14 VALUE_14   CL_15 VALUE_15  CL_16 VALUE_16   CL_17 VALUE_17   CL_18 VALUE_18   CL_19 VALUE_19
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           <300        <300       NA         NA    ECLV      14162 0.88278     0.91219     19 0.05  -5.31627   0.1  -2.01506  0.15 -0.91466    0.2 -0.36446  0.25 -0.034337  0.3  0.18574  0.35  0.34294   0.4  0.46084  0.45  0.55254    0.5  0.6259    0.55  0.68593     0.6  0.73594    0.65  0.77827     0.7  0.81454    0.75  0.84598    0.8  0.87349    0.85   0.89777    0.9   0.90362   0.95   0.84522
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           >=300       >=300      NA         NA    ECLV      14162 0.11722     0.91219     19 0.05   0.84522   0.1   0.90362  0.15  0.89777    0.2  0.87349  0.25  0.84598   0.3  0.81454  0.35  0.77827   0.4  0.73594  0.45  0.68593    0.5  0.6259    0.55  0.55254     0.6  0.46084    0.65  0.34294     0.7  0.18574    0.75 -0.034337   0.8 -0.36446    0.85  -0.91466    0.9  -2.01506   0.95  -5.31627
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           <300        <300       NA         NA    ECLV       5558 0.95988     0.73387     19 0.05  -8.10762   0.1  -3.44395  0.15 -1.88939    0.2 -1.11211  0.25 -0.64574   0.3 -0.33483  0.35 -0.11275   0.4  0.053812 0.45  0.18336    0.5  0.287     0.55  0.37179     0.6  0.44245    0.65  0.50224     0.7  0.55349    0.75  0.59791    0.8  0.63677    0.85   0.67106    0.9   0.70154   0.95   0.72882
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           >=300       >=300      NA         NA    ECLV       5558 0.040122    0.73387     19 0.05   0.72882   0.1   0.70154  0.15  0.67106    0.2  0.63677  0.25  0.59791   0.3  0.55349  0.35  0.50224   0.4  0.44245  0.45  0.37179    0.5  0.287     0.55  0.18336     0.6  0.053812   0.65 -0.11275     0.7 -0.33483    0.75 -0.64574    0.8 -1.11211    0.85  -1.88939    0.9  -3.44395   0.95  -8.10762
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           <300        <300       NA         NA    ECLV       6862 0.82046     0.93124     19 0.05  -3.85552   0.1  -1.30682  0.15 -0.45725    0.2 -0.032468 0.25  0.2224    0.3  0.39232  0.35  0.51368   0.4  0.60471  0.45  0.67551    0.5  0.73214   0.55  0.77848     0.6  0.8171     0.65  0.84978     0.7  0.87778    0.75  0.90206    0.8  0.9233     0.85   0.92812    0.9   0.91865   0.95   0.89023
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           >=300       >=300      NA         NA    ECLV       6862 0.17954     0.93124     19 0.05   0.89023   0.1   0.91865  0.15  0.92812    0.2  0.9233   0.25  0.90206   0.3  0.87778  0.35  0.84978   0.4  0.8171   0.45  0.77848    0.5  0.73214   0.55  0.67551     0.6  0.60471    0.65  0.51368     0.7  0.39232    0.75  0.2224     0.8 -0.032468   0.85  -0.45725    0.9  -1.30682   0.95  -3.85552
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS CONUS   NEAREST     1           <300        <300       NA         NA    ECLV       5479 0.97226     0.86469     19 0.05 -14.73684   0.1  -6.51316  0.15 -3.77193    0.2 -2.40132  0.25 -1.57895   0.3 -1.0307   0.35 -0.6391    0.4 -0.34539  0.45 -0.11696    0.5  0.065789  0.55  0.21531     0.6  0.33991    0.65  0.44534     0.7  0.53571    0.75  0.61404    0.8  0.68257    0.85   0.74303    0.9   0.79678   0.95   0.84488
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS CONUS   NEAREST     1           >=300       >=300      NA         NA    ECLV       5479 0.027742    0.86469     19 0.05   0.84488   0.1   0.79678  0.15  0.74303    0.2  0.68257  0.25  0.61404   0.3  0.53571  0.35  0.44534   0.4  0.33991  0.45  0.21531    0.5  0.065789  0.55 -0.11696     0.6 -0.34539    0.65 -0.6391      0.7 -1.0307     0.75 -1.57895    0.8 -2.40132    0.85  -3.77193    0.9  -6.51316   0.95 -14.73684
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS LMV     NEAREST     1           <300        <300       NA         NA    ECLV        524 1          NA           19 0.05  NA         0.1  NA        0.15 NA          0.2 NA        0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA         0.55 NA           0.6 NA          0.65 NA           0.7 NA          0.75 NA          0.8 NA          0.85  NA          0.9  NA         0.95  NA
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS LMV     NEAREST     1           >=300       >=300      NA         NA    ECLV        524 0          NA           19 0.05  NA         0.1  NA        0.15 NA          0.2 NA        0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA         0.55 NA           0.6 NA          0.65 NA           0.7 NA          0.75 NA          0.8 NA          0.85  NA          0.9  NA         0.95  NA
