VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FGBAR   OGBAR    MGBAR    EGBAR    S1       S1_OG     FGOG_RATIO DX DY
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    GRAD      13912 1.48613  1.43897  2.15001  1.69048 78.62659 117.4784     1.03277  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           NA          NA         NA         NA    GRAD       5558 1.776    2.10435  2.76232  2.07251 75.02768  98.48666    0.84396  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           NA          NA         NA         NA    GRAD       6862 1.36316  1.05261  1.83489  1.51632 82.63839 144.05372    1.29503  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS CONUS   NEAREST     1           NA          NA         NA         NA    GRAD       5479 1.87023  2.03924  2.83154  2.22997 78.75467 109.3529     0.91712  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 TMP      K          Z2       TMP     K         Z2      ANALYS LMV     NEAREST     1           NA          NA         NA         NA    GRAD        524 1.27672  0.86641  1.65458  1.52481 92.15686 175.99119    1.47357  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 RH       %          Z2       RH      %         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    GRAD      13912 8.10495  8.33    12.03903 10.5754  87.84264 126.95557    0.97298  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 RH       %          Z2       RH      %         Z2      ANALYS DTC165  NEAREST     1           NA          NA         NA         NA    GRAD       5558 8.29093 11.24379 14.3539  12.43001 86.59672 110.54998    0.73738  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 RH       %          Z2       RH      %         Z2      ANALYS DTC166  NEAREST     1           NA          NA         NA         NA    GRAD       6862 8.48645  6.86068 11.18216  9.89741 88.51066 144.26271    1.23697  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 RH       %          Z2       RH      %         Z2      ANALYS CONUS   NEAREST     1           NA          NA         NA         NA    GRAD       5479 9.01369 11.48987 15.09454 13.29932 88.10684 115.74826    0.78449  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 RH       %          Z2       RH      %         Z2      ANALYS LMV     NEAREST     1           NA          NA         NA         NA    GRAD        524 7.80725  6.30916 10.46756  9.93702 94.93163 157.50151    1.23745  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS FULL    NEAREST     1           NA          NA         NA         NA    GRAD      13912 1.62441  1.89502  2.55263  2.02104 79.17452 106.64998    0.8572   1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NEAREST     1           NA          NA         NA         NA    GRAD       5558 1.9106   2.67153  3.26582  2.47959 75.92565  92.81537    0.71517  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NEAREST     1           NA          NA         NA         NA    GRAD       6862 1.43647  1.4085   2.09395  1.71565 81.93379 121.80684    1.01986  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS CONUS   NEAREST     1           NA          NA         NA         NA    GRAD       5479 1.78802  2.40679  3.01341  2.28369 75.78432  94.88539    0.74291  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS LMV     NEAREST     1           NA          NA         NA         NA    GRAD        524 1.15005  0.86492  1.60865  1.48457 92.28678 171.64284    1.32966  1  1
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS FULL    NEAREST     1           NA          NA         NA         NA    GRAD      13912 1.644    1.89995  2.58447  2.07624 80.33509 109.27829    0.86528  1  1
