VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER    BASER_NCL BASER_NCU BASER_BCL BASER_BCU FMEAN    FMEAN_NCL FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY     PODY_NCL PODY_NCU PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD     POFD_NCL POFD_NCU POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU  CSI_BCL CSI_BCU GSS       GSS_BCL GSS_BCU HK         HK_NCL     HK_NCU   HK_BCL HK_BCU HSS        HSS_BCL HSS_BCU ODDS    ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS     LODDS_NCL  LODDS_NCU LODDS_BCL LODDS_BCU ORSS      ORSS_NCL   ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL    EDS_NCU EDS_BCL EDS_BCU SEDS      SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL   EDI_NCU EDI_BCL EDI_BCU SEDI      SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU HSS_EC  HSS_EC_BCL HSS_EC_BCU EC_VALUE
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC165  NEAREST     1           >0.0        >0.0       NA         0.1   CTS        2651 0.29347   0.27914   0.30823         NA        NA 0.54659   0.53064   0.56243         NA        NA 0.57714 0.56129 0.59284      NA      NA 1.86247        NA        NA 0.7108   0.6961   0.72506        NA       NA 0.52162  0.50565  0.53755       NA       NA 0.47838  0.46245  0.49435        NA       NA 0.61836 0.60273 0.63375      NA      NA 0.33035  0.3155   0.34554       NA      NA  0.10231       NA      NA  0.23242    0.20065   0.26419      NA     NA  0.18562        NA      NA 2.67997  2.30509  3.11581       NA       NA  0.9858    0.83512     1.13649        NA        NA  0.45652   0.39688    0.51616       NA       NA 0.5644    0.52685   0.60194      NA      NA  0.16761   0.13958   0.19563       NA       NA  0.36709   0.26518  0.469        NA      NA  0.3319    0.23542   0.42838       NA       NA  0.12292          NA        NA 0.15428         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC165  NEAREST     1           >0.0        >0.0       NA         0.05  CTS        2651 0.29347   0.27645   0.3111          NA        NA 0.54659   0.52758   0.56546         NA        NA 0.57714 0.55824 0.59582      NA      NA 1.86247        NA        NA 0.7108   0.69324  0.72774        NA       NA 0.52162  0.50259  0.54059       NA       NA 0.47838  0.45941  0.49741        NA       NA 0.61836 0.59971 0.63667      NA      NA 0.33035  0.3127   0.34848       NA      NA  0.10231       NA      NA  0.23242    0.19458   0.27026      NA     NA  0.18562        NA      NA 2.67997  2.2395   3.20706       NA       NA  0.9858    0.80625     1.16536        NA        NA  0.45652   0.38545    0.52758       NA       NA 0.5644    0.51966   0.60913      NA      NA  0.16761   0.13422   0.201         NA       NA  0.36709   0.24565  0.48853      NA      NA  0.3319    0.21694   0.44686       NA       NA  0.12292          NA        NA 0.15428         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC165  NEAREST     1           >=5.0       >=5.0      NA         0.1   CTS        2651 0.019238  0.015315  0.024141        NA        NA 0.02716   0.022429  0.032854        NA        NA 0.95587 0.94883 0.96198      NA      NA 1.41176        NA        NA 0.058824 0.051747 0.0668         NA       NA 0.97346  0.96782  0.97813       NA       NA 0.026538 0.021866 0.032176       NA       NA 0.95833 0.95147 0.96426      NA      NA 0.025    0.020476 0.030493      NA      NA  0.013614      NA      NA  0.032285  -0.025514  0.090085     NA     NA  0.026863       NA      NA 2.29257  0.84403  6.22716       NA       NA  0.82967  -0.16957     1.82892        NA        NA  0.39257  -0.030053   0.8152        NA       NA 0.16475   0.0065697 0.32292      NA      NA  0.11392  -0.037358  0.26519       NA       NA  0.12317  -0.04477  0.2911       NA      NA  0.12667  -0.047432  0.30077       NA       NA  0.01175          NA        NA 0.91173         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC165  NEAREST     1           >=5.0       >=5.0      NA         0.05  CTS        2651 0.019238  0.014663  0.025205        NA        NA 0.02716   0.021623  0.034065        NA        NA 0.95587 0.94737 0.96305      NA      NA 1.41176        NA        NA 0.058824 0.050489 0.068435       NA       NA 0.97346  0.96662  0.97893       NA       NA 0.026538 0.021071 0.033376       NA       NA 0.95833 0.95004 0.9653       NA      NA 0.025    0.019709 0.031666      NA      NA  0.013614      NA      NA  0.032285  -0.037823  0.10239      NA     NA  0.026863       NA      NA 2.29257  0.69698  7.54096       NA       NA  0.82967  -0.361       2.02035        NA        NA  0.39257  -0.11102    0.89616       NA       NA 0.16475  -0.023733  0.35323      NA      NA  0.11392  -0.066338  0.29417       NA       NA  0.12317  -0.076942 0.32327      NA      NA  0.12667  -0.080785  0.33412       NA       NA  0.01175          NA        NA 0.91173         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC166  NEAREST     1           >0.0        >0.0       NA         0.1   CTS        3804 0.31914   0.30684   0.33169         NA        NA 0.37355   0.36075   0.38654         NA        NA 0.70584 0.69354 0.71784      NA      NA 1.17051        NA        NA 0.62438  0.61138  0.6372         NA       NA 0.74402  0.73221  0.75548       NA       NA 0.25598  0.24452  0.26779        NA       NA 0.46657 0.4533  0.4799       NA      NA 0.40384  0.39082  0.41699       NA      NA  0.21391       NA      NA  0.3684     0.34071   0.39608      NA     NA  0.35243        NA      NA 4.8314   4.27469  5.4606        NA       NA  1.57514   1.45271     1.69756        NA        NA  0.65703   0.62224    0.69182       NA       NA 0.41605   0.38391   0.44819      NA      NA  0.31845   0.28852   0.34838       NA       NA  0.48627   0.43954  0.53301      NA      NA  0.50672   0.4595    0.55393       NA       NA  0.20636          NA        NA 0.41167         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC166  NEAREST     1           >0.0        >0.0       NA         0.05  CTS        3804 0.31914   0.30451   0.33413         NA        NA 0.37355   0.35832   0.38905         NA        NA 0.70584 0.69115 0.7201       NA      NA 1.17051        NA        NA 0.62438  0.60887  0.63964        NA       NA 0.74402  0.72991  0.75763       NA       NA 0.25598  0.24237  0.27009        NA       NA 0.46657 0.45076 0.48245      NA      NA 0.40384  0.38835  0.41952       NA      NA  0.21391       NA      NA  0.3684     0.33542   0.40137      NA     NA  0.35243        NA      NA 4.8314   4.17561  5.59018       NA       NA  1.57514   1.42926     1.72101        NA        NA  0.65703   0.61558    0.69848       NA       NA 0.41605   0.37775   0.45435      NA      NA  0.31845   0.28279   0.35411       NA       NA  0.48627   0.43059  0.54196      NA      NA  0.50672   0.45046   0.56298       NA       NA  0.20636          NA        NA 0.41167         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC166  NEAREST     1           >=5.0       >=5.0      NA         0.1   CTS        3804 0.051788  0.04619   0.058022        NA        NA 0.079653  0.072727  0.087176        NA        NA 0.89327 0.88475 0.90123      NA      NA 1.53807        NA        NA 0.23858  0.2274   0.25013        NA       NA 0.92903  0.92187  0.93557       NA       NA 0.070973 0.064426 0.07813        NA       NA 0.84488 0.83499 0.85429      NA      NA 0.10375  0.0959   0.11217       NA      NA  0.071593      NA      NA  0.16761    0.11652   0.21869      NA     NA  0.13362        NA      NA 4.10148  3.05393  5.50837       NA       NA  1.41135   1.11643     1.70627        NA        NA  0.60796   0.515      0.70091       NA       NA 0.34767   0.28345   0.41189      NA      NA  0.24968   0.19013   0.30923       NA       NA  0.29726   0.21937  0.37516      NA      NA  0.31897   0.23488   0.40307       NA       NA  0.061292         NA        NA 0.78654         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP DTC166  NEAREST     1           >=5.0       >=5.0      NA         0.05  CTS        3804 0.051788  0.045187  0.059293        NA        NA 0.079653  0.071467  0.088687        NA        NA 0.89327 0.88306 0.90269      NA      NA 1.53807        NA        NA 0.23858  0.2253   0.25238        NA       NA 0.92903  0.92043  0.93676       NA       NA 0.070973 0.063239 0.079573       NA       NA 0.84488 0.83303 0.85604      NA      NA 0.10375  0.094459 0.11385       NA      NA  0.071593      NA      NA  0.16761    0.10684   0.22837      NA     NA  0.13362        NA      NA 4.10148  2.88617  5.82855       NA       NA  1.41135   1.05993     1.76277        NA        NA  0.60796   0.49719    0.71872       NA       NA 0.34767   0.27115   0.42419      NA      NA  0.24968   0.17873   0.32064       NA       NA  0.29726   0.20445  0.39008      NA      NA  0.31897   0.21876   0.41918       NA       NA  0.061292         NA        NA 0.78654         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP CONUS   NEAREST     1           >0.0        >0.0       NA         0.1   CTS        5414 0.32305   0.31269   0.33359         NA        NA 0.45198   0.44088   0.46312         NA        NA 0.65423 0.64352 0.66478      NA      NA 1.39909        NA        NA 0.66438  0.65374  0.67485        NA       NA 0.64939  0.63865  0.65998       NA       NA 0.35061  0.34002  0.36135        NA       NA 0.52513 0.51396 0.53628      NA      NA 0.38299  0.37219  0.39392       NA      NA  0.16559       NA      NA  0.31377    0.29121   0.33633      NA     NA  0.28413        NA      NA 3.66642  3.31454  4.05564       NA       NA  1.29921   1.19832     1.40011        NA        NA  0.57141   0.53743    0.60538       NA       NA 0.46856   0.44188   0.49524      NA      NA  0.25033   0.22762   0.27305       NA       NA  0.4387    0.38977  0.48762      NA      NA  0.43591   0.3871    0.48472       NA       NA  0.16438          NA        NA 0.30846         NA         NA      0.5
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 000000   20050807_120000 20050807_120000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP CONUS   NEAREST     1           >0.0        >0.0       NA         0.05  CTS        5414 0.32305   0.31072   0.33563         NA        NA 0.45198   0.43876   0.46526         NA        NA 0.65423 0.64146 0.66679      NA      NA 1.39909        NA        NA 0.66438  0.65169  0.67684        NA       NA 0.64939  0.63657  0.66199       NA       NA 0.35061  0.33801  0.36343        NA       NA 0.52513 0.51182 0.53841      NA      NA 0.38299  0.37013  0.39602       NA      NA  0.16559       NA      NA  0.31377    0.28689   0.34064      NA     NA  0.28413        NA      NA 3.66642  3.25109  4.1348        NA       NA  1.29921   1.17899     1.41944        NA        NA  0.57141   0.53092    0.61189       NA       NA 0.46856   0.43677   0.50035      NA      NA  0.25033   0.22327   0.2774        NA       NA  0.4387    0.3804   0.49699      NA      NA  0.43591   0.37775   0.49407       NA       NA  0.16438          NA        NA 0.30846         NA         NA      0.5
