VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL F_RATE   H_RATE     O_RATE
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NEAREST     1           >0.0        >0.0       NA         NA    FHO        2646 0.69123  0.39418    0.46221
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NEAREST     1           >5.0        >5.0       NA         NA    FHO        2646 0.058201 0.0098262  0.065004
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC165  NEAREST     1           >10.0       >10.0      NA         NA    FHO        2646 0.012472 0.00037793 0.025321
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC166  NEAREST     1           >0.0        >0.0       NA         NA    FHO        3761 0.54427  0.38899    0.48312
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC166  NEAREST     1           >5.0        >5.0       NA         NA    FHO        3761 0.14943  0.053709   0.14996
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP DTC166  NEAREST     1           >10.0       >10.0      NA         NA    FHO        3761 0.083488 0.018346   0.080564
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP CONUS   NEAREST     1           >0.0        >0.0       NA         NA    FHO        5414 0.61544  0.41688    0.49963
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP CONUS   NEAREST     1           >5.0        >5.0       NA         NA    FHO        5414 0.11803  0.037311   0.11249
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP CONUS   NEAREST     1           >10.0       >10.0      NA         NA    FHO        5414 0.056705 0.011821   0.054304
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP LMV     NEAREST     1           >0.0        >0.0       NA         NA    FHO         524 0.86832  0.71947    0.75573
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP LMV     NEAREST     1           >5.0        >5.0       NA         NA    FHO         524 0.23092  0.040076   0.17557
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP LMV     NEAREST     1           >10.0       >10.0      NA         NA    FHO         524 0.082061 0.0076336  0.061069
