VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON EC_VALUE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           <273        <273       NA         NA    CTC       45845   399  9578    75 35793      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           >=273       >=273      NA         NA    CTC       45845 35793    75  9578   399      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           <273        <273       NA         NA    CTC       62094   626  8685    14 52769      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           >=273       >=273      NA         NA    CTC       62094 52769    14  8685   626      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <273        <273       NA         NA    CTC       45545   361  9368    80 35736      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           >=273       >=273      NA         NA    CTC       45545 35736    80  9368   361      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           <273        <273       NA         NA    CTC       61807   576  8393    17 52821      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           >=273       >=273      NA         NA    CTC       61807 52821    17  8393   576      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <273        <273       NA         NA    CTC       45545   408 11205    33 33899      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=273       >=273      NA         NA    CTC       45545 33899    33 11205   408      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <273        <273       NA         NA    CTC       61807   590  9806     3 51408      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=273       >=273      NA         NA    CTC       61807 51408     3  9806   590      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           <273        <273       NA         NA    CTC       45545   300  7886   141 37218      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           >=273       >=273      NA         NA    CTC       45545 37218   141  7886   300      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           <273        <273       NA         NA    CTC       61807   558  7396    35 53818      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           >=273       >=273      NA         NA    CTC       61807 53818    35  7396   558      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NEAREST        1           <260        <260       NA         NA    CTC       45845     0  2156    10 43679      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NEAREST        1           >=260       >=260      NA         NA    CTC       45845 43679    10  2156     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NEAREST        1           <260        <260       NA         NA    CTC       62094     0     0     0 62094      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NEAREST        1           >=260       >=260      NA         NA    CTC       62094 62094     0     0     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <260        <260       NA         NA    CTC       45545     0  2065     8 43472      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           >=260       >=260      NA         NA    CTC       45545 43472     8  2065     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           <260        <260       NA         NA    CTC       61807     0     0     0 61807      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           >=260       >=260      NA         NA    CTC       61807 61807     0     0     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <260        <260       NA         NA    CTC       45545     2  3101     6 42436      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=260       >=260      NA         NA    CTC       45545 42436     6  3101     2      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <260        <260       NA         NA    CTC       61807     0     0     0 61807      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=260       >=260      NA         NA    CTC       61807 61807     0     0     0      0.5
