VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR       OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           <273&&      <273       NA         NA    SL1L2       399 268.45061  271.10833 72779.81514 72075.33569 73501.94802 3.41159
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           >=273&&     >=273      NA         NA    SL1L2     35793 282.95549  286.65033 81127.06539 80087.8751  82192.62588 3.94816
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           NA          NA         NA         NA    SL1L2     45845 280.21804  285.66452 80072.34527 78568.37126 81630.557   5.65767
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           <273&&      <273       NA         NA    SL1L2       626 270.96737  272.41471 73815.74783 73425.60781 74210.02839 1.54377
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           >=273&&     >=273      NA         NA    SL1L2     52769 284.72582  288.96817 82329.07242 81133.23608 83554.36037 4.34412
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           NA          NA         NA         NA    SL1L2     62094 282.62144  287.93465 81433.13793 79955.17117 82959.99614 5.40112
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <273&&      <273       NA         NA    SL1L2       361 268.57653  271.21907 72843.5645  72142.03865 73561.63393 3.34256
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           >=273&&     >=273      NA         NA    SL1L2     35736 282.90894  286.65208 81114.30052 80061.60806 82193.59542 3.98004
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     45545 280.24026  285.69545 80087.13463 78580.18689 81648.02197 5.65416
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           <273&&      <273       NA         NA    SL1L2       576 271.11672  272.4424  73863.90777 73506.19606 74225.11339 1.42529
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           >=273&&     >=273      NA         NA    SL1L2     52821 284.69259  288.94694 82313.42757 81114.32261 83542.10803 4.35355
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     61807 282.66167  287.96933 81454.13296 79977.37277 82979.62378 5.39388
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <273&&      <273       NA         NA    SL1L2       408 268.03414  271.32915 72726.42731 71853.47775 73621.28629 3.73799
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=273&&     >=273      NA         NA    SL1L2     33899 282.63441  286.87852 81098.58553 79905.13862 82322.96807 4.38201
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     45545 279.46693  285.69545 79866.55062 78149.00605 81648.02197 6.33911
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <273&&      <273       NA         NA    SL1L2       590 270.65154  272.43988 73736.49444 73255.13402 74223.74194 1.8642
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=273&&     >=273      NA         NA    SL1L2     51408 284.57413  289.16509 82340.58777 81046.20878 83667.10386 4.6487
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     61807 282.23845  287.96933 81332.60569 79739.09189 82979.62378 5.77972
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           <273&&      <273       NA         NA    SL1L2       300 268.95063  271.1545  72927.39978 72340.6907  73526.76226 2.92148
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           >=273&&     >=273      NA         NA    SL1L2     37218 283.30766  286.49616 81184.76221 80288.15271 82104.47181 3.61317
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545 281.0106   285.69545 80306.77328 79011.44931 81648.02197 5.05278
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           <273&&      <273       NA         NA    SL1L2       558 271.60141  272.43503 73993.92668 73768.57518 74221.1007  1.00265
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           >=273&&     >=273      NA         NA    SL1L2     53818 284.9059   288.80482 82334.77826 81236.06915 83460.59309 4.07253
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807 283.08294  287.96933 81575.05734 80215.02951 82979.62378 5.04013
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NEAREST        1           NA          NA         NA         NA    SL1L2     45845 274.12581  278.08612 76281.92582 75230.39444 77386.10795 5.97085
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NEAREST        1           NA          NA         NA         NA    SL1L2     62094 278.38122  283.5299  78993.03056 77576.99515 80455.47524 5.51916
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     45545 274.12324  278.09204 76282.73279 75228.44383 77389.37457 5.96673
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         NA    SL1L2     61807 278.4123   283.56023 79010.04909 77593.97759 80472.44565 5.51396
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     45545 273.29303  278.09204 76052.84507 74778.67404 77389.37457 6.51962
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         NA    SL1L2     61807 278.01216  283.56023 78896.57788 77371.38908 80472.44565 5.82717
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     45545 274.92465  278.09204 76504.44169 75664.79607 77389.37457 5.52118
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MAX_SQUARE     9           NA          NA         NA         NA    SL1L2     61807 278.81403  283.56023 79123.93464 77817.82732 80472.44565 5.2253
