VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN     FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS      FBIAS_BCL FBIAS_BCU PODY       PODY_NCL   PODY_NCU    PODY_BCL PODY_BCU PODN       PODN_NCL   PODN_NCU    PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU    POFD_BCL POFD_BCU FAR         FAR_NCL     FAR_NCU     FAR_BCL FAR_BCU CSI         CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK         HK_NCL      HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS        ODDS_NCL   ODDS_NCU   ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL  ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL   EDS_NCU   EDS_BCL EDS_BCU SEDS        SEDS_NCL    SEDS_NCU   SEDS_BCL SEDS_BCU EDI       EDI_NCL     EDI_NCU   EDI_BCL EDI_BCU SEDI      SEDI_NCL    SEDI_NCU  SEDI_BCL SEDI_BCU BAGSS       BAGSS_BCL BAGSS_BCU HSS_EC  HSS_EC_BCL HSS_EC_BCU EC_VALUE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           <273        <273       NA         0.1   CTS       45845 0.010339    0.0095905  0.011146          NA        NA 0.21762    0.21447   0.22081           NA        NA 0.78944 0.78629 0.79256      NA      NA  21.04852         NA        NA  0.84177    0.83895    0.84456          NA       NA  0.7889     0.78574    0.79201          NA       NA  0.2111     0.20799    0.21426          NA       NA  0.96001     0.95848     0.96149         NA      NA  0.039694    0.038221    0.041221        NA      NA  0.029737        NA      NA  0.63067    0.60296     0.65837       NA     NA  0.057756        NA      NA   19.88085   16.14935    24.47455       NA       NA  2.98976  2.78188    3.19763        NA        NA  0.90422  0.88526   0.92318       NA       NA  0.92738   0.91408   0.94069       NA      NA  0.28514     0.27627     0.29402         NA       NA  0.8006     0.74635    0.85485       NA      NA  0.78502   0.72814     0.8419         NA       NA  0.036737          NA        NA 0.57889         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           <273        <273       NA         0.05  CTS       45845 0.010339    0.0094534  0.011307          NA        NA 0.21762    0.21387   0.22143           NA        NA 0.78944 0.78569 0.79315      NA      NA  21.04852         NA        NA  0.84177    0.8384     0.84508          NA       NA  0.7889     0.78514    0.79261          NA       NA  0.2111     0.20739    0.21486          NA       NA  0.96001     0.95818     0.96176         NA      NA  0.039694    0.037945    0.04152         NA      NA  0.029737        NA      NA  0.63067    0.59766     0.66368       NA     NA  0.057756        NA      NA   19.88085   15.51886    25.46888       NA       NA  2.98976  2.74206    3.23746        NA        NA  0.90422  0.88163   0.92681       NA       NA  0.92738   0.91153   0.94324       NA      NA  0.28514     0.27457     0.29572         NA       NA  0.8006     0.73596    0.86524       NA      NA  0.78502   0.71725     0.8528         NA       NA  0.036737          NA        NA 0.57889         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           >=273       >=273      NA         0.1   CTS       45845 0.98966     0.98885    0.99041           NA        NA 0.78238    0.77919   0.78553           NA        NA 0.78944 0.78629 0.79256      NA      NA   0.79055         NA        NA  0.7889     0.78574    0.79201          NA       NA  0.84177    0.83895    0.84456          NA       NA  0.15823    0.15544    0.16105          NA       NA  0.002091    0.0017682   0.0024725       NA      NA  0.78759     0.78444     0.79072         NA      NA  0.029737        NA      NA  0.63067    0.59972     0.66162       NA     NA  0.057756        NA      NA   19.88085   16.14935    24.47455       NA       NA  2.98976  2.78188    3.19763        NA        NA  0.90422  0.88526   0.92318       NA       NA -0.91602  -0.91738  -0.91467       NA      NA  0.033533    0.016853    0.050213        NA       NA  0.77209    0.76705    0.77713       NA      NA  0.78502   0.78015     0.7899         NA       NA  0.30348           NA        NA 0.57889         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           >=273       >=273      NA         0.05  CTS       45845 0.98966     0.98869    0.99055           NA        NA 0.78238    0.77857   0.78613           NA        NA 0.78944 0.78569 0.79315      NA      NA   0.79055         NA        NA  0.7889     0.78514    0.79261          NA       NA  0.84177    0.8384     0.84508          NA       NA  0.15823    0.15492    0.1616           NA       NA  0.002091    0.0017125   0.0025529       NA      NA  0.78759     0.78383     0.79131         NA      NA  0.029737        NA      NA  0.63067    0.59381     0.66752       NA     NA  0.057756        NA      NA   19.88085   15.51886    25.46888       NA       NA  2.98976  2.74206    3.23746        NA        NA  0.90422  0.88163   0.92681       NA       NA -0.91602  -0.91764  -0.91441       NA      NA  0.033533    0.013657    0.053408        NA       NA  0.77209    0.76609    0.77809       NA      NA  0.78502   0.77922     0.79083        NA       NA  0.30348           NA        NA 0.57889         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           <273        <273       NA         0.1   CTS       62094 0.010307    0.0096613  0.010995          NA        NA 0.14995    0.14761   0.15232           NA        NA 0.85991 0.8576  0.86218      NA      NA  14.54844         NA        NA  0.97813    0.97714    0.97907          NA       NA  0.85867    0.85636    0.86096          NA       NA  0.14133    0.13904    0.14364          NA       NA  0.93277     0.9311      0.9344          NA      NA  0.067131    0.065498    0.068802        NA      NA  0.057431        NA      NA  0.8368     0.82705     0.84655       NA     NA  0.10862         NA      NA  271.67854  174.11526   423.91019       NA       NA  5.60462  5.15972    6.04952        NA        NA  0.99267  0.98941   0.99592       NA       NA  0.99038   0.98617   0.99459       NA      NA  0.40794     0.40496     0.41092         NA       NA  0.97765    0.96302    0.99227       NA      NA  0.94139   0.90632     0.97645        NA       NA  0.10688           NA        NA 0.71981         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           <273        <273       NA         0.05  CTS       62094 0.010307    0.0095423  0.011132          NA        NA 0.14995    0.14716   0.15278           NA        NA 0.85991 0.85715 0.86261      NA      NA  14.54844         NA        NA  0.97813    0.97694    0.97925          NA       NA  0.85867    0.85591    0.86139          NA       NA  0.14133    0.13861    0.14409          NA       NA  0.93277     0.93077     0.93471         NA      NA  0.067131    0.06519     0.069127        NA      NA  0.057431        NA      NA  0.8368     0.82509     0.84851       NA     NA  0.10862         NA      NA  271.67854  159.88999   461.62508       NA       NA  5.60462  5.07449    6.13475        NA        NA  0.99267  0.98879   0.99654       NA       NA  0.99038   0.98536   0.99539       NA      NA  0.40794     0.40439     0.41149         NA       NA  0.97765    0.96021    0.99508       NA      NA  0.94139   0.8996      0.98317        NA       NA  0.10688           NA        NA 0.71981         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           >=273       >=273      NA         0.1   CTS       62094 0.98969     0.989      0.99034           NA        NA 0.85005    0.84768   0.85239           NA        NA 0.85991 0.8576  0.86218      NA      NA   0.8589          NA        NA  0.85867    0.85636    0.86096          NA       NA  0.97813    0.97714    0.97907          NA       NA  0.021875   0.02093    0.022862         NA       NA  0.00026524  0.00017734  0.00039668      NA      NA  0.85848     0.85616     0.86076         NA      NA  0.057431        NA      NA  0.8368     0.81403     0.85957       NA     NA  0.10862         NA      NA  271.67854  174.11526   423.91019       NA       NA  5.60462  5.15972    6.04952        NA        NA  0.99267  0.98941   0.99592       NA       NA -0.87266  -0.87477  -0.87056       NA      NA  0.062038    0.04447     0.079606        NA       NA  0.92333    0.92172    0.92495       NA      NA  0.94139   0.94007     0.9427         NA       NA  0.85154           NA        NA 0.71981         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           >=273       >=273      NA         0.05  CTS       62094 0.98969     0.98887    0.99046           NA        NA 0.85005    0.84722   0.85284           NA        NA 0.85991 0.85715 0.86261      NA      NA   0.8589          NA        NA  0.85867    0.85591    0.86139          NA       NA  0.97813    0.97694    0.97925          NA       NA  0.021875   0.020754   0.023055         NA       NA  0.00026524  0.0001644   0.00042791      NA      NA  0.85848     0.85572     0.8612          NA      NA  0.057431        NA      NA  0.8368     0.80967     0.86393       NA     NA  0.10862         NA      NA  271.67854  159.88999   461.62508       NA       NA  5.60462  5.07449    6.13475        NA        NA  0.99267  0.98879   0.99654       NA       NA -0.87266  -0.87517  -0.87015       NA      NA  0.062038    0.041104    0.082972        NA       NA  0.92333    0.92141    0.92526       NA      NA  0.94139   0.93981     0.94296        NA       NA  0.85154           NA        NA 0.71981         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <273        <273       NA         0.1   CTS       45545 0.0096827   0.0089566  0.010467          NA        NA 0.21361    0.21047   0.21679           NA        NA 0.79256 0.78941 0.79566      NA      NA  22.06122         NA        NA  0.81859    0.81561    0.82155          NA       NA  0.7923     0.78916    0.79541          NA       NA  0.2077     0.20459    0.21084          NA       NA  0.96289     0.96141     0.96432         NA      NA  0.036803    0.035379    0.038282        NA      NA  0.027463        NA      NA  0.6109     0.5806      0.6412        NA     NA  0.053458        NA      NA   17.21378   14.03505    21.11245       NA       NA  2.84571  2.64156    3.04986        NA        NA  0.89019  0.86901   0.91138       NA       NA  0.91724   0.90263   0.93186       NA      NA  0.27771     0.26797     0.28744         NA       NA  0.77406    0.71592    0.83219       NA      NA  0.76669   0.70746     0.82592        NA       NA  0.032415          NA        NA 0.58511         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <273        <273       NA         0.05  CTS       45545 0.0096827   0.0088239  0.010624          NA        NA 0.21361    0.20987   0.2174            NA        NA 0.79256 0.78881 0.79626      NA      NA  22.06122         NA        NA  0.81859    0.81503    0.82211          NA       NA  0.7923     0.78855    0.796            NA       NA  0.2077     0.204      0.21145          NA       NA  0.96289     0.96112     0.96459         NA      NA  0.036803    0.035113    0.038571        NA      NA  0.027463        NA      NA  0.6109     0.57481     0.64699       NA     NA  0.053458        NA      NA   17.21378   13.49673    21.95453       NA       NA  2.84571  2.60245    3.08897        NA        NA  0.89019  0.86495   0.91544       NA       NA  0.91724   0.89983   0.93466       NA      NA  0.27771     0.2661      0.28931         NA       NA  0.77406    0.70478    0.84333       NA      NA  0.76669   0.69612     0.83727        NA       NA  0.032415          NA        NA 0.58511         NA         NA      0.5
