VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1      CL_2 VALUE_2      CL_3 VALUE_3       CL_4 VALUE_4        CL_5 VALUE_5        CL_6 VALUE_6      CL_7 VALUE_7      CL_8 VALUE_8     CL_9 VALUE_9     CL_10 VALUE_10    CL_11 VALUE_11    CL_12 VALUE_12    CL_13 VALUE_13     CL_14 VALUE_14     CL_15 VALUE_15       CL_16 VALUE_16       CL_17 VALUE_17      CL_18 VALUE_18     CL_19 VALUE_19
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           <273        <273       NA         NA    ECLV      45845 0.010339     0.63067      19 0.05    -0.22174   0.1    -1.40342  0.15    -2.72413    0.2    -4.20992    0.25    -5.89381     0.3   -7.81826   0.35  -10.03879    0.4  -12.6294   0.45  -15.69102    0.5  -19.36498   0.55  -23.85537    0.6  -29.46835   0.65  -36.68505     0.7  -46.30731    0.75   -59.77848      0.8   -79.98523     0.85  -113.66315     0.9  -181.01899   0.95  -383.0865
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST        1           >=273       >=273      NA         NA    ECLV      45845 0.98966      0.63067      19 0.05  -383.0865    0.1  -181.01899  0.15  -113.66315    0.2   -79.98523    0.25   -59.77848     0.3  -46.30731   0.35  -36.68505    0.4  -29.46835  0.45  -23.85537    0.5  -19.36498   0.55  -15.69102    0.6  -12.6294    0.65  -10.03879     0.7   -7.81826    0.75    -5.89381      0.8    -4.20992     0.85    -2.72413     0.9    -1.40342   0.95    -0.22174
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           <273        <273       NA         NA    ECLV      62094 0.010307     0.8368       19 0.05     0.2639    0.1    -0.52969  0.15    -1.41664    0.2    -2.41445    0.25    -3.54531     0.3   -4.83772   0.35   -6.32897    0.4   -8.06875  0.45  -10.12486    0.5  -12.59219   0.55  -15.60781    0.6  -19.37734   0.65  -24.22388     0.7  -30.68594    0.75   -39.73281      0.8   -53.30313     0.85   -75.92031     0.9  -121.15469   0.95  -256.85781
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST        1           >=273       >=273      NA         NA    ECLV      62094 0.98969      0.8368       19 0.05  -256.85781   0.1  -121.15469  0.15   -75.92031    0.2   -53.30313    0.25   -39.73281     0.3  -30.68594   0.35  -24.22388    0.4  -19.37734  0.45  -15.60781    0.5  -12.59219   0.55  -10.12486    0.6   -8.06875   0.65   -6.32897     0.7   -4.83772    0.75    -3.54531      0.8    -2.41445     0.85    -1.41664     0.9    -0.52969   0.95     0.2639
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <273        <273       NA         NA    ECLV      45545 0.0096827    0.6109       19 0.05    -0.29944   0.1    -1.5417   0.15    -2.93011    0.2    -4.49206    0.25    -6.26228     0.3   -8.28539   0.35  -10.61975    0.4  -13.34316  0.45  -16.56174    0.5  -20.42404   0.55  -25.14462    0.6  -31.04535   0.65  -38.63201     0.7  -48.74754    0.75   -62.9093       0.8   -84.15193     0.85  -119.55631     0.9  -190.36508   0.95  -402.79138
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           >=273       >=273      NA         NA    ECLV      45545 0.99032      0.6109       19 0.05  -402.79138   0.1  -190.36508  0.15  -119.55631    0.2   -84.15193    0.25   -62.9093      0.3  -48.74754   0.35  -38.63201    0.4  -31.04535  0.45  -25.14462    0.5  -20.42404   0.55  -16.56174    0.6  -13.34316   0.65  -10.61975     0.7   -8.28539    0.75    -6.26228      0.8    -4.49206     0.85    -2.93011     0.9    -1.5417    0.95    -0.29944
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           <273        <273       NA         NA    ECLV      61807 0.0095944    0.83422      19 0.05     0.22641   0.1    -0.60127  0.15    -1.52634    0.2    -2.56703    0.25    -3.74649     0.3   -5.09444   0.35   -6.64976    0.4   -8.46431  0.45  -10.60877    0.5  -13.18212   0.55  -16.32734    0.6  -20.25885   0.65  -25.31366     0.7  -32.0534     0.75   -41.48904      0.8   -55.6425      0.85   -79.23159     0.9  -126.40978   0.95  -267.94435
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           >=273       >=273      NA         NA    ECLV      61807 0.99041      0.83422      19 0.05  -267.94435   0.1  -126.40978  0.15   -79.23159    0.2   -55.6425     0.25   -41.48904     0.3  -32.0534    0.35  -25.31366    0.4  -20.25885  0.45  -16.32734    0.5  -13.18212   0.55  -10.60877    0.6   -8.46431   0.65   -6.64976     0.7   -5.09444    0.75    -3.74649      0.8    -2.56703     0.85    -1.52634     0.9    -0.60127   0.95     0.22641
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <273        <273       NA         NA    ECLV      45545 0.0096827    0.67674      19 0.05    -0.4121    0.1    -1.89796  0.15    -3.55862    0.2    -5.42687    0.25    -7.54422     0.3   -9.96404   0.35  -12.75615    0.4  -16.01361  0.45  -19.86333    0.5  -24.48299   0.55  -30.12925    0.6  -37.18707   0.65  -46.26142     0.7  -58.36054    0.75   -75.29932      0.8  -100.70748     0.85  -143.05442     0.9  -227.7483    0.95  -481.82993
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=273       >=273      NA         NA    ECLV      45545 0.99032      0.67674      19 0.05  -481.82993   0.1  -227.7483   0.15  -143.05442    0.2  -100.70748    0.25   -75.29932     0.3  -58.36054   0.35  -46.26142    0.4  -37.18707  0.45  -30.12925    0.5  -24.48299   0.55  -19.86333    0.6  -16.01361   0.65  -12.75615     0.7   -9.96404    0.75    -7.54422      0.8    -5.42687     0.85    -3.55862     0.9    -1.89796   0.95    -0.4121
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <273        <273       NA         NA    ECLV      61807 0.0095944    0.83475      19 0.05     0.12461   0.1    -0.84242  0.15    -1.92322    0.2    -3.13912    0.25    -4.51714     0.3   -6.09203   0.35   -7.9092     0.4  -10.02923  0.45  -12.53472    0.5  -15.54132   0.55  -19.21604    0.6  -23.80944   0.65  -29.71525     0.7  -37.58966    0.75   -48.61383      0.8   -65.15008     0.85   -92.71051     0.9  -147.83137   0.95  -313.19393
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=273       >=273      NA         NA    ECLV      61807 0.99041      0.83475      19 0.05  -313.19393   0.1  -147.83137  0.15   -92.71051    0.2   -65.15008    0.25   -48.61383     0.3  -37.58966   0.35  -29.71525    0.4  -23.80944  0.45  -19.21604    0.5  -15.54132   0.55  -12.53472    0.6  -10.02923   0.65   -7.9092      0.7   -6.09203    0.75    -4.51714      0.8    -3.13912     0.85    -1.92322     0.9    -0.84242   0.95     0.12461
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           <273        <273       NA         NA    ECLV      45545 0.0096827    0.50543      19 0.05    -0.26089   0.1    -1.30663  0.15    -2.47539    0.2    -3.79025    0.25    -5.28042     0.3   -6.98348   0.35   -8.94854    0.4  -11.24112  0.45  -13.95053    0.5  -17.20181   0.55  -21.17561    0.6  -26.14286   0.65  -32.52932     0.7  -41.0446     0.75   -52.96599      0.8   -70.84807     0.85  -100.65155     0.9  -160.2585    0.95  -339.07937
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  MAX_SQUARE     9           >=273       >=273      NA         NA    ECLV      45545 0.99032      0.50543      19 0.05  -339.07937   0.1  -160.2585   0.15  -100.65155    0.2   -70.84807    0.25   -52.96599     0.3  -41.0446    0.35  -32.52932    0.4  -26.14286  0.45  -21.17561    0.5  -17.20181   0.55  -13.95053    0.6  -11.24112   0.65   -8.94854     0.7   -6.98348    0.75    -5.28042      0.8    -3.79025     0.85    -2.47539     0.9    -1.30663   0.95    -0.26089
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           <273        <273       NA         NA    ECLV      61807 0.0095944    0.82016      19 0.05     0.28455   0.1    -0.44482  0.15    -1.25999    0.2    -2.17707    0.25    -3.21641     0.3   -4.40424   0.35   -5.77481    0.4   -7.37381  0.45   -9.26353    0.5  -11.5312    0.55  -14.30279    0.6  -17.76728   0.65  -22.22163     0.7  -28.16076    0.75   -36.47555      0.8   -48.94772     0.85   -69.73468     0.9  -111.3086    0.95  -236.03035
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  MAX_SQUARE     9           >=273       >=273      NA         NA    ECLV      61807 0.99041      0.82016      19 0.05  -236.03035   0.1  -111.3086   0.15   -69.73468    0.2   -48.94772    0.25   -36.47555     0.3  -28.16076   0.35  -22.22163    0.4  -17.76728  0.45  -14.30279    0.5  -11.5312    0.55   -9.26353    0.6   -7.37381   0.65   -5.77481     0.7   -4.40424    0.75    -3.21641      0.8    -2.17707     0.85    -1.25999     0.9    -0.44482   0.95     0.28455
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NEAREST        1           <260        <260       NA         NA    ECLV      45845 0.00021813  -0.047038     19 0.05   -11.34737   0.1   -23.95556  0.15   -38.04706    0.2   -53.9        0.25   -71.86667     0.3  -92.4       0.35 -116.09231    0.4 -143.73333  0.45 -176.4        0.5 -215.6       0.55 -263.51111    0.6 -323.4       0.65 -400.4         0.7 -503.06667    0.75  -646.8          0.8  -862.4         0.85 -1221.73333     0.9 -1940.4       0.95 -4096.4
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NEAREST        1           >=260       >=260      NA         NA    ECLV      45845 0.99978     -0.047038     19 0.05 -4096.4       0.1 -1940.4      0.15 -1221.73333    0.2  -862.4        0.25  -646.8         0.3 -503.06667   0.35 -400.4        0.4 -323.4      0.45 -263.51111    0.5 -215.6       0.55 -176.4        0.6 -143.73333   0.65 -116.09231     0.7  -92.4        0.75   -71.86667      0.8   -53.9         0.85   -38.04706     0.9   -23.95556   0.95   -11.34737
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NEAREST        1           <260        <260       NA         NA    ECLV      62094 0           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NEAREST        1           >=260       >=260      NA         NA    ECLV      62094 1           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           <260        <260       NA         NA    ECLV      45545 0.00017565  -0.045348     19 0.05   -13.58553   0.1   -28.68056  0.15   -45.55147    0.2   -64.53125    0.25   -86.04167     0.3 -110.625     0.35 -138.99038    0.4 -172.08333  0.45 -211.19318    0.5 -258.125     0.55 -315.48611    0.6 -387.1875    0.65 -479.375       0.7 -602.29167    0.75  -774.375        0.8 -1032.5         0.85 -1462.70833     0.9 -2323.125     0.95 -4904.375
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  UW_MEAN_SQUARE 9           >=260       >=260      NA         NA    ECLV      45545 0.99982     -0.045348     19 0.05 -4904.375     0.1 -2323.125    0.15 -1462.70833    0.2 -1032.5        0.25  -774.375       0.3 -602.29167   0.35 -479.375      0.4 -387.1875   0.45 -315.48611    0.5 -258.125     0.55 -211.19318    0.6 -172.08333   0.65 -138.99038     0.7 -110.625      0.75   -86.04167      0.8   -64.53125     0.85   -45.55147     0.9   -28.68056   0.95   -13.58553
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           <260        <260       NA         NA    ECLV      61807 0           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  UW_MEAN_SQUARE 9           >=260       >=260      NA         NA    ECLV      61807 1           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <260        <260       NA         NA    ECLV      45545 0.00017565   0.1819       19 0.05   -20.15132   0.1   -42.81944  0.15   -68.15441    0.2   -96.65625    0.25  -128.95833     0.3 -165.875     0.35 -208.47115    0.4 -258.16667  0.45 -316.89773    0.5 -387.375     0.55 -473.51389    0.6 -581.1875    0.65 -719.625       0.7 -904.20833    0.75 -1162.625        0.8 -1550.25        0.85 -2196.29167     0.9 -3488.375     0.95 -7364.625
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=260       >=260      NA         NA    ECLV      45545 0.99982      0.1819       19 0.05 -7364.625     0.1 -3488.375    0.15 -2196.29167    0.2 -1550.25       0.25 -1162.625       0.3 -904.20833   0.35 -719.625      0.4 -581.1875   0.45 -473.51389    0.5 -387.375     0.55 -316.89773    0.6 -258.16667   0.65 -208.47115     0.7 -165.875      0.75  -128.95833      0.8   -96.65625     0.85   -68.15441     0.9   -42.81944   0.95   -20.15132
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <260        <260       NA         NA    ECLV      61807 0           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=260       >=260      NA         NA    ECLV      61807 1           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           <260        <260       NA         NA    ECLV      45545 0.00017565  -0.02969      19 0.05    -8.89474   0.1   -18.77778  0.15   -29.82353    0.2   -42.25       0.25   -56.33333     0.3  -72.42857   0.35  -91          0.4 -112.66667  0.45 -138.27273    0.5 -169         0.55 -206.55556    0.6 -253.5       0.65 -313.85714     0.7 -394.33333    0.75  -507            0.8  -676           0.85  -957.66667     0.9 -1521         0.95 -3211
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           >=260       >=260      NA         NA    ECLV      45545 0.99982     -0.02969      19 0.05 -3211         0.1 -1521        0.15  -957.66667    0.2  -676          0.25  -507           0.3 -394.33333   0.35 -313.85714    0.4 -253.5      0.45 -206.55556    0.5 -169         0.55 -138.27273    0.6 -112.66667   0.65  -91           0.7  -72.42857    0.75   -56.33333      0.8   -42.25        0.85   -29.82353     0.9   -18.77778   0.95    -8.89474
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MAX_SQUARE     9           <260        <260       NA         NA    ECLV      61807 0           NA            19 0.05    NA         0.1    NA        0.15    NA          0.2    NA          0.25    NA           0.3   NA         0.35   NA          0.4   NA        0.45   NA          0.5   NA         0.55   NA          0.6   NA         0.65   NA           0.7   NA          0.75    NA            0.8    NA           0.85    NA           0.9    NA         0.95    NA
