VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NBRHD_SQUARE 9           <273        <273       >=0.5      NA    NBRCTC    45302   348  9463    40 35451
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NBRHD_SQUARE 9           <273        <273       >=0.5      NA    NBRCTC    61703   562  8507    12 52622
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NBRHD_SQUARE 9           >=273       >=273      >=0.5      NA    NBRCTC    45302 35451    40  9463   348
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NBRHD_SQUARE 9           >=273       >=273      >=0.5      NA    NBRCTC    61703 52622    12  8507   562
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NBRHD_SQUARE 25          <273        <273       >=0.5      NA    NBRCTC    44837   294  9341    31 35171
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NBRHD_SQUARE 25          <273        <273       >=0.5      NA    NBRCTC    61325   521  8302     9 52493
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NBRHD_SQUARE 25          >=273       >=273      >=0.5      NA    NBRCTC    44837 35171    31  9341   294
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NBRHD_SQUARE 25          >=273       >=273      >=0.5      NA    NBRCTC    61325 52493     9  8302   521
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NBRHD_SQUARE 9           <260        <260       >=0.5      NA    NBRCTC    45302     0  2118     2 43182
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NBRHD_SQUARE 9           <260        <260       >=0.5      NA    NBRCTC    61703     0     0     0 61703
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NBRHD_SQUARE 9           >=260       >=260      >=0.5      NA    NBRCTC    45302 43182     2  2118     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NBRHD_SQUARE 9           >=260       >=260      >=0.5      NA    NBRCTC    61703 61703     0     0     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NBRHD_SQUARE 25          <260        <260       >=0.5      NA    NBRCTC    44837     0  2035     0 42802
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NBRHD_SQUARE 25          <260        <260       >=0.5      NA    NBRCTC    61325     0     0     0 61325
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  NBRHD_SQUARE 25          >=260       >=260      >=0.5      NA    NBRCTC    44837 42802     0  2035     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  NBRHD_SQUARE 25          >=260       >=260      >=0.5      NA    NBRCTC    61325 61325     0     0     0
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    45302 38932  5957   334    79
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           <5          <5         >=0.5      NA    NBRCTC    61703 48880  1249 10921   653
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    45302    79   334  5957 38932
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 9           >=5         >=5        >=0.5      NA    NBRCTC    61703   653 10921  1249 48880
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    44837 38958  5528   307    44
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          <5          <5         >=0.5      NA    NBRCTC    61325 48647  1159 10905   614
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    44837    44   307  5528 38958
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NBRHD_SQUARE 25          >=5         >=5        >=0.5      NA    NBRCTC    61325   614 10905  1159 48647
