VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR  FCST_UNITS FCST_LEV OBS_VAR   OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR    FBAR_BCL FBAR_BCU OBAR    OBAR_BCL OBAR_BCU FS_RMS  FS_RMS_BCL FS_RMS_BCU OS_RMS  OS_RMS_BCL OS_RMS_BCU MSVE     MSVE_BCL MSVE_BCU RMSVE   RMSVE_BCL RMSVE_BCU FSTDEV  FSTDEV_BCL FSTDEV_BCU OSTDEV  OSTDEV_BCL OSTDEV_BCU FDIR      FDIR_BCL FDIR_BCU ODIR      ODIR_BCL ODIR_BCU FBAR_SPEED FBAR_SPEED_BCL FBAR_SPEED_BCU OBAR_SPEED OBAR_SPEED_BCL OBAR_SPEED_BCU VDIFF_SPEED VDIFF_SPEED_BCL VDIFF_SPEED_BCU VDIFF_DIR VDIFF_DIR_BCL VDIFF_DIR_BCU SPEED_ERR SPEED_ERR_BCL SPEED_ERR_BCU SPEED_ABSERR SPEED_ABSERR_BCL SPEED_ABSERR_BCU DIR_ERR    DIR_ERR_BCL DIR_ERR_BCU DIR_ABSERR DIR_ABSERR_BCL DIR_ABSERR_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU TOTAL_DIR DIR_ME  DIR_ME_BCL DIR_ME_BCU DIR_MAE  DIR_MAE_BCL DIR_MAE_BCU DIR_MSE     DIR_MSE_BCL DIR_MSE_BCU DIR_RMSE  DIR_RMSE_BCL DIR_RMSE_BCU
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  NEAREST        1           NA          NA         NA         0.1   VCNT      45845 2.78705       NA       NA 4.51476       NA       NA 3.18119         NA         NA 5.30098         NA         NA 33.50954       NA       NA 5.78874        NA        NA 1.53374         NA         NA 2.77805         NA         NA  98.66496       NA       NA 304.54664       NA       NA    0.1164              NA             NA    2.32511             NA             NA     2.43037              NA              NA 123.34869            NA            NA  -2.20871            NA            NA      2.20871               NA               NA -154.11833          NA          NA  154.11833             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45845 5.42336         NA         NA 64.05635          NA          NA  7124.52419          NA          NA  84.4069            NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  NEAREST        1           NA          NA         NA         0.05  VCNT      45845 2.78705       NA       NA 4.51476       NA       NA 3.18119         NA         NA 5.30098         NA         NA 33.50954       NA       NA 5.78874        NA        NA 1.53374         NA         NA 2.77805         NA         NA  98.66496       NA       NA 304.54664       NA       NA    0.1164              NA             NA    2.32511             NA             NA     2.43037              NA              NA 123.34869            NA            NA  -2.20871            NA            NA      2.20871               NA               NA -154.11833          NA          NA  154.11833             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45845 5.42336         NA         NA 64.05635          NA          NA  7124.52419          NA          NA  84.4069            NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  NEAREST        1           NA          NA         NA         0.1   VCNT      62094 4.50574       NA       NA 3.4343        NA       NA 5.35488         NA         NA 4.01919         NA         NA 41.22448       NA       NA 6.42063        NA        NA 2.89364         NA         NA 2.08795         NA         NA 301.29643       NA       NA 228.02496       NA       NA    1.9269              NA             NA    0.30636             NA             NA     1.86198              NA              NA 310.36249            NA            NA   1.62054            NA            NA      1.62054               NA               NA  -73.27147          NA          NA   73.27147             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     62094 8.33992         NA         NA 84.91095          NA          NA 10284.483            NA          NA 101.41244           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  NEAREST        1           NA          NA         NA         0.05  VCNT      62094 4.50574       NA       NA 3.4343        NA       NA 5.35488         NA         NA 4.01919         NA         NA 41.22448       NA       NA 6.42063        NA        NA 2.89364         NA         NA 2.08795         NA         NA 301.29643       NA       NA 228.02496       NA       NA    1.9269              NA             NA    0.30636             NA             NA     1.86198              NA              NA 310.36249            NA            NA   1.62054            NA            NA      1.62054               NA               NA  -73.27147          NA          NA   73.27147             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     62094 8.33992         NA         NA 84.91095          NA          NA 10284.483            NA          NA 101.41244           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         0.1   VCNT      45545 2.7032        NA       NA 4.49989       NA       NA 3.09837         NA         NA 5.28473         NA         NA 33.02572       NA       NA 5.7468         NA        NA 1.51416         NA         NA 2.77119         NA         NA  95.54913       NA       NA 303.96078       NA       NA    0.11235             NA             NA    2.30719             NA             NA     2.4066               NA              NA 122.68796            NA            NA  -2.19483            NA            NA      2.19483               NA               NA -151.58835          NA          NA  151.58835             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 5.13166         NA         NA 64.52024          NA          NA  7183.02104          NA          NA  84.75271           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           NA          NA         NA         0.05  VCNT      45545 2.7032        NA       NA 4.49989       NA       NA 3.09837         NA         NA 5.28473         NA         NA 33.02572       NA       NA 5.7468         NA        NA 1.51416         NA         NA 2.77119         NA         NA  95.54913       NA       NA 303.96078       NA       NA    0.11235             NA             NA    2.30719             NA             NA     2.4066               NA              NA 122.68796            NA            NA  -2.19483            NA            NA      2.19483               NA               NA -151.58835          NA          NA  151.58835             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 5.13166         NA         NA 64.52024          NA          NA  7183.02104          NA          NA  84.75271           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         0.1   VCNT      61807 4.48528       NA       NA 3.43316       NA       NA 5.33343         NA         NA 4.01885         NA         NA 40.98252       NA       NA 6.40176        NA        NA 2.88581         NA         NA 2.08917         NA         NA 300.94758       NA       NA 227.59761       NA       NA    1.93336             NA             NA    0.30717             NA             NA     1.86867              NA              NA 310.00857            NA            NA   1.62619            NA            NA      1.62619               NA               NA  -73.34997          NA          NA   73.34997             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     61807 8.23072         NA         NA 84.86966          NA          NA 10277.50364          NA          NA 101.37802           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           NA          NA         NA         0.05  VCNT      61807 4.48528       NA       NA 3.43316       NA       NA 5.33343         NA         NA 4.01885         NA         NA 40.98252       NA       NA 6.40176        NA        NA 2.88581         NA         NA 2.08917         NA         NA 300.94758       NA       NA 227.59761       NA       NA    1.93336             NA             NA    0.30717             NA             NA     1.86867              NA              NA 310.00857            NA            NA   1.62619            NA            NA      1.62619               NA               NA  -73.34997          NA          NA   73.34997             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     61807 8.23072         NA         NA 84.86966          NA          NA 10277.50364          NA          NA 101.37802           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         0.1   VCNT      45545 2.86831       NA       NA 4.49989       NA       NA 3.22769         NA         NA 5.28473         NA         NA 35.37941       NA       NA 5.94806        NA        NA 1.48015         NA         NA 2.77119         NA         NA  50.64478       NA       NA 303.96078       NA       NA    0.91761             NA             NA    2.30719             NA             NA     2.71675              NA              NA 105.08363            NA            NA  -1.38958            NA            NA      1.38958               NA               NA -106.68399          NA          NA  106.68399             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 9.37345         NA         NA 71.8852           NA          NA  8138.31989          NA          NA  90.21264           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           NA          NA         NA         0.05  VCNT      45545 2.86831       NA       NA 4.49989       NA       NA 3.22769         NA         NA 5.28473         NA         NA 35.37941       NA       NA 5.94806        NA        NA 1.48015         NA         NA 2.77119         NA         NA  50.64478       NA       NA 303.96078       NA       NA    0.91761             NA             NA    2.30719             NA             NA     2.71675              NA              NA 105.08363            NA            NA  -1.38958            NA            NA      1.38958               NA               NA -106.68399          NA          NA  106.68399             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 9.37345         NA         NA 71.8852           NA          NA  8138.31989          NA          NA  90.21264           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         0.1   VCNT      61807 4.46987       NA       NA 3.43316       NA       NA 5.28799         NA         NA 4.01885         NA         NA 41.11627       NA       NA 6.4122         NA        NA 2.82545         NA         NA 2.08917         NA         NA 317.60144       NA       NA 227.59761       NA       NA    1.84813             NA             NA    0.30717             NA             NA     1.87351              NA              NA 327.03787            NA            NA   1.54097            NA            NA      1.54097               NA               NA  -90.00383          NA          NA   90.00383             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     61807 6.83449         NA         NA 85.36443          NA          NA 10363.28756          NA          NA 101.80023           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           NA          NA         NA         0.05  VCNT      61807 4.46987       NA       NA 3.43316       NA       NA 5.28799         NA         NA 4.01885         NA         NA 41.11627       NA       NA 6.4122         NA        NA 2.82545         NA         NA 2.08917         NA         NA 317.60144       NA       NA 227.59761       NA       NA    1.84813             NA             NA    0.30717             NA             NA     1.87351              NA              NA 327.03787            NA            NA   1.54097            NA            NA      1.54097               NA               NA  -90.00383          NA          NA   90.00383             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     61807 6.83449         NA         NA 85.36443          NA          NA 10363.28756          NA          NA 101.80023           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         0.1   VCNT      45545 2.84105       NA       NA 4.49989       NA       NA 3.26341         NA         NA 5.28473         NA         NA 32.90842       NA       NA 5.73659        NA        NA 1.60571         NA         NA 2.77119         NA         NA 218.92603       NA       NA 303.96078       NA       NA    0.78204             NA             NA    2.30719             NA             NA     2.37115              NA              NA 143.14325            NA            NA  -1.52514            NA            NA      1.52514               NA               NA   85.03475          NA          NA   85.03475             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 0.24781         NA         NA 61.99748          NA          NA  6886.32165          NA          NA  82.98386           NA           NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD_VGRD m/s        Z10      UGRD_VGRD m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           NA          NA         NA         0.05  VCNT      45545 2.84105       NA       NA 4.49989       NA       NA 3.26341         NA         NA 5.28473         NA         NA 32.90842       NA       NA 5.73659        NA        NA 1.60571         NA         NA 2.77119         NA         NA 218.92603       NA       NA 303.96078       NA       NA    0.78204             NA             NA    2.30719             NA             NA     2.37115              NA              NA 143.14325            NA            NA  -1.52514            NA            NA      1.52514               NA               NA   85.03475          NA          NA   85.03475             NA             NA        NA            NA            NA            NA            NA               NA                   NA                   NA     45545 0.24781         NA         NA 61.99748          NA          NA  6886.32165          NA          NA  82.98386           NA           NA
