VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH         OBS_THRESH         COV_THRESH ALPHA LINE_TYPE TOTAL BASER    BASER_NCL BASER_NCU BASER_BCL BASER_BCU FMEAN   FMEAN_NCL FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY    PODY_NCL PODY_NCU PODY_BCL PODY_BCU PODN     PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD     POFD_NCL POFD_NCU POFD_BCL POFD_BCU FAR       FAR_NCL   FAR_NCU   FAR_BCL FAR_BCU CSI     CSI_NCL CSI_NCU CSI_BCL CSI_BCU GSS       GSS_BCL GSS_BCU HK       HK_NCL    HK_NCU   HK_BCL HK_BCU HSS      HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS   LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS    ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI     EDI_NCL  EDI_NCU EDI_BCL EDI_BCU SEDI    SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU HSS_EC  HSS_EC_BCL HSS_EC_BCU EC_VALUE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           ==FBIAS1(266.70938) >273               NA         0.1   CTS       45845 0.98966   0.98885   0.99041         NA        NA 0.98957  0.98876    0.99033        NA        NA 0.98499 0.98403 0.9859       NA      NA 0.99991        NA        NA 0.99237  0.99168  0.99301       NA       NA 0.27848  0.27505  0.28194        NA       NA 0.72152  0.71806  0.72495        NA       NA 0.0075385 0.0069025 0.0082327      NA      NA 0.98495 0.98399 0.98586      NA      NA 0.15589        NA      NA 0.27085  0.2637    0.27801      NA     NA 0.26973       NA      NA 50.22564 41.51413 60.7652        NA       NA 3.91653   3.72603   4.10702        NA        NA 0.96096  0.95366  0.96825       NA       NA  0.15169   0.10849  0.19489       NA      NA 0.15658    0.1132   0.19996        NA       NA 0.95417  0.93812 0.97021      NA      NA 0.6036   0.53626  0.67093       NA       NA 0.15574          NA        NA 0.96999         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           ==FBIAS1(266.70938) >273               NA         0.05  CTS       45845 0.98966   0.98869   0.99055         NA        NA 0.98957  0.9886     0.99046        NA        NA 0.98499 0.98384 0.98607      NA      NA 0.99991        NA        NA 0.99237  0.99154  0.99313       NA       NA 0.27848  0.2744   0.2826         NA       NA 0.72152  0.7174   0.7256         NA       NA 0.0075385 0.006787  0.0083726      NA      NA 0.98495 0.98379 0.98602      NA      NA 0.15589        NA      NA 0.27085  0.26207   0.27964      NA     NA 0.26973       NA      NA 50.22564 40.02646 63.02367       NA       NA 3.91653   3.68954   4.14351        NA        NA 0.96096  0.95227  0.96965       NA       NA  0.15169   0.10022  0.20316       NA      NA 0.15658    0.10489  0.20827        NA       NA 0.95417  0.93505 0.97329      NA      NA 0.6036   0.52336  0.68383       NA       NA 0.15574          NA        NA 0.96999         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           <SFP50(281.58438)   <SOP50(285.16629)  NA         0.1   CTS       45845 0.49968   0.49584   0.50352         NA        NA 0.49851  0.49466    0.50235        NA        NA 0.75129 0.74796 0.7546       NA      NA 0.99764        NA        NA 0.74996  0.74662  0.75327       NA       NA 0.75263  0.7493   0.75593        NA       NA 0.24737  0.24407  0.2507         NA       NA 0.24827   0.24497   0.25161        NA      NA 0.60108 0.59731 0.60483      NA      NA 0.33563        NA      NA 0.50258  0.49593   0.50924      NA     NA 0.50258       NA      NA  9.1253   8.80665  9.45548       NA       NA 2.21105   2.17551   2.24659        NA        NA 0.80247  0.79615  0.8088        NA       NA  0.41368   0.40465  0.42272       NA      NA 0.41609    0.40704  0.42514        NA       NA 0.65839  0.64839 0.66838      NA      NA 0.65905  0.64906  0.66904       NA       NA 0.33598          NA        NA 0.50258         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           <SFP50(281.58438)   <SOP50(285.16629)  NA         0.05  CTS       45845 0.49968   0.49511   0.50426         NA        NA 0.49851  0.49393    0.50308        NA        NA 0.75129 0.74731 0.75523      NA      NA 0.99764        NA        NA 0.74996  0.74597  0.7539        NA       NA 0.75263  0.74866  0.75656        NA       NA 0.24737  0.24344  0.25134        NA       NA 0.24827   0.24434   0.25225        NA      NA 0.60108 0.59659 0.60555      NA      NA 0.33563        NA      NA 0.50258  0.49466   0.51051      NA     NA 0.50258       NA      NA  9.1253   8.74688  9.52009       NA       NA 2.21105   2.1687    2.2534         NA        NA 0.80247  0.79494  0.81001       NA       NA  0.41368   0.40291  0.42445       NA      NA 0.41609    0.4053   0.42688        NA       NA 0.65839  0.64648 0.6703       NA      NA 0.65905  0.64715  0.67095       NA       NA 0.33598          NA        NA 0.50258         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           >=SFP50(281.58438)  >=SOP50(285.16629) NA         0.1   CTS       45845 0.50032   0.49648   0.50416         NA        NA 0.50149  0.49765    0.50534        NA        NA 0.75129 0.74796 0.7546       NA      NA 1.00235        NA        NA 0.75263  0.7493   0.75593       NA       NA 0.74996  0.74662  0.75327        NA       NA 0.25004  0.24673  0.25338        NA       NA 0.24914   0.24583   0.25248        NA      NA 0.60223 0.59847 0.60599      NA      NA 0.33563        NA      NA 0.50258  0.49595   0.50921      NA     NA 0.50258       NA      NA  9.1253   8.80665  9.45548       NA       NA 2.21105   2.17551   2.24659        NA        NA 0.80247  0.79615  0.8088        NA       NA  0.41807   0.40903  0.42711       NA      NA 0.41566    0.40664  0.42469        NA       NA 0.65972  0.64967 0.66977      NA      NA 0.65905  0.649    0.6691        NA       NA 0.33529          NA        NA 0.50258         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC165  NEAREST     1           >=SFP50(281.58438)  >=SOP50(285.16629) NA         0.05  CTS       45845 0.50032   0.49574   0.50489         NA        NA 0.50149  0.49692    0.50607        NA        NA 0.75129 0.74731 0.75523      NA      NA 1.00235        NA        NA 0.75263  0.74866  0.75656       NA       NA 0.74996  0.74597  0.7539         NA       NA 0.25004  0.2461   0.25403        NA       NA 0.24914   0.2452    0.25312        NA      NA 0.60223 0.59774 0.6067       NA      NA 0.33563        NA      NA 0.50258  0.49468   0.51048      NA     NA 0.50258       NA      NA  9.1253   8.74688  9.52009       NA       NA 2.21105   2.1687    2.2534         NA        NA 0.80247  0.79494  0.81001       NA       NA  0.41807   0.4073   0.42884       NA      NA 0.41566    0.40491  0.42642        NA       NA 0.65972  0.64775 0.67169      NA      NA 0.65905  0.64707  0.67103       NA       NA 0.33529          NA        NA 0.50258         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           ==FBIAS1(267.33438) >273               NA         0.1   CTS       62094 0.98969   0.989     0.99034         NA        NA 0.98945  0.98876    0.9901         NA        NA 0.9796  0.97864 0.98051      NA      NA 0.99976        NA        NA 0.98957  0.98888  0.99022       NA       NA 0.021875 0.02093  0.022862       NA       NA 0.97813  0.97714  0.97907        NA       NA 0.010189  0.0095471 0.010874       NA      NA 0.97959 0.97864 0.9805       NA      NA 0.0056888      NA      NA 0.011444 0.0045052 0.018384     NA     NA 0.011313      NA      NA  2.12174  1.35387  3.32511       NA       NA 0.75224   0.30297   1.2015         NA        NA 0.35933  0.1637   0.55496       NA       NA -0.005992 -0.038475 0.026491      NA      NA 0.0057186 -0.027147 0.038584       NA       NA 0.35679 -0.94657 1.66015      NA      NA 0.08936 -0.29867  0.47739       NA       NA 0.0037541        NA        NA 0.95919         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           ==FBIAS1(267.33438) >273               NA         0.05  CTS       62094 0.98969   0.98887   0.99046         NA        NA 0.98945  0.98862    0.99023        NA        NA 0.9796  0.97845 0.98068      NA      NA 0.99976        NA        NA 0.98957  0.98874  0.99034       NA       NA 0.021875 0.020754 0.023055       NA       NA 0.97813  0.97694  0.97925        NA       NA 0.010189  0.0094288 0.01101        NA      NA 0.97959 0.97845 0.98067      NA      NA 0.0056888      NA      NA 0.011444 0.0030324 0.019856     NA     NA 0.011313      NA      NA  2.12174  1.24222  3.62397       NA       NA 0.75224   0.2169    1.28757        NA        NA 0.35933  0.12623  0.59244       NA       NA -0.005992 -0.044698 0.032714      NA      NA 0.0057186 -0.033443 0.04488        NA       NA 0.35679 -1.19626 1.90984      NA      NA 0.08936 -0.37301  0.55173       NA       NA 0.0037541        NA        NA 0.95919         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           <SFP50(280.58438)   <SOP50(287.9563)   NA         0.1   CTS       62094 0.49824   0.49494   0.50155         NA        NA 0.49791  0.49461    0.50121        NA        NA 0.87466 0.87246 0.87683      NA      NA 0.99932        NA        NA 0.87388  0.87167  0.87605       NA       NA 0.87543  0.87324  0.8776         NA       NA 0.12457  0.1224   0.12676        NA       NA 0.12553   0.12336   0.12773        NA      NA 0.77647 0.77371 0.77921      NA      NA 0.59912        NA      NA 0.74931  0.74493   0.75369      NA     NA 0.74931       NA      NA 48.69409 46.79077 50.67484       NA       NA 3.88556   3.84569   3.92543        NA        NA 0.95975  0.95818  0.96133       NA       NA  0.67572   0.66856  0.68288       NA      NA 0.67654    0.66937  0.6837         NA       NA 0.87842  0.87406 0.88278      NA      NA 0.87883  0.87449  0.88318       NA       NA 0.59942          NA        NA 0.74932         NA         NA      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 TMP      K          Z2       TMP     K         Z2      ANALYS DTC166  NEAREST     1           <SFP50(280.58438)   <SOP50(287.9563)   NA         0.05  CTS       62094 0.49824   0.49431   0.50218         NA        NA 0.49791  0.49397    0.50184        NA        NA 0.87466 0.87203 0.87724      NA      NA 0.99932        NA        NA 0.87388  0.87124  0.87646       NA       NA 0.87543  0.87281  0.87801        NA       NA 0.12457  0.12199  0.12719        NA       NA 0.12553   0.12295   0.12816        NA      NA 0.77647 0.77318 0.77973      NA      NA 0.59912        NA      NA 0.74931  0.74409   0.75453      NA     NA 0.74931       NA      NA 48.69409 46.43472 51.0634        NA       NA 3.88556   3.83805   3.93307        NA        NA 0.95975  0.95788  0.96163       NA       NA  0.67572   0.66719  0.68425       NA      NA 0.67654    0.668    0.68507        NA       NA 0.87842  0.87323 0.88361      NA      NA 0.87883  0.87365  0.88401       NA       NA 0.59942          NA        NA 0.74932         NA         NA      0.5
