VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK    INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_1 ON_1  THRESH_2 OY_2 ON_2 THRESH_3 OY_3 ON_3 THRESH_4 OY_4 ON_4 THRESH_5 OY_5 ON_5 THRESH_6 OY_6 ON_6 THRESH_7 OY_7 ON_7 THRESH_8 OY_8 ON_8 THRESH_9 OY_9 ON_9 THRESH_10 OY_10 ON_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >12.89     NA         NA    PCT        2635       11        0    0  2635      0.1    0    0      0.2    0    0      0.3    0    0      0.4    0    0      0.5    0    0      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   >12.89     NA         NA    PCT        5907       11        0    0  5907      0.1    0    0      0.2    0    0      0.3    0    0      0.4    0    0      0.5    0    0      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   >12.89     NA         NA    PCT       15323       11        0   10 14656      0.1    6  160      0.2   11  135      0.3   15   27      0.4   13   26      0.5   17   20      0.6   23   24      0.7   27    7      0.8   33    1       0.9   112     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   <273.0     NA         NA    PCT       14571       11        0   37 11172      0.1   11  121      0.2   54  148      0.3   28   37      0.4   40   63      0.5  184   40      0.6   68   31      0.7  145   26      0.8   59   11       0.9  2282    14         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   <273.0     NA         NA    PCT        4160       11        0    1  3257      0.1    4   44      0.2   16   59      0.3    8   10      0.4    9   12      0.5   46   24      0.6   42   11      0.7   70   17      0.8   27    1       0.9   501     1         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   <273.0     NA         NA    PCT        5134       11        0    2  3007      0.1    7   36      0.2   11   50      0.3   32   28      0.4   22   25      0.5   36   43      0.6   35   30      0.7   41   32      0.8   43   23       0.9  1568    63         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >298.8     NA         NA    PCT       14571       11        0    0 14238      0.1    0   31      0.2    3  100      0.3    1   23      0.4    0   16      0.5    3    6      0.6    1    9      0.7    8   18      0.8    8   13       0.9    62    31         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   >298.8     NA         NA    PCT        4160       11        0    0  3958      0.1    0   14      0.2    0   18      0.3    0    5      0.4    0    4      0.5    4    5      0.6    5    4      0.7    3    5      0.8   26    8       0.9    96     5         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   >298.8     NA         NA    PCT        5134       11        0    4  4830      0.1    4   11      0.2   10    4      0.3    8    1      0.4    7    2      0.5    2    1      0.6    9    0      0.7   32    0      0.8   58    0       0.9   151     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >12.89     NA         NA    PCT        2635       11        0    0  2635      0.1    0    0      0.2    0    0      0.3    0    0      0.4    0    0      0.5    0    0      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
