VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK    INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_TP_1    ON_TP_1 CALIBRATION_1 REFINEMENT_1 LIKELIHOOD_1 BASER_1    THRESH_2 OY_TP_2    ON_TP_2   CALIBRATION_2 REFINEMENT_2 LIKELIHOOD_2 BASER_2   THRESH_3 OY_TP_3    ON_TP_3    CALIBRATION_3 REFINEMENT_3 LIKELIHOOD_3 BASER_3   THRESH_4 OY_TP_4    ON_TP_4    CALIBRATION_4 REFINEMENT_4 LIKELIHOOD_4 BASER_4   THRESH_5 OY_TP_5   ON_TP_5    CALIBRATION_5 REFINEMENT_5 LIKELIHOOD_5 BASER_5  THRESH_6 OY_TP_6    ON_TP_6    CALIBRATION_6 REFINEMENT_6 LIKELIHOOD_6 BASER_6  THRESH_7 OY_TP_7    ON_TP_7    CALIBRATION_7 REFINEMENT_7 LIKELIHOOD_7 BASER_7  THRESH_8 OY_TP_8    ON_TP_8    CALIBRATION_8 REFINEMENT_8 LIKELIHOOD_8 BASER_8  THRESH_9 OY_TP_9    ON_TP_9    CALIBRATION_9 REFINEMENT_9 LIKELIHOOD_9 BASER_9  THRESH_10 OY_TP_10  ON_TP_10   CALIBRATION_10 REFINEMENT_10 LIKELIHOOD_10 BASER_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >12.89     NA         NA    PJC        2635       11        0 0          1          0               1         NA         0               0.1 0          0             NA           0           NA         NA             0.2 0          0              NA           0           NA         NA             0.3 0          0              NA           0           NA         NA             0.4 0         0               NA         0             NA        NA            0.5 0          0               NA         0            NA         NA            0.6 0          0               NA         0             NA        NA            0.7 0          0               NA          0            NA        NA            0.8 0          0               NA          0            NA        NA             0.9 0         0                NA           0              NA       NA               1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   >12.89     NA         NA    PJC        5907       11        0 0          1          0               1         NA         0               0.1 0          0             NA           0           NA         NA             0.2 0          0              NA           0           NA         NA             0.3 0          0              NA           0           NA         NA             0.4 0         0               NA         0             NA        NA            0.5 0          0               NA         0            NA         NA            0.6 0          0               NA         0             NA        NA            0.7 0          0               NA          0            NA        NA            0.8 0          0               NA          0            NA        NA             0.9 0         0                NA           0              NA       NA               1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   >12.89     NA         NA    PJC       15323       11        0 0.00065261 0.95647    0.00068185      0.95712    0.037453  0.00068185      0.1 0.00039157 0.010442       0.036145    0.010833     0.022472   0.036145      0.2 0.00071788 0.0088103       0.075342    0.0095282    0.041199   0.075342      0.3 0.00097892 0.0017621       0.35714     0.002741     0.05618    0.35714       0.4 0.0008484 0.0016968        0.33333   0.0025452      0.048689  0.33333      0.5 0.0011094  0.0013052        0.45946   0.0024147     0.06367    0.45946      0.6 0.001501   0.0015663        0.48936   0.0030673      0.086142  0.48936      0.7 0.0017621  0.00045683       0.79412    0.0022189     0.10112   0.79412      0.8 0.0021536  6.5261e-05       0.97059    0.0022189     0.1236    0.97059       0.9 0.0073093 0                 1           0.0073093       0.41948  1               1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   <273.0     NA         NA    PJC       14571       11        0 0.0025393  0.76673    0.0033009       0.76927    0.012724  0.0033009       0.1 0.00075492 0.0083042      0.083333    0.0090591    0.0037827  0.083333      0.2 0.003706   0.010157        0.26733     0.013863     0.018569   0.26733       0.3 0.0019216  0.0025393       0.43077     0.0044609    0.0096286  0.43077       0.4 0.0027452 0.0043237        0.38835   0.0070688      0.013755  0.38835      0.5 0.012628   0.0027452        0.82143   0.015373      0.063274   0.82143      0.6 0.0046668  0.0021275        0.68687   0.0067943      0.023384  0.68687      0.7 0.0099513  0.0017844        0.84795    0.011736      0.049862  0.84795      0.8 0.0040491  0.00075492       0.84286    0.0048041     0.020289  0.84286       0.9 0.15661   0.00096081        0.9939      0.15757         0.78473  0.9939          1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   <273.0     NA         NA    PJC        4160       11        0 0.00024038 0.78293    0.00030694      0.78317    0.0013812 0.00030694      0.1 0.00096154 0.010577       0.083333    0.011538     0.0055249  0.083333      0.2 0.0038462  0.014183        0.21333     0.018029     0.022099   0.21333       0.3 0.0019231  0.0024038       0.44444     0.0043269    0.01105    0.44444       0.4 0.0021635 0.0028846        0.42857   0.0050481      0.012431  0.42857      0.5 0.011058   0.0057692        0.65714   0.016827      0.063536   0.65714      0.6 0.010096   0.0026442        0.79245   0.01274        0.058011  0.79245      0.7 0.016827   0.0040865        0.8046     0.020913      0.096685  0.8046       0.8 0.0064904  0.00024038       0.96429    0.0067308     0.037293  0.96429       0.9 0.12043   0.00024038        0.99801     0.12067         0.69199  0.99801         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   <273.0     NA         NA    PJC        5134       11        0 0.00038956 0.5857     0.00066467      0.58609    0.001113  0.00066467      0.1 0.0013635  0.0070121      0.16279     0.0083755    0.0038954  0.16279       0.2 0.0021426  0.009739        0.18033     0.011882     0.0061213  0.18033       0.3 0.006233   0.0054538       0.53333     0.011687     0.017807   0.53333       0.4 0.0042852 0.0048695        0.46809   0.0091547      0.012243  0.46809      0.5 0.0070121  0.0083755        0.4557    0.015388      0.020033   0.4557       0.6 0.0068173  0.0058434        0.53846   0.012661       0.019477  0.53846      0.7 0.007986   0.006233         0.56164    0.014219      0.022816  0.56164      0.8 0.0083755  0.0044799        0.65152    0.012855      0.023929  0.65152       0.9 0.30541   0.012271          0.96137     0.31769         0.87257  0.96137         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >298.8     NA         NA    PJC       14571       11        0 0          0.97715    0               0.97715    0         0               0.1 0          0.0021275      0           0.0021275    0          0             0.2 0.00020589 0.0068629       0.029126    0.0070688    0.034884   0.029126      0.3 6.8629e-05 0.0015785       0.041667    0.0016471    0.011628   0.041667      0.4 0         0.0010981        0         0.0010981      0         0            0.5 0.00020589 0.00041178       0.33333   0.00061767    0.034884   0.33333      0.6 6.8629e-05 0.00061767       0.1       0.00068629     0.011628  0.1          0.7 0.00054904 0.0012353        0.30769    0.0017844     0.093023  0.30769      0.8 0.00054904 0.00089218       0.38095    0.0014412     0.093023  0.38095       0.9 0.004255  0.0021275         0.66667     0.0063825       0.72093  0.66667         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2 NEAREST     1           ==0.10000   >298.8     NA         NA    PJC        4160       11        0 0          0.95144    0               0.95144    0         0               0.1 0          0.0033654      0           0.0033654    0          0             0.2 0          0.0043269       0           0.0043269    0          0             0.3 0          0.0012019       0           0.0012019    0          0             0.4 0         0.00096154       0         0.00096154     0         0            0.5 0.00096154 0.0012019        0.44444   0.0021635     0.029851   0.44444      0.6 0.0012019  0.00096154       0.55556   0.0021635      0.037313  0.55556      0.7 0.00072115 0.0012019        0.375      0.0019231     0.022388  0.375        0.8 0.00625    0.0019231        0.76471    0.0081731     0.19403   0.76471       0.9 0.023077  0.0012019         0.9505      0.024279        0.71642  0.9505          1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_3 NEAREST     1           ==0.10000   >298.8     NA         NA    PJC        5134       11        0 0.00077912 0.94079    0.00082747      0.94157    0.014035  0.00082747      0.1 0.00077912 0.0021426      0.26667     0.0029217    0.014035   0.26667       0.2 0.0019478  0.00077912      0.71429     0.0027269    0.035088   0.71429       0.3 0.0015582  0.00019478      0.88889     0.001753     0.02807    0.88889       0.4 0.0013635 0.00038956       0.77778   0.001753       0.024561  0.77778      0.5 0.00038956 0.00019478       0.66667   0.00058434    0.0070175  0.66667      0.6 0.001753   0                1         0.001753       0.031579  1            0.7 0.006233   0                1          0.006233      0.11228   1            0.8 0.011297   0                1          0.011297      0.20351   1             0.9 0.029412  0                 1           0.029412        0.52982  1               1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_1 NEAREST     1           ==0.10000   >12.89     NA         NA    PJC        2635       11        0 0          1          0               1         NA         0               0.1 0          0             NA           0           NA         NA             0.2 0          0              NA           0           NA         NA             0.3 0          0              NA           0           NA         NA             0.4 0         0               NA         0             NA        NA            0.5 0          0               NA         0            NA         NA            0.6 0          0               NA         0             NA        NA            0.7 0          0               NA          0            NA        NA            0.8 0          0               NA          0            NA        NA             0.9 0         0                NA           0              NA       NA               1
