VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK       INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH BASER     BASER_NCL   BASER_NCU  RELIABILITY RESOLUTION UNCERTAINTY ROC_AUC  BRIER     BRIER_NCL   BRIER_NCU  BRIERCL   BRIERCL_NCL BRIERCL_NCU BSS      BSS_SMPL THRESH_1 THRESH_2 THRESH_3 THRESH_4 THRESH_5 THRESH_6 THRESH_7 THRESH_8 THRESH_9 THRESH_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_1    NEAREST     1           ==0.10000   >12.89     NA         0.05  PSTD       2635       11 0          1.0826e-19  0.0014557   0.0025     0           0         NA       0.0025     0.001762    0.003238  0.0025     0.001762     0.003238   0       NA              0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_2    NEAREST     1           ==0.10000   >12.89     NA         0.05  PSTD       5907       11 0          5.4175e-20  0.0006499   0.0025     0           0         NA       0.0025     0.0021743   0.0028257 0.0025     0.0021743    0.0028257  0       NA              0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_3    NEAREST     1           ==0.10000   >12.89     NA         0.05  PSTD      15323       11 0.017425   0.015471    0.019621    0.0029477  0.012441    0.017121   0.97895 0.0076282  0.0055378   0.0097187 0.018182   0.016106     0.020258   0.58046  0.55446        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(WIND>12.890) %          Z10      WIND    m/s       Z10     GFSANL FULL_BIN_MEAN NEAREST     1           ==0.10000   >12.89     NA         NA    PSTD      23865       11 0.0058083 NA          NA           0.0026492  0.0041469   0.0057071  0.97895 0.0042094 NA          NA         0.0077274 NA           NA          0.19349  0.55446        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1    NEAREST     1           ==0.10000   <273.0     NA         0.05  PSTD      14571       11 0.19957    0.19316     0.20614     0.0033364  0.14421     0.15974    0.99106 0.018868   0.011149    0.026587  0.083737   0.076319     0.091154   0.77467  0.88189        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2    NEAREST     1           ==0.10000   <273.0     NA         0.05  PSTD       4160       11 0.17404    0.16282     0.18586     0.0029305  0.12765     0.14375    0.99629 0.019029   0.0058379   0.03222   0.022404   0.0090444    0.035763   0.15064  0.86762        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_3    NEAREST     1           ==0.10000   <273.0     NA         0.05  PSTD       5134       11 0.35002    0.33709     0.36317     0.0032277  0.19385     0.22751    0.98529 0.036883   0.017432    0.056334  0.070985   0.050835     0.091134   0.48041  0.83788        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP<273.000) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_MEAN NEAREST     1           ==0.10000   <273.0     NA         NA    PSTD      23865       11 0.24121   NA          NA           0.0031649  0.15524     0.177      0.99088 0.024927  NA          NA         0.059042  NA           NA          0.46858  0.86246        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_1    NEAREST     1           ==0.10000   >298.8     NA         0.05  PSTD      14571       11 0.0059021  0.004782    0.0072827   0.0046297  0.0032643   0.0058673  0.99793 0.0072327  0.005984    0.0084814 0.039457   0.03838      0.040534   0.81669 -0.23271        0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_120000 20120409_120000 PROB(TMP>298.800) %          Z2       TMP     K         Z2      GFSANL FULL_BIN_2    NEAREST     1           ==0.10000   >298.8     NA         0.05  PSTD       4160       11 0.032212   0.027263    0.038023    0.00344    0.027042    0.031174   0.99867 0.0075721  0.0020955   0.013049  0.00625    0.00076959   0.01173   -0.21154  0.7571         0      0.1      0.2      0.3      0.4      0.5      0.6      0.7      0.8       0.9         1
