VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        F001       CF000  134.43478   61.08696     39.11405    -81.09307  43.55852  6.37974  4.27687   13          11 167.07455   191.11583   114.87147    0.1875        2.1236       7.194         8.458      12.678       14.1448          8.458     118.2          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        F002       CF000   56         58.5         37.38626   -116.63536  90        5        2         10           3  94.25941    65.16775   105.81761    0             3.019        4.209         4.761       5.2155       5.981           4.761      27.522        NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        F003       CF001  131.84277   43.22222     32.83046    -82.99173  37.0378  29.98522 23.40342  421         254 157.06931   191.65165    85.1141     0.15462       0.4252       2.5595       10.293      22.9995      36.2886         10.293    5894.202        NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        F004       CF002   97.93046   38.1457      31.41636    -97.58306  44.30415 28.29936 13.95217  251         168 129.85804   127.83864   107.72532    0.26176       2.5448       4.348         7.12       11.154       15.2944          7.12     2018.256        NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O001       CO000  145.81928   62.0241      38.95376    -75.89011 -16.48782 11.00786  8.80629   62          22 178.07042   225.53717    77.1954     0.13287       0.29         1.35          2.95       11.65        30.14            2.95      477.6          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O002       CO001  133.48536   38.69029     31.13985    -82.46741 -61.3297  40.94825 26.89685  571         317 156.40641   203.63921    48.39125    0.22629       1.1          3.1           7.6        15.825       25.49            7.6      5721.60002      NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O003       CO000   89.33333   48.58667     35.08542   -101.44849 -38.41776 11.40124  7.97007   54          22 114.19484   138.67011    64.47368    0.17557       0.26         1.3           4.4        11.75        21.66            4.4       471.1          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O004       CO000   73.64865   47.60811     34.32347   -108.26929  21.76787 13.55641  8.91294   51          25  98.84195   116.7491     61.96888    0.31081       0.78         2.15          4.6         9.575       17.96            4.6       361.5          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O005       CO002  106.49383   39.75309     32.01707    -93.9339   -4.24971 10.12071  9.27167   59          27 127.20081   160.63964    57.47121    0.15714       0.94         1.9           4.3        11.25        21.92            4.3       534.2          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  6412    40       NA   240000    20050808_000000 240000     000000   20050808_000000 240000    5        >=5.0    5       >=5.0   APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     MC_PCP        O006       CO000   67.14493   40.24638     31.42352   -110.7174  -14.99108  9.98704  8.7624    49          23  87.78288   103.39808    56.11196    0.16239       0.7          1.575         5.95       13.8         17.97            5.95      323.7          NA                  NA          NA        NA          NA         NA                      NA         NA             NA               NA              NA               NA                         NA       NA
