VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F001       CF000   51.88462  151.61538     44.02933   -126.60512   1.22211  7.04106  3.08463   16          11 180.48995    98.32356   220.43013    0.11111        4.805       5.7475        6.985      10.5875       11.78           6.985     111.69         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F002       CF001   79.45455   95.63636     39.54217   -123.05521 -71.52658 56.61049 22.78453  827         787 143.45748    96.58194   163.56445    0.13312        5.67        7.185         9.11       11.495        15.354          9.11     8081.87999      NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F003       CF001   75.125    120.875       41.60843   -123.6629   45        2.82843  2.12132    3           3 159.38557   120.44762   176.49756    0.14286        5.996       6.035         6.1         6.2           6.26           6.1        18.37         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F004       CF000   92.24742   66.81443     37.23625   -121.6345   12.46933 14.31752  7.69855   73          65 133.90036   162.49892    67.14266    0.17978        4.974       5.83          7.03        8.74         11.116          7.03      567.73         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F005       CF000   94.54869   36.01188     34.78956   -121.35564 -84.35852 46.26872 12.74043  354         335 114.78172   138.42285    65.25996    0.22623        5.459       6.28          7.56        8.7675       10.126          7.56     2715.84         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        O001       CO001   84.38693  104.56281     40.29206   -122.56533  87.94059 24.09231 11.02883  161         141 162.04809    79.97732   194.76183    0.19701        4.87        5.84          7.06        8.75         11.23           7.06     1239.99         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        O002       CO001   85.9172    83.36306     38.56085   -122.32682  87.18156 16.07899 12.32968  126         115 135.19602   116.59531   137.93944    0.16279        5.365       6.4525        7.845       9.7825       12.405          7.845    1058.84         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F001_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            57.18693      43.27817         43.27817   86.71848    0.019682   0.099379                 0        177            177                0               0.89782          0.56399                    0.98938  0.037758
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F001_O002 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            76.26662      65.76473         65.76473   85.95945    0.32873    0.12698                  0        142            142                0               0.74905          0.68254                    0.89038  0.02478
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F002_O001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            10.19853       0                0         20.53283    0.055295   5.13665                112        876            764                0.69565         0.88528          0.67573                    0.77497  0.90336
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F002_O002 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            13.87083       0                0         21.29186    0.36434    6.56349                123        830            707                0.97619         0.94241          0.81776                    0.86114  0.89166
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F003_O001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            18.75822       6.40312          6.40312   42.94059    0.29223    0.018634                 0        164            164                0               0.98357          0.72514                    0.86402  0.51327
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F003_O002 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            39.03354      29.41088         29.41088   42.18156    0.01682    0.02381                  0        129            129                0               0.84823          0.87755                    0.77757  0.22928
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F004_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            38.55811      23.4094          23.40085   75.47126    0.079928   0.45342                  0        234            234                0               0.8263           0.91253                    0.99575  0.35595
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F004_O002 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            17.71803       6.40312          6.00833   74.71223    0.22912    0.57937                  0        199            199                0               0.99042          0.90552                    0.89611  0.60453
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F005_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            69.30002      36.22154         36.22154    7.7009     0.18242    2.19876                  0        515            515                0               0.70832          0.87083                    0.93386  0.23563
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F005_O002 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            48.13146      19               19          8.45992    0.49146    2.80952                  0        480            480                0               0.849            0.71958                    0.96367  0.42361
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4       CF001       CF001   79.41694   95.85559     39.55999   -123.06025 -71.84544 56.56231 22.65052  830         790 143.77012    96.01722   164.28067    0.13542        5.67        7.17          9.09       11.4675       15.336          9.09     8100.24999      NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4       CO001       CO001   85.0618    95.21348     39.52563   -122.45784 -86.97497 41.31227 12.19437  287         256 154.53498    85.38557   181.40353    0.3134         4.916       6.06          7.42        9.44         11.736          7.42     2298.83         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4 CF001_CO001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA             5.68126       0                0         15.12953    0.10528    2.89199                235        882            647                0.81882         0.93034          0.43209                    0.81628  0.93271
