VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        F001       CF001   84.38693  104.56281     40.29206   -122.56533  87.94059 24.09231 11.02883  161         141 162.04809    79.97732   194.76183    0.19701        4.87        5.84          7.06        8.75         11.23           7.06        1239.99      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        F002       CF001   85.9172    83.36306     38.56085   -122.32682  87.18156 16.07899 12.32968  126         115 135.19602   116.59531   137.93944    0.16279        5.365       6.4525        7.845       9.7825       12.405          7.845       1058.84      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        O001       CO001   84.38693  104.56281     40.29206   -122.56533  87.94059 24.09231 11.02883  161         141 162.04809    79.97732   194.76183    0.19701        4.87        5.84          7.06        8.75         11.23           7.06        1239.99      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        O002       CO001   85.9172    83.36306     38.56085   -122.32682  87.18156 16.07899 12.32968  126         115 135.19602   116.59531   137.93944    0.16279        5.365       6.4525        7.845       9.7825       12.405          7.845       1058.84      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F001_O001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA             NA          0                   0                0    0           0          1                     161        161              0                      1          1               1                          1        1
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F001_O002 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA             NA         21.25491             1                1    0.75903     0.30905    1.27778                 0        287            287                      0          0.8343          0.82632                    0.89994  0.72469
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F002_O001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA             NA         21.25491             1                1    0.75903     0.30905    0.78261                 0        287            287                      0          0.8343          0.82632                    0.89994  0.72469
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F002_O002 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA             NA          0                   0                0    0           0          1                     126        126              0                      1          1               1                          1        1
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CF001       CF001   85.0618    95.21348     39.52563   -122.45784 -86.97497 41.31227 12.19437  287         256 154.53498    85.38557   181.40353    0.3134         4.916       6.06          7.42        9.44         11.736          7.42        2298.83      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CO001       CO001   85.0618    95.21348     39.52563   -122.45784 -86.97497 41.31227 12.19437  287         256 154.53498    85.38557   181.40353    0.3134         4.916       6.06          7.42        9.44         11.736          7.42        2298.83      NA                  NA               NA   NA          NA         NA                      NA         NA             NA                     NA         NA              NA                         NA       NA
