VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR      OBS_RAD OBS_THR       FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO  INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F001       CF001   51.5      152.5         44.10055   -126.66149   0        3        1          3           0 181.2177     97.391     221.9541     0              6.213       6.2175        6.225       6.2325        6.237          6.225      12.45         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F002       CF002   79.65152   94.69545     39.46584   -123.02987 -69.86936 52.04451 19.68382  564         522 142.45146    97.27481   161.77287    0.23784        7.9         8.8875       10.43       13.3025       16.585         10.43     6394.29999      NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F003       CF002   95.1875    67.1875      37.27032   -121.33814  72.74574  4.41322  3.45822    8           8 131.40233   132.91832   114.78431    0.15789        8.234       8.4275        8.77        8.8175        9.119          8.77       69.61         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F004       CF002   88.33333   65.875       37.15345   -122.02716 -19.60488  5.38121  4.43918   14          11 123.61034   138.34854    91.01203    0.15152        6.41        8.69         11.22       14.8925       18.111         11.22      169.51         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F005       CF003   93.35088   47.85965     35.72405   -121.48999 -85.34847 17.1062   8.21694   87          76 118.54228   132.84304    86.11103    0.14286        7.466       8.41          9.6        10.755        11.968          9.6       845.27         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        F006       CF003   96.1954    26.5977      34.05316   -121.18708  86.49105 18.02746  6.17236   61          56 112.75484   140.49132    54.21781    0.25153        7.75        8.16          8.6         9.06          9.48           8.6       525.33         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        O001       CO001   51.5      152.5         44.10055   -126.66149   0        3        1          3           0 181.2177     97.391     221.9541     0              6.213       6.2175        6.225       6.2325        6.237          6.225      12.45         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        O002       CO002   79.65152   94.69545     39.46584   -123.02987 -69.86936 52.04451 19.68382  564         522 142.45146    97.27481   161.77287    0.23784        7.9         8.8875       10.43       13.3025       16.585         10.43     6394.29999      NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        O003       CO002   95.1875    67.1875      37.27032   -121.33814  72.74574  4.41322  3.45822    8           8 131.40233   132.91832   114.78431    0.15789        8.234       8.4275        8.77        8.8175        9.119          8.77       69.61         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     300000   20120410_180000 060000    2        >=SFP95(7.63) 2       >=SFP95(7.63) APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A6      STAGE4        O004       CO002   88.33333   65.875       37.15345   -122.02716 -19.60488  5.38121  4.43918   14          11 123.61034   138.34854    91.01203    0.15152        6.41        8.69         11.22       14.8925       18.111         11.22      169.51         NA            NA               NA         NA         NA         NA                        NA         NA             NA                     NA        NA               NA                         NA       NA
