VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR        OBS_RAD OBS_THR         FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        F001       CF001   83.43402   94.70229      39.479    -122.62871 -82.24362 55.98137 24.63631  825         756 147.41315    97.32778   168.03914    0.15644        1.026        1.75         3.5           6.41        9.158          3.5         3539.17      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        F002       CF002   91.3125    57.0625       36.4534   -121.70814 -71.56505  4.42719  3.16228    8           7 120.57468   133.58105    91.04591    0.2            0.614        1.175        1.645         2.29        2.434          1.645         12.87      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        O001       CO001   83.43402   94.70229      39.479    -122.62871 -82.24362 55.98137 24.63631  825         756 147.41315    97.32778   168.03914    0.15644        1.026        1.75         3.5           6.41        9.158          3.5         3539.17      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4        O002       CO002   91.3125    57.0625       36.4534   -121.70814 -71.56505  4.42719  3.16228    8           7 120.57468   133.58105    91.04591    0.2            0.614        1.175        1.645         2.29        2.434          1.645         12.87      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F001_O001 CF001_CO001   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA          0                   0                0    0           0         1                      825        825              0                      1         1                1                             1     1
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F001_O002 CF001_CO002   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA         38.45548             5                5   10.67857     0.27421 103.125                    0        833            833                      0         0.81794          0.78221                       0.47  0.54315
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F002_O001 CF002_CO001   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA         38.45548             5                5   10.67857     0.27421   0.009697                 0        833            833                      0         0.81794          0.78221                       0.47  0.54315
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4   F002_O002 CF002_CO002   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA          0                   0                0    0           0         1                        8          8              0                      1         1                1                             1     1
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CF001       CF001   83.43402   94.70229      39.479    -122.62871 -82.24362 55.98137 24.63631  825         756 147.41315    97.32778   168.03914    0.15644        1.026        1.75         3.5           6.41        9.158          3.5         3539.17      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CF002       CF002   91.3125    57.0625       36.4534   -121.70814 -71.56505  4.42719  3.16228    8           7 120.57468   133.58105    91.04591    0.2            0.614        1.175        1.645         2.29        2.434          1.645         12.87      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CO001       CO001   83.43402   94.70229      39.479    -122.62871 -82.24362 55.98137 24.63631  825         756 147.41315    97.32778   168.03914    0.15644        1.026        1.75         3.5           6.41        9.158          3.5         3539.17      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4       CO002       CO002   91.3125    57.0625       36.4534   -121.70814 -71.56505  4.42719  3.16228    8           7 120.57468   133.58105    91.04591    0.2            0.614        1.175        1.645         2.29        2.434          1.645         12.87      NA                  NA               NA   NA          NA        NA                       NA         NA             NA                     NA        NA               NA                            NA    NA
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4 CF001_CO001 CF001_CO001   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA          0                   0                0    0           0         1                      825        825              0                      1         1                1                             1     1
V12.0.0 FCST  15478   9        NA   060000    20120410_180000 060000     060000   20120410_180000 060000    2        >=SOP95(0.8215) 2       >=SOP95(0.8215) APCP_06  kg/m^2     A06      APCP_06 kg/m^2    A06     STAGE4 CF002_CO002 CF002_CO002   NA         NA            NA          NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA           NA           NA            NA          NA             NA             NA          0                   0                0    0           0         1                        8          8              0                      1         1                1                             1     1
