VERSION   MODEL  DESC  FCST_LEAD       FCST_VALID  OBS_LEAD        OBS_VALID  T_DELTA  FCST_T_BEG  FCST_T_END  FCST_RAD  FCST_THR  OBS_T_BEG  OBS_T_END  OBS_RAD  OBS_THR  FCST_VAR  FCST_UNITS  FCST_LEV  OBS_VAR  OBS_UNITS  OBS_LEV  OBJECT_ID  OBJECT_CAT  TIME_INDEX  AREA  CENTROID_X  CENTROID_Y  CENTROID_LAT  CENTROID_LON  AXIS_ANG  INTENSITY_10  INTENSITY_25  INTENSITY_50  INTENSITY_75  INTENSITY_90  INTENSITY_99
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F001       CF001           0  1129       37.48       68.59         39.74       -128.27     69.28        140.00        255.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F001       CF001           1  1129       37.48       68.59         39.74       -128.27     69.28        140.00        255.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F002       CF001           0   558      152.99       57.88         37.95        -75.20    -80.01        107.70        255.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F002       CF001           1   558      152.99       57.88         37.95        -75.20    -80.01        107.70        255.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F003       CF001           0   697      120.75       54.28         37.73        -89.82     88.43         49.60        176.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F003       CF001           1   697      120.75       54.28         37.73        -89.82     88.43         49.60        176.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F004       CF001           0   604       82.89       54.77         37.57       -106.87     83.66         53.30        206.75        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       F004       CF001           1   604       82.89       54.77         37.57       -106.87     83.66         53.30        206.75        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O001       CO001           0  1014      102.62       59.40         39.60        -98.04    -69.96         50.00        190.50        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O001       CO001           1  1014      102.62       59.40         39.60        -98.04    -69.96         50.00        190.50        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O002       CO001           0  1347       51.02       63.82         39.15       -121.75     89.50         41.60        166.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O002       CO001           1  1347       51.02       63.82         39.15       -121.75     89.50         41.60        166.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O003       CO001           0   764      144.77       53.76         36.88        -79.10     88.84         41.00        128.00        253.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface       O003       CO001           1   764      144.77       53.76         36.88        -79.10     88.84         41.00        128.00        253.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface      CF001       CF001           0  2988       87.66       60.46         39.72       -104.92     -6.25         95.70        247.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface      CF001       CF001           1  2988       87.66       60.46         39.72       -104.92     -6.25         95.70        247.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface      CO001       CO001           0  3125       90.68       59.93         39.61       -103.52     -7.04         42.00        153.00        255.00        255.00        255.00        255.00
V12.0.0  PYTHON    NA     120000  20050807_120000    120000  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface      CO001       CO001           1  3125       90.68       59.93         39.61       -103.52     -7.04         42.00        153.00        255.00        255.00        255.00        255.00
