VERSION   MODEL  DESC  FCST_LEAD       FCST_VALID  OBS_LEAD        OBS_VALID  T_DELTA  FCST_T_BEG  FCST_T_END  FCST_RAD  FCST_THR  OBS_T_BEG  OBS_T_END  OBS_RAD  OBS_THR  FCST_VAR  FCST_UNITS  FCST_LEV  OBS_VAR  OBS_UNITS  OBS_LEV  OBJECT_ID   OBJECT_CAT  SPACE_CENTROID_DIST  TIME_CENTROID_DELTA  AXIS_DIFF  SPEED_DELTA  DIRECTION_DIFF  VOLUME_RATIO  START_TIME_DELTA  END_TIME_DELTA  INTERSECTION_VOLUME  DURATION_DIFF  INTEREST
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F001_O001  CF001_CO001                65.78                 0.00     49.238         0.00            0.00          1.11                 0               0                    0              0     0.864
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F001_O002  CF001_CO001                14.35                 0.00     20.226         0.00            0.00          0.84                 0               0                 1012              0     0.962
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F001_O003  CF001_CO001               108.30                 0.00     19.558        -0.00            0.00          1.48                 0               0                    0              0     0.815
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F002_O001  CF001_CO001                50.39                 0.00     10.051         0.00            0.00          0.55                 0               0                    0              0     0.881
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F002_O002  CF001_CO001               102.14                 0.00     79.515         0.00            0.00          0.41                 0               0                    0              0     0.699
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F002_O003  CF001_CO001                 9.19                 0.00     78.847        -0.00            0.00          0.73                 0               0                  484              0     0.853
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F003_O001  CF001_CO001                18.84                 0.00     68.393         0.00            0.00          0.69                 0               0                  386              0     0.857
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F003_O002  CF001_CO001                70.38                 0.00      1.071         0.00            0.00          0.52                 0               0                    0              0     0.852
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F003_O003  CF001_CO001                24.02                 0.00      0.404        -0.00            0.00          0.91                 0               0                  170              0     0.959
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F004_O001  CF001_CO001                20.27                 0.00     63.625         0.00            0.00          0.60                 0               0                  370              0     0.854
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F004_O002  CF001_CO001                33.13                 0.00      5.839         0.00            0.00          0.45                 0               0                  326              0     0.890
V12.0.0  PYTHON    NA         NA  20050807_120000        NA  20050807_120000   000000          -1           1         0      >0.0         -1          1        0     >0.0      FCST        None   Surface      OBS       None  Surface  F004_O003  CF001_CO001                61.88                 0.00      5.172        -0.00            0.00          0.79                 0               0                    0              0     0.896
