VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER    VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10 CL_11 VALUE_11   CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14  CL_15 VALUE_15   CL_16 VALUE_16  CL_17 VALUE_17   CL_18 VALUE_18  CL_19 VALUE_19
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  NEAREST        1           <=273       <=273      NA         NA    ECLV        132 0.31818     0.55397     19 0.05  -2.25556  0.1 -0.58889  0.15 -0.033333  0.2  0.24444   0.25  0.41111   0.3  0.52222  0.35  0.54029   0.4  0.51587  0.45  0.48701    0.5  0.45238  0.55  0.41005     0.6  0.35714   0.65  0.28912   0.7  0.19841   0.75   0.071429   0.8  -0.11905  0.85  -0.43651    0.9  -1.07143  0.95  -2.97619
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  NEAREST        1           >273        >273       NA         NA    ECLV        132 0.68182     0.55397     19 0.05  -2.97619  0.1 -1.07143  0.15 -0.43651   0.2 -0.11905   0.25  0.071429  0.3  0.19841  0.35  0.28912   0.4  0.35714  0.45  0.41005    0.5  0.45238  0.55  0.48701     0.6  0.51587   0.65  0.54029   0.7  0.52222   0.75   0.41111    0.8   0.24444  0.85  -0.033333   0.9  -0.58889  0.95  -2.25556
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  MEDIAN_SQUARE  9           <=273       <=273      NA         NA    ECLV        132 0.31818     0.55397     19 0.05  -2.25556  0.1 -0.58889  0.15 -0.033333  0.2  0.24444   0.25  0.41111   0.3  0.52222  0.35  0.54029   0.4  0.51587  0.45  0.48701    0.5  0.45238  0.55  0.41005     0.6  0.35714   0.65  0.28912   0.7  0.19841   0.75   0.071429   0.8  -0.11905  0.85  -0.43651    0.9  -1.07143  0.95  -2.97619
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  MEDIAN_SQUARE  9           >273        >273       NA         NA    ECLV        132 0.68182     0.55397     19 0.05  -2.97619  0.1 -1.07143  0.15 -0.43651   0.2 -0.11905   0.25  0.071429  0.3  0.19841  0.35  0.28912   0.4  0.35714  0.45  0.41005    0.5  0.45238  0.55  0.48701     0.6  0.51587   0.65  0.54029   0.7  0.52222   0.75   0.41111    0.8   0.24444  0.85  -0.033333   0.9  -0.58889  0.95  -2.25556
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  DW_MEAN_SQUARE 9           <=273       <=273      NA         NA    ECLV        132 0.31818     0.55397     19 0.05  -2.25556  0.1 -0.58889  0.15 -0.033333  0.2  0.24444   0.25  0.41111   0.3  0.52222  0.35  0.54029   0.4  0.51587  0.45  0.48701    0.5  0.45238  0.55  0.41005     0.6  0.35714   0.65  0.28912   0.7  0.19841   0.75   0.071429   0.8  -0.11905  0.85  -0.43651    0.9  -1.07143  0.95  -2.97619
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC165  DW_MEAN_SQUARE 9           >273        >273       NA         NA    ECLV        132 0.68182     0.55397     19 0.05  -2.97619  0.1 -1.07143  0.15 -0.43651   0.2 -0.11905   0.25  0.071429  0.3  0.19841  0.35  0.28912   0.4  0.35714  0.45  0.41005    0.5  0.45238  0.55  0.48701     0.6  0.51587   0.65  0.54029   0.7  0.52222   0.75   0.41111    0.8   0.24444  0.85  -0.033333   0.9  -0.58889  0.95  -2.25556
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC166  NEAREST        1           <=273       <=273      NA         NA    ECLV        317 0.19558     0.61467     19 0.05  -0.55294  0.1  0.23137  0.15  0.49281   0.2  0.6129    0.25  0.5914    0.3  0.56682  0.35  0.53846   0.4  0.50538  0.45  0.46628    0.5  0.41935  0.55  0.36201     0.6  0.29032   0.65  0.19816   0.7  0.075269  0.75  -0.096774   0.8  -0.35484  0.85  -0.78495    0.9  -1.64516  0.95  -4.22581
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC166  NEAREST        1           >273        >273       NA         NA    ECLV        317 0.80442     0.61467     19 0.05  -4.22581  0.1 -1.64516  0.15 -0.78495   0.2 -0.35484   0.25 -0.096774  0.3  0.075269 0.35  0.19816   0.4  0.29032  0.45  0.36201    0.5  0.41935  0.55  0.46628     0.6  0.50538   0.65  0.53846   0.7  0.56682   0.75   0.5914     0.8   0.6129   0.85   0.49281    0.9   0.23137  0.95  -0.55294
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC166  MEDIAN_SQUARE  9           <=273       <=273      NA         NA    ECLV        317 0.19558     0.61467     19 0.05  -0.55294  0.1  0.23137  0.15  0.49281   0.2  0.6129    0.25  0.5914    0.3  0.56682  0.35  0.53846   0.4  0.50538  0.45  0.46628    0.5  0.41935  0.55  0.36201     0.6  0.29032   0.65  0.19816   0.7  0.075269  0.75  -0.096774   0.8  -0.35484  0.85  -0.78495    0.9  -1.64516  0.95  -4.22581
V12.0.0 FCST  NA   360000    20070331_120000 20070331_120000 000000   20070331_103000 20070331_133000 TMP      K          P900-750 TMP     NA        P900-750 ADPUPA DTC166  MEDIAN_SQUARE  9           >273        >273       NA         NA    ECLV        317 0.80442     0.61467     19 0.05  -4.22581  0.1 -1.64516  0.15 -0.78495   0.2 -0.35484   0.25 -0.096774  0.3  0.075269 0.35  0.19816   0.4  0.29032  0.45  0.36201    0.5  0.41935  0.55  0.46628     0.6  0.50538   0.65  0.53846   0.7  0.56682   0.75   0.5914     0.8   0.6129   0.85   0.49281    0.9   0.23137  0.95  -0.55294
