VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR       FBAR_NCL  FBAR_NCU   FBAR_BCL  FBAR_BCU   FSTDEV  FSTDEV_NCL FSTDEV_NCU FSTDEV_BCL FSTDEV_BCU OBAR      OBAR_NCL   OBAR_NCU  OBAR_BCL   OBAR_BCU  OSTDEV  OSTDEV_NCL OSTDEV_NCU OSTDEV_BCL OSTDEV_BCU PR_CORR PR_CORR_NCL PR_CORR_NCU PR_CORR_BCL PR_CORR_BCU SP_CORR KT_CORR RANKS FRANK_TIES ORANK_TIES ME         ME_NCL    ME_NCU     ME_BCL    ME_BCU     ESTDEV  ESTDEV_NCL ESTDEV_NCU ESTDEV_BCL ESTDEV_BCU MBIAS    MBIAS_BCL MBIAS_BCU MAE     MAE_BCL MAE_BCU MSE      MSE_BCL  MSE_BCU  BCMSE    BCMSE_BCL BCMSE_BCU RMSE    RMSE_BCL RMSE_BCU E10      E10_BCL  E10_BCU  E25       E25_BCL  E25_BCU  E50        E50_BCL   E50_BCU   E75     E75_BCL E75_BCU E90     E90_BCL E90_BCU EIQR    EIQR_BCL EIQR_BCU MAD     MAD_BCL MAD_BCU ANOM_CORR ANOM_CORR_NCL ANOM_CORR_NCU ANOM_CORR_BCL ANOM_CORR_BCU ME2        ME2_BCL    ME2_BCU  MSESS      MSESS_BCL MSESS_BCU RMSFA   RMSFA_BCL RMSFA_BCU RMSOA   RMSOA_BCL RMSOA_BCU ANOM_CORR_UNCNTR ANOM_CORR_UNCNTR_BCL ANOM_CORR_UNCNTR_BCU SI         SI_BCL       SI_BCU
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273||     <=273      NA         0.05  CNT         409 270.62441  270.31015 270.93866  270.36144 270.90043  3.24262    3.03459    3.48153    2.91922    3.53658 268.45195 268.0445   268.85941 268.03385  268.79297 4.20428    3.93454    4.51403    3.96468    4.41266 0.53846     0.46581     0.60389     0.49307     0.59936 0.65395 0.45367   409        321        311  2.17245    1.81625   2.52866    1.87072   2.5986    3.67548    3.43967    3.94627    3.41314    3.94254  1.00809   1.00696   1.00969 3.53897 3.35059 3.75266 18.19568 16.30383 20.32959 13.47612  11.62101  15.50564 4.26564  4.0378   4.50883 -2.55859 -2.8286  -1.98299  0.066406 -0.46234  0.69141  2.56641    2.31453   2.89139  4.56641 4.24014 5.06641 6.14639 5.91641 6.44216 4.5      3.89999  5.10001 2.17502 1.89999 2.50062   0.49314      0.41607        0.56317     0.42592         0.55589 4.71956    3.49959    6.75271  -0.029402  -0.20523   0.089135 2.66107   2.48543   2.84442 4.61183   4.3674    4.92812          0.41372              0.34484              0.47042  0.01589      0.015027   0.016807
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273||      >273       NA         0.05  CNT         714 279.57459  279.22292 279.92627  279.16422 279.95134  4.79447    4.55803    5.05698    4.57383    5.0164  279.37171 278.99353  279.74988 278.97656  279.75485 5.15574    4.90149    5.43803    4.91962    5.40707 0.77179     0.74034     0.79986     0.74236     0.80074 0.78276 0.59518   714        559        578  0.20289   -0.044912  0.45069   -0.026451  0.47975   3.37832    3.21171    3.56329    3.16278    3.59308  1.00073   0.99991   1.00172 2.55268 2.40362 2.71951 11.4382   9.9903  12.92368 11.39704   9.98915  12.89218 3.38204  3.16074  3.59495 -3.68359 -3.93359 -3.32565 -1.82734  -2.10861 -1.68359  0.053909  -0.1964    0.39203  1.86015 1.6725  2.42297 4.2089  3.79141 5.02122 3.68748  3.4497   4.20079 1.8625  1.74969 2.125     0.56849      0.51667        0.61616     0.51165         0.61489 0.041163   0.00010458 0.2302    0.5697     0.50508   0.62217  3.32714   3.17337   3.46438 3.87056   3.65449   4.06121          0.56736              0.51009              0.61489  0.012106     0.011322   0.012872
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           NA          NA         NA         0.05  CNT         995 276.65321  276.26107 277.04535  276.24338 277.01131  6.31108    6.04545    6.60131    6.07581    6.50512 275.72779 275.26601  276.18956 275.2669   276.1777  7.43178    7.11898    7.77354    7.20459    7.63873 0.89272     0.87936     0.90468     0.87759     0.90486 0.89449 0.72587   995        804        804  0.92542    0.71637   1.13447    0.71056   1.11783   3.36442    3.22281    3.51914    3.22852    3.54066  1.00336   1.00258   1.00406 2.71774 2.59481 2.88312 12.16435 11.08127 13.47162 11.30795  10.4129   12.52368 3.48774  3.32885  3.67037 -3.05859 -3.43359 -2.7836  -1.30859  -1.55859 -1.05797  0.79141    0.56641   1.06641  3.06641 2.8036  3.29204 5.31641 4.94103 5.5914  4.375    4.075    4.70032 2.22498 2.05002 2.35001   0.5529       0.50822        0.59462     0.50726         0.58493 0.85641    0.50491    1.24957   0.77976    0.75009   0.80297  3.07161   2.93133   3.17893 3.9717    3.80353   4.14841          0.53465              0.49047              0.56822  0.012649     0.012072   0.01332
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273||     <=273      NA         0.05  CNT         544 271.58244  271.35762 271.80726  271.35156 271.77753  2.67534    2.52526    2.84455    2.41054    2.88505 271.37205 271.1001   271.64401 271.11554  271.60794 3.2363     3.05474    3.44098    2.88828    3.69702 0.44954     0.37983     0.51418     0.3557      0.53315 0.38261 0.28176   544        463        444  0.21038   -0.053306  0.47407   -0.023218  0.43292   3.13794    2.9619     3.3364     2.88327    3.39962  1.00078   0.99991   1.0016  2.37719 2.20255 2.54096  9.87282  8.36993 11.69259  9.82856   8.29796  11.53615 3.1421   2.89308  3.41944 -3.55859 -3.82936 -3.09273 -1.68359  -2.21531 -1.55797  0.066406  -0.058594  0.31641  1.90389 1.54141 2.39764 4.2364  3.39378 4.81684 3.58749  3.24938  4.17625 1.75    1.625   2.125     0.23639      0.15541        0.31421     0.14336         0.31316 0.044261   0.00052008 0.18744   0.057363  -0.13157   0.20921  2.56417   2.44875   2.68333 3.62241   3.29305   3.96303          0.52883              0.46704              0.59039  0.011579     0.010663   0.012599
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273||      >273       NA         0.05  CNT        2926 281.19013  280.96422 281.41603  280.9787  281.4132   6.23472    6.07898    6.39871    6.10661    6.34625 281.28346 281.07015  281.49676 281.08206  281.48063 5.88682    5.73977    6.04166    5.76643    5.99753 0.92079     0.91509     0.92613     0.91459     0.92672 0.91749 0.75275  2926       2712       2703 -0.093328  -0.1816   -0.005053  -0.17079   0.0015753 2.43628    2.37542    2.50036    2.35735    2.51476  0.99967   0.99939   1.00001 1.90171 1.84813 1.9629   5.94213  5.57295  6.33047  5.93342   5.55522   6.32184 2.43765  2.36071  2.51604 -3.10861 -3.30859 -2.93359 -1.68359  -1.80859 -1.60861 -0.1586    -0.27204  -0.058594 1.36639 1.31641 1.44141 3.06641 2.94141 3.19172 3.04999  2.94986  3.25    1.52499 1.47501 1.625     0.4238       0.39361        0.45308     0.39574         0.45685 0.0087101  0.00010255 0.02917   0.82853    0.81622   0.84099  1.87446   1.82684   1.9177  2.54941   2.47991   2.62861          0.42594              0.39773              0.45924  0.0086662    0.0083947  0.0089413
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           NA          NA         NA         0.05  CNT        3200 280.23851  280.00448 280.47254  280.01428 280.45133  6.75456    6.59304    6.92425    6.61626    6.88349 280.28209 280.05449  280.5097  280.07177  280.49657 6.56914    6.41206    6.73417    6.38186    6.71658 0.93555     0.93108     0.93974     0.93029     0.94052 0.93309 0.78311  3200       2965       2937 -0.043581  -0.12669   0.03953   -0.13689   0.033677  2.39875    2.34139    2.45901    2.31827    2.48202  0.99984   0.99951   1.00012 1.84875 1.79685 1.90607  5.75412  5.37305  6.16085  5.75222   5.37269   6.15849 2.39877  2.31798  2.48211 -3.01111 -3.18359 -2.88304 -1.55859  -1.68359 -1.43984 -0.058594  -0.13361  -0.008606 1.41641 1.31641 1.44156 2.99139 2.81641 3.06641 2.97501  2.8561   3.10001 1.5     1.43717 1.54999   0.46091      0.43318        0.48777     0.4338          0.49325 0.0018993  5.95e-06   0.01874   0.86666    0.85606   0.87714  1.91176   1.8747    1.96004 2.60249   2.5218    2.68127          0.46968              0.44222              0.50226  0.0085584    0.0082682  0.0088502
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273||      >273       NA         0.05  CNT         393 283.56468  283.17715 283.95222  283.25481 283.86129  3.91978    3.66355    4.21484    3.76833    4.04743 282.99325 282.59632  283.39019 282.65585  283.35645 4.01483    3.75239    4.31705    3.82438    4.15773 0.84641     0.8158      0.8723      0.8211      0.87425 0.84522 0.65671   393        309        333  0.57143    0.35385   0.78901    0.36686   0.76393   2.2007     2.05684    2.36636    2.01888    2.33916  1.00202   1.0013    1.0027  1.7676  1.61628 1.90114  5.15728  4.37178  5.84273  4.83075   4.0655    5.45774 2.27097  2.09088  2.41717 -2.3636  -2.75861 -2.0186  -0.68359  -0.80859 -0.50673  0.56641    0.31641   0.69141  1.99139 1.69141 2.56641 3.44141 3.19141 3.62677 2.67499  2.375    3.20061 1.375   1.125   1.5       0.33513      0.24431        0.42013     0.24521         0.43945 0.32653    0.13458    0.58359   0.68005    0.62357   0.73535  1.74181   1.65869   1.82367 2.14476   2.01867   2.27945          0.33148              0.24299              0.42499  0.0080248    0.0073869  0.0085446
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           NA          NA         NA         0.05  CNT         393 283.56468  283.17715 283.95222  283.14801 283.92111  3.91978    3.66355    4.21484    3.75884    4.04533 282.99325 282.59632  283.39019 282.59347  283.39139 4.01483    3.75239    4.31705    3.81667    4.19987 0.84641     0.8158      0.8723      0.82549     0.8691  0.84522 0.65671   393        309        333  0.57143    0.35385   0.78901    0.34128   0.79502   2.2007     2.05684    2.36636    2.02718    2.335    1.00202   1.00121   1.00281 1.7676  1.63367 1.90252  5.15728  4.48642  5.86119  4.83075   4.09902   5.43835 2.27097  2.11812  2.42099 -2.3636  -2.6686  -1.80859 -0.68359  -0.80859 -0.43359  0.56641    0.26639   0.69141  1.99139 1.69141 2.56641 3.44141 3.19141 3.63027 2.67499  2.42499  3.15062 1.375   1.125   1.5       0.33513      0.24431        0.42013     0.24931         0.42705 0.32653    0.11647    0.63209   0.68005    0.62711   0.73117  1.74181   1.67546   1.83151 2.14476   2.00024   2.28289          0.33148              0.25166              0.4227   0.0080248    0.007481   0.0085644
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           <=273||     <=273      NA         0.05  CNT        1000 270.72078  270.49931 270.94224  270.49026 270.92408  3.57315    3.42312    3.73704    3.31111    3.87716 269.8979  269.63563  270.16017 269.63097  270.14946 4.23157    4.0539     4.42566    4.01778    4.45511 0.59521     0.55365     0.63382     0.53906     0.6403  0.57038 0.41053  1000        876        839  0.82288    0.60223   1.04353    0.61801   1.00941   3.5601     3.41062    3.72339    3.36977    3.73535  1.00305   1.00229   1.00374 2.85473 2.71728 3.0109  13.33879 11.91326 14.83875 12.66166  11.34402  13.93899 3.65223  3.45156  3.85211 -3.43359 -3.68359 -3.05859 -1.55859  -1.69031 -1.33297  0.81641    0.5914    1.06641  3.06641 2.81641 3.31641 5.3414  5.06591 5.64151 4.625    4.3561   4.90093 2.32501 2.17436 2.47501   0.37468      0.32012        0.42676     0.31758         0.41902 0.67713    0.38194    1.01892   0.25508    0.16532   0.3322   2.68669   2.56917   2.81294 4.0306    3.80737   4.2292           0.46751              0.41796              0.50306  0.013532     0.012782   0.014267
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           >273||      >273       NA         0.05  CNT        3550 280.74904  280.55221 280.94587  280.5785  280.95768  5.98352    5.84751    6.12605    5.87153    6.11759 280.83808 280.64797  281.0282  280.67294  281.03593 5.77941    5.64804    5.91708    5.65627    5.90629 0.89793     0.89136     0.90412     0.89124     0.90443 0.89548 0.72333  3550       3325       3301 -0.08904   -0.1767   -0.0013809 -0.17676   0.0041553 2.6648     2.60422    2.72827    2.59543    2.74698  0.99968   0.99937   1.00001 2.05484 2.00326 2.10816  7.10706  6.7395   7.55184  7.09914   6.73433   7.54376 2.66591  2.59606  2.74806 -3.30859 -3.43359 -3.18297 -1.80859  -1.88361 -1.68359 -0.18359   -0.30859  -0.058594 1.44141 1.36639 1.56641 3.26639 3.06641 3.41947 3.25     3.125    3.375   1.625   1.57501 1.69998   0.48116      0.45547        0.50605     0.45577         0.50753 0.0079282  7.0225e-05 0.031246  0.78722    0.77235   0.80136  2.2715    2.21377   2.32264 2.86899   2.79345   2.95713          0.48211              0.4565               0.50689  0.0094927    0.0092429  0.0097805
