VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5  CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8     CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14  CL_15 VALUE_15 CL_16 VALUE_16  CL_17 VALUE_17 CL_18 VALUE_18   CL_19 VALUE_19
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273       <=273      NA         NA    ECLV        995 0.34975      0.71319     19 0.05 -1.06182   0.1 -0.026275 0.15  0.31891   0.2  0.4915   0.25  0.59505  0.3  0.66409  0.35  0.71309   0.4  0.69061    0.45  0.66405    0.5  0.63218   0.55  0.59323    0.6  0.54454   0.65  0.48194    0.7  0.39847   0.75  0.28161   0.8  0.10632   0.85 -0.18582   0.9  -0.77011   0.95  -2.52299
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273        >273       NA         NA    ECLV        995 0.65025      0.71319     19 0.05 -2.52299   0.1 -0.77011  0.15 -0.18582   0.2  0.10632  0.25  0.28161  0.3  0.39847  0.35  0.48194   0.4  0.54454    0.45  0.59323    0.5  0.63218   0.55  0.66405    0.6  0.69061   0.65  0.71309    0.7  0.66409   0.75  0.59505   0.8  0.4915    0.85  0.31891   0.9  -0.026275  0.95  -1.06182
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273       <=273      NA         NA    ECLV       3200 0.11875      0.6629      19 0.05  0.22766   0.1  0.60355  0.15  0.64489   0.2  0.61316  0.25  0.57719  0.3  0.53609  0.35  0.48866   0.4  0.43333    0.45  0.36794    0.5  0.28947   0.55  0.19357    0.6  0.073684  0.65 -0.080451   0.7 -0.28596   0.75 -0.57368   0.8 -1.00526   0.85 -1.72456   0.9  -3.16316   0.95  -7.47895
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273        >273       NA         NA    ECLV       3200 0.88125      0.6629      19 0.05 -7.47895   0.1 -3.16316  0.15 -1.72456   0.2 -1.00526  0.25 -0.57368  0.3 -0.28596  0.35 -0.080451  0.4  0.073684   0.45  0.19357    0.5  0.28947   0.55  0.36794    0.6  0.43333   0.65  0.48866    0.7  0.53609   0.75  0.57719   0.8  0.61316   0.85  0.64489   0.9   0.60355   0.95   0.22766
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           <=273       <=273      NA         NA    ECLV        393 0           NA           19 0.05 NA         0.1 NA        0.15 NA         0.2 NA        0.25 NA        0.3 NA        0.35 NA         0.4 NA          0.45 NA          0.5 NA         0.55 NA          0.6 NA         0.65 NA          0.7 NA         0.75 NA         0.8 NA         0.85 NA         0.9  NA         0.95  NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273        >273       NA         NA    ECLV        393 1           NA           19 0.05 NA         0.1 NA        0.15 NA         0.2 NA        0.25 NA        0.3 NA        0.35 NA         0.4 NA          0.45 NA          0.5 NA         0.55 NA          0.6 NA         0.65 NA          0.7 NA         0.75 NA         0.8 NA         0.85 NA         0.9  NA         0.95  NA
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           <=273       <=273      NA         NA    ECLV       4155 0.1846       0.72002     19 0.05  0.022727  0.1  0.50089  0.15  0.66027   0.2  0.71284  0.25  0.68753  0.3  0.6586   0.35  0.62521   0.4  0.58627    0.45  0.54024    0.5  0.48501   0.55  0.4175     0.6  0.33312   0.65  0.22462    0.7  0.079965  0.75 -0.12256   0.8 -0.42634   0.85 -0.93264   0.9  -1.94524   0.95  -4.98305
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           >273        >273       NA         NA    ECLV       4155 0.8154       0.72002     19 0.05 -4.98305   0.1 -1.94524  0.15 -0.93264   0.2 -0.42634  0.25 -0.12256  0.3  0.079965 0.35  0.22462   0.4  0.33312    0.45  0.4175     0.5  0.48501   0.55  0.54024    0.6  0.58627   0.65  0.62521    0.7  0.6586    0.75  0.68753   0.8  0.71284   0.85  0.66027   0.9   0.50089   0.95   0.022727
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           <=273       <=273      NA         NA    ECLV        212 0.30189      0.93961     19 0.05  0.60135   0.1  0.80405  0.15  0.87162   0.2  0.90541  0.25  0.92568  0.3  0.93919  0.35  0.9363    0.4  0.93229    0.45  0.92756    0.5  0.92188   0.55  0.91493    0.6  0.90625   0.65  0.89509    0.7  0.88021   0.75  0.85938   0.8  0.82812   0.85  0.77604   0.9   0.67187   0.95   0.35937
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           >273        >273       NA         NA    ECLV        212 0.69811      0.93961     19 0.05  0.35937   0.1  0.67187  0.15  0.77604   0.2  0.82812  0.25  0.85937  0.3  0.88021  0.35  0.89509   0.4  0.90625    0.45  0.91493    0.5  0.92187   0.55  0.92756    0.6  0.93229   0.65  0.9363     0.7  0.93919   0.75  0.92568   0.8  0.90541   0.85  0.87162   0.9   0.80405   0.95   0.60135
