VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR      OABAR     FOABAR  FFABAR   OOABAR   MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273||     <=273      NA         NA    SAL1L2      409  0.18724   -1.98521  5.07731  7.08129 21.26901 3.53897
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273||      >273       NA         NA    SAL1L2      714  0.055406  -0.14748  7.30644 11.06987 14.98121 2.55268
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      995  0.076224  -0.8492   6.52242  9.43478 15.7744  2.71774
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273||     <=273      NA         NA    SAL1L2      544 -1.79734   -2.00772  4.91203  6.57499 13.12189 2.37719
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273||      >273       NA         NA    SAL1L2     2926 -0.21346   -0.12013  2.03548  3.5136   6.49948 1.90171
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2     3200 -0.32108   -0.2775   2.33683  3.65482  6.77296 1.84875
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273||      >273       NA         NA    SAL1L2      393 -0.069414  -0.64084  1.23832  3.0339   4.60001 1.7676
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2      393 -0.069414  -0.64084  1.23832  3.0339   4.60001 1.7676
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           <=273||     <=273      NA         NA    SAL1L2     1000 -0.93272   -1.7556   5.06264  7.21829 16.24577 2.85473
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           >273||      >273       NA         NA    SAL1L2     3550 -0.18961   -0.10057  3.14187  5.15972  8.23109 2.05484
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2     4155 -0.25627   -0.37792  3.42258  5.27892  9.02497 2.08798
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      212  0.15725   -0.020625 1.44061  2.10997  4.20704 1.06347
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2      395  0.0052955  0.015074 0.49185  0.67219  1.3778  0.75325
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2       43 -0.24205   -0.20767  0.53085  0.61708  0.99513 0.5936
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2      664 -0.0034549 -0.045109 0.75896  1.23766  2.25934 0.90306
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      980  0.11118    0.38212  0.68593  1.20723  3.80099 1.4184
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SAL1L2     3168  0.0094632 -0.48445  0.70723  1.16108  3.33612 1.34145
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SAL1L2      393 -0.32297   -0.79039  0.58635  0.67499  2.31943 1.07182
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SAL1L2     4114  0.022881  -0.23975  0.65853  1.13195  3.19115 1.32892
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SAL1L2      980 -0.27967   -0.21311  1.08897  1.66485  3.7885  1.34711
