VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL BASER_NCU BASER_BCL  BASER_BCU  FMEAN     FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL  ACC_BCU  FBIAS    FBIAS_BCL FBIAS_BCU PODY     PODY_NCL    PODY_NCU  PODY_BCL PODY_BCU PODN     PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL   POFD_BCU   FAR        FAR_NCL    FAR_NCU   FAR_BCL    FAR_BCU   CSI      CSI_NCL     CSI_NCU   CSI_BCL  CSI_BCU  GSS       GSS_BCL    GSS_BCU  HK       HK_NCL    HK_NCU   HK_BCL     HK_BCU   HSS       HSS_BCL    HSS_BCU  ODDS       ODDS_NCL   ODDS_NCU    ODDS_BCL   ODDS_BCU    LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU   EDS_BCL   EDS_BCU  SEDS      SEDS_NCL SEDS_NCU SEDS_BCL  SEDS_BCU EDI       EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI      SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU HSS_EC   HSS_EC_BCL HSS_EC_BCU EC_VALUE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC KDEN      NEAREST     1           <=273       <=273      NA         0.05  CTS           1 0         0         0.79345   NA         NA         0         0          0.79345   NA        NA        1       0.20655 1       NA       NA       NA        NA        NA       NA       NA          NA        NA       NA        1        0.20655  1       NA       NA        0          0           0.79345   NA         NA         NA         NA         NA        NA         NA        NA       NA          NA        NA       NA       NA        NA         NA       NA       NA        NA       NA         NA       NA        NA         NA         NA         NA          NA         NA          NA       NA        NA        NA        NA        NA       NA       NA       NA       NA       NA       NA       NA        NA        NA        NA       NA        NA       NA       NA        NA       NA        NA       NA       NA       NA       NA        NA       NA       NA       NA       NA        NA         NA        1         NA         NA            0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC KDEN      NEAREST     1           >273        >273       NA         0.05  CTS           1 1         0.20655   1         NA         NA         1         0.20655    1         NA        NA        1       0.20655 1       NA       NA        1        NA        NA        1        0.20655     1        NA       NA       NA       NA       NA       NA       NA       NA         NA          NA         NA         NA          0          0          0.79345  NA         NA         1        0.20655     1        NA       NA       NA        NA         NA       NA       NA        NA       NA         NA       NA        NA         NA         NA         NA          NA         NA          NA       NA        NA        NA        NA        NA       NA       NA       NA       NA       NA       NA       NA        NA        NA        NA       NA        NA       NA       NA        NA       NA        NA       NA       NA       NA       NA        NA       NA       NA       NA       NA        NA         NA        1         NA         NA            0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC SID_CO    NEAREST     1           <=273       <=273      NA         0.05  CTS          80 0.425     0.32257   0.53431    0.3125     0.5375    0.2875    0.19987    0.3946     0.1875    0.38781  0.5625  0.45341 0.66586  0.45     0.6875   0.67647   0.42801   0.96007  0.32353  0.23115     0.43208   0.15619  0.47059  0.73913  0.63355  0.8228   0.61513  0.86013  0.26087    0.1772      0.36645    0.13987    0.38487    0.52174    0.41381    0.62767   0.31961    0.7369    0.23913  0.159       0.34317   0.12188  0.36737  0.033816 -0.063577   0.15842  0.06266 -0.13632   0.26164 -0.13466    0.25997  0.065421 -0.13579    0.27351    1.35507    0.51146     3.59017    0.49707     4.2042   0.30385  -0.67049   1.2782   -0.69905   1.43607  0.15077 -0.32533  0.62687 -0.33595  0.61569 -0.13749 -0.34878   0.073795 -0.37595   0.11087  0.059506 -0.20004  0.31905 -0.12775   0.25896  0.087076 -0.21249  0.38664 -0.18752  0.37436  0.095994 -0.23348  0.42547 -0.20568  0.40644  0.025725 -0.10471    0.20751  0.125     -0.1        0.375        0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC SID_CO    NEAREST     1           >273        >273       NA         0.05  CTS          80 0.575     0.46569   0.67743    0.4625     0.6875    0.7125    0.6054     0.80013    0.61219   0.8125   0.5625  0.45341 0.66586  0.45     0.6875   1.23913   1.01817   1.55     0.73913  0.63355     0.8228    0.61513  0.86013  0.32353  0.23115  0.43208  0.15619  0.47059  0.67647    0.56792     0.76885    0.52941    0.84381    0.40351    0.30282    0.51304   0.27566    0.55362   0.49275  0.38607     0.6001    0.37137  0.63239  0.033816 -0.063577   0.15842  0.06266 -0.12539   0.25071 -0.13466    0.25997  0.065421 -0.13579    0.27351    1.35507    0.51146     3.59017    0.49707     4.2042   0.30385  -0.67049   1.2782   -0.69905   1.43607  0.15077 -0.32533  0.62687 -0.33595  0.61569  0.29346  0.033942  0.55298  -0.026867  0.60195  0.042884 -0.16636  0.25213 -0.080713  0.19428  0.1278   -0.76361  1.01922 -0.29145  0.52932  0.095994 -0.59345  0.78544 -0.20568  0.40644  0.06921  -0.037364   0.19506  0.125     -0.1        0.375        0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC ALLLATLON NEAREST     1           <=273       <=273      NA         0.05  CTS        4529 0.17973   0.16882   0.19118    0.16603    0.18989   0.19386   0.18261    0.20563    0.17995   0.20515  0.9055  0.89663 0.91368  0.896    0.91412  1.07862   1.03689   1.13735  0.77641  0.76405     0.78831   0.74934  0.80225  0.93378  0.92617  0.94066  0.92559  0.94185  0.066218   0.059337    0.073834   0.058154   0.07441    0.28018    0.26729    0.29344   0.25578    0.31149   0.59623  0.58186     0.61043   0.56328  0.62333  0.5256    0.49046    0.55694  0.71019  0.67863   0.74176  0.68075    0.73928  0.68904   0.65813    0.71543   48.96828   39.71107    60.38349   38.9611     60.55128  3.89117   3.68163   4.10072   3.66256   4.10349  0.95997  0.95176  0.96819  0.94995  0.96751  0.74299  0.71037   0.77562   0.71121   0.7732   0.70456   0.67265  0.73647  0.67534   0.72864  0.82946   0.79938  0.85954  0.80555  0.8524   0.85816   0.83132  0.88499  0.83652  0.87754  0.50933   0.47424    0.53838  0.811      0.792      0.82824      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC ALLLATLON NEAREST     1           >273        >273       NA         0.05  CTS        4529 0.82027   0.80882   0.83118    0.81011    0.83397   0.80614   0.79437    0.81739    0.79485   0.82005  0.9055  0.89663 0.91368  0.896    0.91412  0.98277   0.96985   0.99181  0.93378  0.92617     0.94066   0.92559  0.94185  0.77641  0.76405  0.78831  0.74934  0.80225  0.22359    0.21169     0.23595    0.19775    0.25066    0.049849   0.043884   0.056578  0.042826   0.056842  0.89017  0.88073     0.89895   0.87932  0.90041  0.5256    0.49046    0.55694  0.71019  0.69126   0.72913  0.68075    0.73928  0.68904   0.65813    0.71543   48.96828   39.71107    60.38349   38.9611     60.55128  3.89117   3.68163   4.10072   3.66256   4.10349  0.95997  0.95176  0.96819  0.94995  0.96751  0.4861   0.43837   0.53382   0.42746   0.53259  0.55127   0.50145  0.60109  0.51479   0.582    0.91253   0.89533  0.92972  0.89682  0.92416  0.85816   0.83284  0.88347  0.83652  0.87754  0.54449   0.5077     0.57929  0.811      0.792      0.82824      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATGE39   NEAREST     1           <=273       <=273      NA         0.05  CTS        2551 0.30851   0.29088   0.32671    0.29204    0.32577   0.3383    0.32019    0.35689    0.32182   0.35557  0.84085 0.82614 0.85453  0.82788  0.85418  1.09657   1.05308   1.15284  0.79034  0.77412     0.8057    0.76499  0.81903  0.86338  0.8495   0.87616  0.84841  0.87735  0.13662    0.12384     0.1505     0.12265    0.15159    0.27926    0.26219    0.29699   0.24969    0.30851   0.60506  0.58594     0.62386   0.57884  0.63489  0.46702   0.43685    0.50183  0.65372  0.61956   0.68789  0.62535    0.68471  0.63669   0.60806    0.66829   23.82261   19.13903    29.65232   19.69803    29.52957  3.17064   2.95173   3.38954   2.98052   3.38539  0.91943  0.9025   0.93636  0.90337  0.93449  0.66657  0.62407   0.70906   0.6249    0.70805  0.60125   0.56042  0.64207  0.57223   0.63215  0.78858   0.74678  0.83038  0.76088  0.81682  0.80575   0.76599  0.8455   0.78115  0.83099  0.44997   0.41775    0.48346  0.68169    0.65576    0.70835      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATGE39   NEAREST     1           >273        >273       NA         0.05  CTS        2551 0.69149   0.67329   0.70912    0.67423    0.70796   0.6617    0.64311    0.67981    0.64443   0.67818  0.84085 0.82614 0.85453  0.82788  0.85418  0.95692   0.93684   0.97614  0.86338  0.8495      0.87616   0.84841  0.87735  0.79034  0.77412  0.8057   0.76499  0.81903  0.20966    0.1943      0.22588    0.18097    0.23501    0.097749   0.086822   0.10989   0.085566   0.10997   0.78953  0.77328     0.80491   0.77202  0.8049   0.46702   0.43685    0.50183  0.65372  0.62486   0.68258  0.62535    0.68471  0.63669   0.60806    0.66829   23.82261   19.13903    29.65232   19.69803    29.52957  3.17064   2.95173   3.38954   2.98052   3.38539  0.91943  0.9025   0.93636  0.90337  0.93449  0.4304   0.37892   0.48187   0.37175   0.48401  0.51578   0.46122  0.57033  0.48517   0.55065  0.8281    0.79645  0.85976  0.80554  0.84918  0.80575   0.77137  0.84013  0.78115  0.83099  0.48989   0.45677    0.52694  0.68169    0.65576    0.70835      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATLT39   NEAREST     1           <=273       <=273      NA         0.05  CTS        1978 0.01365   0.0093981 0.019788   0.0085824  0.019211  0.0075834 0.004601   0.012475   0.00455   0.011628 0.98888 0.98322 0.99264  0.98332  0.99343  0.55556   0.34072   0.87513  0.37037  0.34936     0.39188   0.18736  0.56013  0.99744  0.99405  0.9989   0.99485  0.99898  0.0025628  0.0011012   0.0059528  0.001021   0.005147   0.33333    0.3129     0.35441   0.13333    0.6       0.3125   0.29245     0.33327   0.15375  0.45969  0.30807   0.15059    0.45439  0.36781  0.19528   0.54033  0.18331    0.55909  0.47103   0.26175    0.62485  228.94118   70.70876   741.26692   68.60568   715.01455  5.43347   4.25857   6.60836   4.22837   6.5721   0.9913   0.98113  1.00148  0.97128  0.99744  0.62428  0.4732    0.77537   0.45013   0.77296  0.73546   0.57403  0.89688  0.59431   0.81658  0.71458   0.58156  0.8476   0.56475  0.82661  0.73177   0.59599  0.86755  0.57593  0.84306  0.44001   0.2364     0.65179  0.97776    0.96663    0.98686      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATLT39   NEAREST     1           >273        >273       NA         0.05  CTS        1978 0.98635   0.98021   0.9906     0.98079    0.99142   0.99242   0.98753    0.9954     0.98837   0.99545  0.98888 0.98322 0.99264  0.98332  0.99343  1.00615   1.00152   1.01085  0.99744  0.99405     0.9989    0.99485  0.99898  0.37037  0.34936  0.39188  0.18736  0.56013  0.62963    0.60812     0.65064    0.43987    0.81264    0.0086602  0.0054236  0.013802  0.0050664  0.01325   0.98882  0.98315     0.9926    0.98321  0.99338  0.30807   0.15059    0.45439  0.36781  0.30328   0.43233  0.18331    0.55909  0.47103   0.26175    0.62485  228.94118   70.70876   741.26692   68.60568   715.01455  5.43347   4.25857   6.60836   4.22837   6.5721   0.9913   0.98113  1.00148  0.97128  0.99744  0.68534  0.45293   0.91775   0.39662   0.87431  0.30939   0.12882  0.48996  0.15119   0.45619  0.98897   0.95859  1.01935  0.96665  0.99632  0.73177   0.32091  1.14263  0.57593  0.84306  0.3091    0.1922     0.42977  0.97776    0.96663    0.98686      0.5
