VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR       FOBAR       FFBAR       OOBAR       MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC KDEN      NEAREST     1           NA          NA         NA         NA    SL1L2         1 273.3414  275.35001  75264.5562  74715.52103 75817.62586 2.00861
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC SID_CO    NEAREST     1           NA          NA         NA         NA    SL1L2        80 273.96484 273.29125  74873.86384 75060.54457 74698.91575 2.64025
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC ALLLATLON NEAREST     1           NA          NA         NA         NA    SL1L2      4529 279.36293 279.20869  78051.50708 78097.15924 78013.15184 2.04537
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATGE39   NEAREST     1           NA          NA         NA         NA    SL1L2      2551 274.50374 274.5892   75395.53176 75371.88331 75426.98109 2.1198
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LATLT39   NEAREST     1           NA          NA         NA         NA    SL1L2      1978 285.62976 285.16638  81476.88275 81611.91097 81348.50148 1.94937
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA ALLLATLON NEAREST     1           NA          NA         NA         NA    SL1L2       734 275.0231  275.02439  75708.63371 75708.15003 75711.0029  0.88878
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LATGE39   NEAREST     1           NA          NA         NA         NA    SL1L2       381 269.61273 269.53976  72721.05633 72740.62757 72702.84754 0.86056
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LATLT39   NEAREST     1           NA          NA         NA         NA    SL1L2       353 280.86263 280.94405  78933.18607 78911.05671 78957.76549 0.91925
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC KDEN      NEAREST     1           NA          NA         NA         NA    SL1L2         1   2.15319   6.1         13.13449     4.63625    37.21    3.94681
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC SID_CO    NEAREST     1           NA          NA         NA         NA    SL1L2        80   0.87564   1.15125      4.8864      6.4632     11.34188 2.25132
