VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1  CL_2 VALUE_2  CL_3 VALUE_3    CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6  CL_7 VALUE_7  CL_8 VALUE_8  CL_9 VALUE_9  CL_10 VALUE_10 CL_11 VALUE_11 CL_12 VALUE_12 CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.48323    19 0.05 0.35673   0.1 0.16667  0.15 -0.045752   0.2 -0.28472  0.25 -0.55556   0.3 -0.86508 0.35 -1.22222  0.4 -1.63889 0.45 -2.13131   0.5 -2.72222  0.55 -3.44444   0.6 -4.34722  0.65 -5.50794   0.7 -7.05556  0.75  -9.22222   0.8 -12.47222  0.85 -17.88889   0.9 -28.72222  0.95 -61.22222
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.41288    19 0.05 0.2828    0.1 0.10365  0.15 -0.096576   0.2 -0.32183  0.25 -0.57711   0.3 -0.86887 0.35 -1.20551  0.4 -1.59826 0.45 -2.06242   0.5 -2.6194   0.55 -3.30017   0.6 -4.15112  0.65 -5.2452    0.7 -6.70398  0.75  -8.74627   0.8 -11.8097   0.85 -16.91542   0.9 -27.12687  0.95 -57.76119
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.30358    19 0.05 0.20483   0.1 0.07732  0.15 -0.065191   0.2 -0.22552  0.25 -0.40722   0.3 -0.61487 0.35 -0.85448  0.4 -1.13402 0.45 -1.46439   0.5 -1.86082  0.55 -2.34536   0.6 -2.95103  0.65 -3.72975   0.7 -4.76804  0.75  -6.22165   0.8  -8.40206  0.85 -12.03608   0.9 -19.30412  0.95 -41.10825
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.14562    19 0.05 0.099664  0.1 0.044917 0.15 -0.01627    0.2 -0.085106 0.25 -0.16312   0.3 -0.25228 0.35 -0.35516  0.4 -0.47518 0.45 -0.61702   0.5 -0.78723  0.55 -0.99527   0.6 -1.25532  0.65 -1.58967   0.7 -2.03546  0.75  -2.65957   0.8  -3.59574  0.85  -5.15603   0.9  -8.2766   0.95 -17.6383
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.48555    19 0.05 0.35775   0.1 0.16574  0.15 -0.048856   0.2 -0.29028  0.25 -0.56389   0.3 -0.87659 0.35 -1.23739  0.4 -1.65833 0.45 -2.15581   0.5 -2.75278  0.55 -3.48241   0.6 -4.39444  0.65 -5.56706   0.7 -7.13056  0.75  -9.31944   0.8 -12.60278  0.85 -18.075     0.9 -29.01944  0.95 -61.85278
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.40877    19 0.05 0.2771    0.1 0.095771 0.15 -0.10689    0.2 -0.33489  0.25 -0.59328   0.3 -0.88859 0.35 -1.22933  0.4 -1.62687 0.45 -2.09668   0.5 -2.66045  0.55 -3.3495    0.6 -4.21082  0.65 -5.31823   0.7 -6.79478  0.75  -8.86194   0.8 -11.96269  0.85 -17.1306    0.9 -27.46642  0.95 -58.47388
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.30817    19 0.05 0.20591   0.1 0.073883 0.15 -0.073681   0.2 -0.23969  0.25 -0.42784   0.3 -0.64286 0.35 -0.89096  0.4 -1.18041 0.45 -1.52249   0.5 -1.93299  0.55 -2.43471   0.6 -3.06186  0.65 -3.86819   0.7 -4.9433   0.75  -6.44845   0.8  -8.70619  0.85 -12.46907   0.9 -19.99485  0.95 -42.57216
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.14532    19 0.05 0.095185  0.1 0.035461 0.15 -0.031289   0.2 -0.10638  0.25 -0.19149   0.3 -0.28875 0.35 -0.40098  0.4 -0.53191 0.45 -0.68665   0.5 -0.87234  0.55 -1.09929   0.6 -1.38298  0.65 -1.74772   0.7 -2.23404  0.75  -2.91489   0.8  -3.93617  0.85  -5.6383    0.9  -9.04255  0.95 -19.25532
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.49731    19 0.05 0.35556   0.1 0.14259  0.15 -0.095425   0.2 -0.36319  0.25 -0.66667   0.3 -1.01349 0.35 -1.41368  0.4 -1.88056 0.45 -2.43232   0.5 -3.09444  0.55 -3.9037    0.6 -4.91528  0.65 -6.21587   0.7 -7.95     0.75 -10.37778   0.8 -14.01944  0.85 -20.08889   0.9 -32.22778  0.95 -68.64444
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.42199    19 0.05 0.28319   0.1 0.09204  0.15 -0.1216     0.2 -0.36194  0.25 -0.63433   0.3 -0.94563 0.35 -1.30482  0.4 -1.72388 0.45 -2.21913   0.5 -2.81343  0.55 -3.5398    0.6 -4.44776  0.65 -5.61514   0.7 -7.17164  0.75  -9.35075   0.8 -12.6194   0.85 -18.06716   0.9 -28.96269  0.95 -61.64925
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.32318    19 0.05 0.21812   0.1 0.082474 0.15 -0.069133   0.2 -0.23969  0.25 -0.43299   0.3 -0.6539  0.35 -0.9088   0.4 -1.20619 0.45 -1.55764   0.5 -1.97938  0.55 -2.49485   0.6 -3.13918  0.65 -3.9676    0.7 -5.07216  0.75  -6.61856   0.8  -8.93814  0.85 -12.80412   0.9 -20.53608  0.95 -43.73196
