VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR       OBAR       FOBAR       FFBAR       OOBAR       MAE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273||     <=273      NA         NA    SL1L2       202 272.42432  270.48515  73688.71087 74222.61329 73175.35389 3.6862
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273||      >273       NA         NA    SL1L2       572 279.56452  279.17849  78066.85923 78178.32517 77967.3851  2.62151
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SL1L2       670 278.27162  277.58418  77271.7904  77463.93478 77091.60815 2.64107
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273||     <=273      NA         NA    SL1L2       407 272.28028  272.21314  74118.47171 74140.58355 74104.91455 2.3214
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273||      >273       NA         NA    SL1L2      2604 281.31053  281.40211  79190.05212 79169.37097 79216.78334 1.96434
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SL1L2      2780 280.65471  280.72604  78820.52999 78805.09504 78841.73729 1.90256
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273||      >273       NA         NA    SL1L2       393 283.56468  282.99325  80260.17833 80424.25475 80101.25918 1.7676
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SL1L2       393 283.56468  282.99325  80260.17833 80424.25475 80101.25918 1.7676
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           <=273||     <=273      NA         NA    SL1L2       595 272.25127  271.65806  73960.04511 74125.65556 73806.576   2.72831
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           >273||      >273       NA         NA    SL1L2      3047 280.89194  280.93375  78938.61996 78931.58953 78952.69389 2.0732
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          Z2       TMP     NA        Z2       ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SL1L2      3318 280.07403  280.02812  78461.42612 78477.83578 78451.92112 2.03762
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           NA          NA         NA         NA    SL1L2       175 278.55038  278.30371  77567.35742 77637.29809 77501.28888 1.07837
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           NA          NA         NA         NA    SL1L2       320 274.81339  274.85688  75590.16153 75577.90608 75603.24295 0.69167
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LMV     NEAREST     1           NA          NA         NA         NA    SL1L2        40 278.06016  278.1225   77348.50549 77331.21826 77366.37456 0.61273
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 TMP      K          P850-700 TMP     NA        P850-700 ADPUPA LAND_L0 NEAREST     1           NA          NA         NA         NA    SL1L2       456 275.92647  275.82325  76165.4526  76194.53323 76138.36355 0.83668
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SL1L2       664  -0.20033    0.057831     2.18743     4.08836     3.98491 1.49438
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SL1L2      2765   2.12862    1.60315      8.42267    11.72893     8.06291 1.3065
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SL1L2       393   0.57455    0.10712      1.63524     3.25578     1.83641 1.07182
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        Z10      UGRD    NA        Z10      ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SL1L2      3303   1.64285    1.29761      6.95733     9.79475     7.11964 1.32493
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC DTC165  NEAREST     1           NA          NA         NA         NA    SL1L2       664   0.070684  -0.12003      1.85286     3.03209     3.57056 1.3309
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC DTC166  NEAREST     1           NA          NA         NA         NA    SL1L2      2765  -0.55695   -0.35392      2.10279     3.82323     2.69311 1.19324
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC LMV     NEAREST     1           NA          NA         NA         NA    SL1L2       393   0.30252    0.12061      0.61493     1.7469      0.79522 0.9328
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 VGRD     m/s        Z10      VGRD    NA        Z10      ADPSFC LAND_L0 NEAREST     1           NA          NA         NA         NA    SL1L2      3303  -0.43444   -0.29679      1.99854     3.59038     2.8013  1.21093
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA DTC165  NEAREST     1           NA          NA         NA         NA    SL1L2       155   1.90451    1.60387     20.17974    22.56689    22.85768 1.69207
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA DTC166  NEAREST     1           NA          NA         NA         NA    SL1L2       284   9.75233   10.07289    151.12472   151.29555   158.17018 2.05812
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 UGRD     m/s        P850-700 UGRD    NA        P850-700 ADPUPA LMV     NEAREST     1           NA          NA         NA         NA    SL1L2        31   7.24021    7.02258     63.01524    63.72907    65.12677 1.34152
