VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY     PODY_NCL PODY_NCU   PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU    CSI_BCL CSI_BCU GSS      GSS_BCL GSS_BCU HK       HK_NCL     HK_NCU   HK_BCL HK_BCU HSS      HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU HSS_EC  HSS_EC_BCL HSS_EC_BCU EC_VALUE
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >0.254      >0.254     NA         0.05  CTS       26624 0.013522  0.012203  0.014981         NA        NA 0.099835   0.096291   0.10349           NA        NA 0.9043  0.9007  0.90777      NA      NA 7.38333        NA        NA 0.65278  0.64704  0.65847          NA       NA 0.90774  0.90421  0.91116       NA       NA 0.092256   0.088838   0.095791         NA       NA  0.91159  0.90812  0.91494      NA      NA 0.084441 0.081161 0.087841        NA      NA 0.072463      NA      NA 0.56052   0.51124   0.60981      NA     NA 0.13513       NA      NA 18.49818 14.83084  23.07236       NA       NA  2.91767   2.69671   3.13864        NA        NA  0.89743  0.87592  0.91893       NA       NA  0.81965  0.79067   0.84864      NA      NA  0.39698  0.37473  0.41923       NA       NA  0.6964   0.63561  0.75719      NA      NA  0.73599  0.67783  0.79415       NA       NA  0.061633        NA        NA 0.80859         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >0.635      >0.635     NA         0.05  CTS       26624 0.010066  0.0089357 0.011338         NA        NA 0.048265   0.045755   0.050905          NA        NA 0.95301 0.9504  0.95549      NA      NA 4.79478        NA        NA 0.56343  0.55747  0.56938          NA       NA 0.95697  0.95447  0.95935       NA       NA 0.043026   0.040654   0.04553          NA       NA  0.88249  0.87857  0.8863       NA      NA 0.1077   0.10404  0.11148         NA      NA 0.099394      NA      NA 0.52041   0.46114   0.57967      NA     NA 0.18082       NA      NA 28.705   22.3863   36.8072        NA       NA  3.35707   3.10845   3.60569        NA        NA  0.93267  0.9165   0.94885       NA       NA  0.77816  0.74193   0.81439      NA      NA  0.4751   0.44504  0.50515       NA       NA  0.69153  0.63232  0.75073      NA      NA  0.731    0.67304  0.78896       NA       NA  0.077748        NA        NA 0.90602         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >1.270      >1.270     NA         0.05  CTS       26624 0.0072867 0.0063337 0.0083818        NA        NA 0.015099   0.013703   0.016635          NA        NA 0.98355 0.98195 0.98501      NA      NA 2.07216        NA        NA 0.40722  0.40133  0.41313          NA       NA 0.98778  0.98639  0.98903       NA       NA 0.012221   0.01097    0.013613         NA       NA  0.80348  0.79867  0.80821      NA      NA 0.1528   0.14853  0.15718         NA      NA 0.14798       NA      NA 0.395     0.32625   0.46374      NA     NA 0.25781       NA      NA 55.52438 40.85844  75.45458       NA       NA  4.01682   3.71011   4.32353        NA        NA  0.96462  0.95396  0.97528       NA       NA  0.69127  0.64194   0.74061      NA      NA  0.56609  0.5204   0.61177       NA       NA  0.66117  0.60053  0.7218       NA      NA  0.68802  0.62605  0.74999       NA       NA  0.11862         NA        NA 0.9671          NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    MEDIAN_SQUARE  9           >2.540      >2.540     NA         0.05  CTS       26624 0.0035306 0.0028863 0.0043183        NA        NA 0.0012395  0.00088275 0.0017401         NA        NA 0.99546 0.99457 0.99619      NA      NA 0.35106        NA        NA 0.031915 0.02987  0.034095         NA       NA 0.99887  0.99839  0.99921       NA       NA 0.0011308  0.00079273 0.0016128        NA       NA  0.90909  0.90558  0.91249      NA      NA 0.024194 0.022415 0.026109        NA      NA 0.023276      NA      NA 0.030784 -0.008653  0.070221     NA     NA 0.045493      NA      NA 29.12088  8.73139  97.12375       NA       NA  3.37146   2.16692   4.57599        NA        NA  0.9336   0.85628  1.01093       NA       NA  0.24217  0.090043  0.3943       NA      NA  0.35732  0.19109  0.52355       NA       NA  0.32652  0.17973  0.47332      NA      NA  0.3285   0.17957  0.47743       NA       NA  0.044521        NA        NA 0.99091         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >0.254      >0.254     NA         0.05  CTS       26624 0.013522  0.012203  0.014981         NA        NA 0.10427    0.10065    0.108             NA        NA 0.90039 0.89674 0.90393      NA      NA 7.71111        NA        NA 0.67222  0.66656  0.67784          NA       NA 0.90352  0.89991  0.90701       NA       NA 0.096482   0.092993   0.10009          NA       NA  0.91282  0.90938  0.91615      NA      NA 0.083621 0.080356 0.087007        NA      NA 0.071579      NA      NA 0.57574   0.52714   0.62434      NA     NA 0.1336        NA      NA 19.20545 15.35359  24.02365       NA       NA  2.95519   2.73135   3.17904        NA        NA  0.90102  0.87996  0.92208       NA       NA  0.83102  0.80292   0.85911      NA      NA  0.39647  0.37504  0.41789       NA       NA  0.70963  0.64885  0.77041      NA      NA  0.74769  0.68992  0.80546       NA       NA  0.06213         NA        NA 0.80078         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >0.635      >0.635     NA         0.05  CTS       26624 0.010066  0.0089357 0.011338         NA        NA 0.04988    0.047329   0.05256           NA        NA 0.95125 0.94859 0.95377      NA      NA 4.95522        NA        NA 0.55597  0.54999  0.56193          NA       NA 0.95527  0.95272  0.95768       NA       NA 0.044734   0.042316   0.047283         NA       NA  0.8878   0.88395  0.89154      NA      NA 0.10297  0.099378 0.10668         NA      NA 0.094607      NA      NA 0.51124   0.45186   0.57061      NA     NA 0.17286       NA      NA 26.73803 20.86657  34.26162       NA       NA  3.28609   3.03815   3.53403        NA        NA  0.9279   0.91066  0.94513       NA       NA  0.77359  0.73699   0.81018      NA      NA  0.46496  0.43473  0.49518       NA       NA  0.68217  0.62192  0.74242      NA      NA  0.72195  0.66273  0.78117       NA       NA  0.073624        NA        NA 0.90249         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >1.270      >1.270     NA         0.05  CTS       26624 0.0072867 0.0063337 0.0083818        NA        NA 0.01739    0.015888   0.019032          NA        NA 0.98133 0.97964 0.98289      NA      NA 2.3866         NA        NA 0.41237  0.40647  0.4183           NA       NA 0.98551  0.984    0.98688       NA       NA 0.014491   0.013124   0.015998         NA       NA  0.82721  0.82263  0.83171      NA      NA 0.13865  0.13455  0.14285         NA      NA 0.13358       NA      NA 0.39788   0.32901   0.46675      NA     NA 0.23568       NA      NA 47.7248  35.24463  64.62421       NA       NA  3.86545   3.56231   4.16859        NA        NA  0.95895  0.94677  0.97114       NA       NA  0.69494  0.64591   0.74396      NA      NA  0.54515  0.50046  0.58985       NA       NA  0.65398  0.59175  0.71621      NA      NA  0.68218  0.61857  0.74579       NA       NA  0.10437         NA        NA 0.96267         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    NEAREST        1           >2.540      >2.540     NA         0.05  CTS       26624 0.0035306 0.0028863 0.0043183        NA        NA 0.0016902  0.0012635  0.0022607         NA        NA 0.99523 0.99433 0.99599      NA      NA 0.47872        NA        NA 0.06383  0.060956 0.066829         NA       NA 0.99853  0.99799  0.99892       NA       NA 0.00147    0.0010762  0.0020077        NA       NA  0.86667  0.86253  0.8707       NA      NA 0.045113 0.042685 0.047672        NA      NA 0.043971      NA      NA 0.06236   0.010901  0.11382      NA     NA 0.084237      NA      NA 46.31294 19.12141 112.1721        NA       NA  3.83542   2.95081   4.72003        NA        NA  0.95773  0.92112  0.99433       NA       NA  0.3447   0.22073   0.46867      NA      NA  0.43242  0.30036  0.56447       NA       NA  0.40661  0.28581  0.52741      NA      NA  0.41058  0.287    0.53416       NA       NA  0.067342        NA        NA 0.99046         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.254      >0.254     NA         0.05  CTS       26624 0.013522  0.012203  0.014981         NA        NA 0.10509    0.10147    0.10883           NA        NA 0.89941 0.89574 0.90297      NA      NA 7.77222        NA        NA 0.66667  0.66098  0.6723           NA       NA 0.9026   0.89898  0.90611       NA       NA 0.097396   0.093892   0.10102          NA       NA  0.91422  0.9108   0.91753      NA      NA 0.082248 0.079008 0.085609        NA      NA 0.070193      NA      NA 0.56927   0.52047   0.61807      NA     NA 0.13118       NA      NA 18.53479 14.83153  23.16273       NA       NA  2.91965   2.69676   3.14254        NA        NA  0.89762  0.87597  0.91927       NA       NA  0.82779  0.79944   0.85614      NA      NA  0.39233  0.37073  0.41393       NA       NA  0.70344  0.64209  0.76478      NA      NA  0.74187  0.6834   0.80034       NA       NA  0.060657        NA        NA 0.79883         NA         NA      0.5
V12.0.0 FCST  NA   150000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.635      >0.635     NA         0.05  CTS       26624 0.010066  0.0089357 0.011338         NA        NA 0.05172    0.049124   0.054446          NA        NA 0.94956 0.94686 0.95212      NA      NA 5.13806        NA        NA 0.56343  0.55747  0.56938          NA       NA 0.95348  0.95089  0.95595       NA       NA 0.046517   0.044052   0.049113         NA       NA  0.89034  0.88653  0.89404      NA      NA 0.10107  0.097508 0.10475         NA      NA 0.092653      NA      NA 0.51692   0.45765   0.57618      NA     NA 0.16959       NA      NA 26.45411 20.64142  33.90366       NA       NA  3.27541   3.0273    3.52352        NA        NA  0.92715  0.90973  0.94457       NA       NA  0.77816  0.74193   0.81439      NA      NA  0.46173  0.43195  0.49151       NA       NA  0.68492  0.62439  0.74545      NA      NA  0.72495  0.66563  0.78428       NA       NA  0.072385        NA        NA 0.89911         NA         NA      0.5
