VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON EC_VALUE
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    MEDIAN_SQUARE  9           >0.254      >0.254     NA         NA    CTC        2108    60   226    23  1799      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    MEDIAN_SQUARE  9           >0.635      >0.635     NA         NA    CTC        2108    55   196    18  1839      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    MEDIAN_SQUARE  9           >1.270      >1.270     NA         NA    CTC        2108    44   148    10  1906      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    MEDIAN_SQUARE  9           >2.540      >2.540     NA         NA    CTC        2108    32   108     3  1965      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST        1           >0.254      >0.254     NA         NA    CTC        2108    60   224    23  1801      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST        1           >0.635      >0.635     NA         NA    CTC        2108    55   192    18  1843      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST        1           >1.270      >1.270     NA         NA    CTC        2108    44   155    10  1899      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST        1           >2.540      >2.540     NA         NA    CTC        2108    33   112     2  1961      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 9           >0.254      >0.254     NA         NA    CTC        2108    61   239    22  1786      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 9           >0.635      >0.635     NA         NA    CTC        2108    55   204    18  1831      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 9           >1.270      >1.270     NA         NA    CTC        2108    44   161    10  1893      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 9           >2.540      >2.540     NA         NA    CTC        2108    33   114     2  1959      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 25          >0.254      >0.254     NA         NA    CTC        2108    61   242    22  1783      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 25          >0.635      >0.635     NA         NA    CTC        2108    55   211    18  1824      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 25          >1.270      >1.270     NA         NA    CTC        2108    45   165     9  1889      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    DW_MEAN_SQUARE 25          >2.540      >2.540     NA         NA    CTC        2108    33   117     2  1956      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    LS_FIT_SQUARE  9           >0.254      >0.254     NA         NA    CTC        2108    61   244    22  1781      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    LS_FIT_SQUARE  9           >0.635      >0.635     NA         NA    CTC        2108    55   210    18  1825      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    LS_FIT_SQUARE  9           >1.270      >1.270     NA         NA    CTC        2108    45   160     9  1894      0.5
