VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON EC_VALUE
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >0.254      >0.254     NA         NA    CTC        3495   166   593    64  2672      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >0.635      >0.635     NA         NA    CTC        3495   115   472    43  2865      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >1.270      >1.270     NA         NA    CTC        3495    86   372    34  3003      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >2.540      >2.540     NA         NA    CTC        3495    47   237    36  3175      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >0.254      >0.254     NA         NA    CTC        3497   165   591    65  2676      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >0.635      >0.635     NA         NA    CTC        3497   115   466    43  2873      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >1.270      >1.270     NA         NA    CTC        3497    84   366    36  3011      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >2.540      >2.540     NA         NA    CTC        3497    47   240    36  3174      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.254      >0.254     NA         NA    CTC        3495   173   636    57  2629      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.635      >0.635     NA         NA    CTC        3495   117   490    41  2847      0.5
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >1.270      >1.270     NA         NA    CTC        3495    86   380    34  2995      0.5
