VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL F_RATE   H_RATE   O_RATE
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >0.254      >0.254     NA         NA    FHO        3495 0.21717  0.047496 0.065808
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >0.635      >0.635     NA         NA    FHO        3495 0.16795  0.032904 0.045207
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >1.270      >1.270     NA         NA    FHO        3495 0.13104  0.024607 0.034335
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           >2.540      >2.540     NA         NA    FHO        3495 0.081259 0.013448 0.023748
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >0.254      >0.254     NA         NA    FHO        3497 0.21619  0.047183 0.065771
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >0.635      >0.635     NA         NA    FHO        3497 0.16614  0.032885 0.045182
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >1.270      >1.270     NA         NA    FHO        3497 0.12868  0.024021 0.034315
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    NEAREST        1           >2.540      >2.540     NA         NA    FHO        3497 0.08207  0.01344  0.023735
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.254      >0.254     NA         NA    FHO        3495 0.23147  0.049499 0.065808
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >0.635      >0.635     NA         NA    FHO        3495 0.17368  0.033476 0.045207
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >1.270      >1.270     NA         NA    FHO        3495 0.13333  0.024607 0.034335
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 9           >2.540      >2.540     NA         NA    FHO        3495 0.082976 0.013448 0.023748
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 25          >0.254      >0.254     NA         NA    FHO        3492 0.23425  0.050115 0.065865
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 25          >0.635      >0.635     NA         NA    FHO        3492 0.17984  0.034364 0.045246
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 25          >1.270      >1.270     NA         NA    FHO        3492 0.13488  0.024628 0.034364
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    DW_MEAN_SQUARE 25          >2.540      >2.540     NA         NA    FHO        3492 0.082474 0.013746 0.023769
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  9           >0.254      >0.254     NA         NA    FHO        3495 0.23691  0.050072 0.065808
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  9           >0.635      >0.635     NA         NA    FHO        3495 0.1814   0.034049 0.045207
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  9           >1.270      >1.270     NA         NA    FHO        3495 0.13534  0.024893 0.034335
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  9           >2.540      >2.540     NA         NA    FHO        3495 0.082976 0.013734 0.023748
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  25          >0.254      >0.254     NA         NA    FHO        3492 0.24914  0.052119 0.065865
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  25          >0.635      >0.635     NA         NA    FHO        3492 0.18814  0.035223 0.045246
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  25          >1.270      >1.270     NA         NA    FHO        3492 0.14462  0.026632 0.034364
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    LS_FIT_SQUARE  25          >2.540      >2.540     NA         NA    FHO        3492 0.086483 0.014032 0.023769
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    BILIN          4           >0.254      >0.254     NA         NA    FHO        3495 0.22718  0.049213 0.065808
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    BILIN          4           >0.635      >0.635     NA         NA    FHO        3495 0.17368  0.03319  0.045207
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    BILIN          4           >1.270      >1.270     NA         NA    FHO        3495 0.13362  0.024607 0.034335
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_113000 20120410_123000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    BILIN          4           >2.540      >2.540     NA         NA    FHO        3495 0.08412  0.013734 0.023748
