VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE OBS_SID OBS_LAT OBS_LON    FCST        OBS  OBS_QC FCST_CAT OBS_CAT P1    P2    T1  T2     SEEPS
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71940   55.18 -118.88     0           0       NA        0       0 0.78  0.927 0.2  2.2   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71943   56.23 -120.73     0           0       NA        0       0 0.777 0.926 0.2  3     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71951   54.46 -128.58     0.25        0       NA        1       0 0.516 0.839 0.2  4.4   0.969
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71831   49.41  -82.46     0.625       1       NA        1       1 0.648 0.883 0.2  5     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71930   54.14 -115.78     0           0       NA        0       0 0.689 0.896 0.2  4     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71945   58.83 -122.59     0           0       NA        0       0 0.81  0.937 0.2  2.4   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71120   54.39 -110.28     0           0       NA        0       0 0.782 0.927 0.2  3     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71129   51.51 -109.18     0           0       NA        0       0 0.805 0.935 0.2  3.667 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71135   49.16 -105.98     0           0       NA        0       0 0.82  0.94  0.2  3.133 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71137   49.07 -107.58     0           0       NA        0       0 0.657 0.886 0.2  2.2   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71171   43.18  -79.4      0           0       NA        0       0 0.679 0.893 0.2  8     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71187   49.13  -68.19     1.625       0       NA        1       0 0.549 0.85  0.2  5.5   0.91
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71197   47.56  -59.16    13.875       5       NA        2       1 0.497 0.832 0.2  5     0.601
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71260   46.48  -84.51     0.25       -0.1     NA        1       0 0.657 0.886 0.2  6.6   0.761
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71316   54.77 -112.02     0           0       NA        0       0 0.667 0.889 0.2  2     0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71352   43.65  -80.42     0.125       0       NA        0       0 0.457 0.819 0.2  4.233 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71368   43.46  -80.38     0           0       NA        0       0 0.457 0.819 0.2  3.667 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71377   45.43  -73.93     2.75        0       NA        1       0 0.59  0.863 0.2  6     0.848
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71379   48.83  -72.55     0.375       0       NA        1       0 0.617 0.872 0.2  5     0.811
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71820   44.22  -76.6      0.625       0       NA        1       0 0.611 0.87  0.2  6     0.818
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71411   43.98  -64.66     0.375       0       NA        1       0 0.671 0.89  0.2  8     0.745
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71449   49.02  -95.6      0           0       NA        0       0 0.712 0.904 0.2  4.333 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71456   52.81 -104.59     0           0       NA        0       0 0.714 0.905 0.2  1.5   0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71457   50.55 -111.84     0           0       NA        0       0 0.785 0.928 0.2  2.533 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71486   52.93 -118.03     0.25        0       NA        1       0 0.693 0.898 0.2  1.667 0.721
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71603   43.82  -66.08     0.5        -0.1     NA        1       0 0.579 0.86  0.2  8     0.864
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71642   47.81  -83.35     1.25        1.2     NA        1       1 0.683 0.894 0.2  5.333 0
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71719   48.01  -64.49     4.25        0.9     NA        2       1 0.583 0.861 0.2  4.2   0.581
V12.0.0 FCST  NA   360000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 APCP_24  kg/m^2     A24      TP24    NA        L0      ADPSFC FULL    MEDIAN_SQUARE  9           NA          NA         NA         NA    SEEPS_MPR   71724   46.35  -72.51     0.125       0       NA        0       0 0.632 0.877 0.2  6     0
