VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON EC_VALUE
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273       <=273      NA         NA    CTC         670     0     0   157   513      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273        >273       NA         NA    CTC         670   513   157     0     0      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273       <=273      NA         NA    CTC        2779     0     0   266  2513      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273        >273       NA         NA    CTC        2779  2513   266     0     0      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC LMV     NEAREST     1           <=273       <=273      NA         NA    CTC         397     0     0     0   397      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273        >273       NA         NA    CTC         397   397     0     0     0      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           <=273       <=273      NA         NA    CTC         124     0     0    38    86      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           >273        >273       NA         NA    CTC         124    86    38     0     0      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           <=273       <=273      NA         NA    CTC         320     0     0   115   205      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           >273        >273       NA         NA    CTC         320   205   115     0     0      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA LMV     NEAREST     1           <=273       <=273      NA         NA    CTC          40     0     0     5    35      0.5
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA LMV     NEAREST     1           >273        >273       NA         NA    CTC          40    35     5     0     0      0.5
