VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV  OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER    VALUE_BASER N_PNT CL_1 VALUE_1  CL_2 VALUE_2  CL_3 VALUE_3  CL_4 VALUE_4  CL_5 VALUE_5  CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8 CL_9 VALUE_9 CL_10 VALUE_10 CL_11 VALUE_11 CL_12 VALUE_12 CL_13 VALUE_13  CL_14 VALUE_14  CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           <=273       <=273      NA         NA    ECLV        670 0.23433            0    19 0.05 -4.81481  0.1 -1.75439 0.15 -0.73424  0.2 -0.22417 0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8  0        0.85  0         0.9  0        0.95  0
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC165  NEAREST     1           >273        >273       NA         NA    ECLV        670 0.76567            0    19 0.05  0        0.1  0       0.15  0        0.2  0       0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8 -0.22417  0.85 -0.73424   0.9 -1.75439  0.95 -4.81481
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           <=273       <=273      NA         NA    ECLV       2779 0.095718           0    19 0.05 -1.01114  0.1  0       0.15  0        0.2  0       0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8  0        0.85  0         0.9  0        0.95  0
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC DTC166  NEAREST     1           >273        >273       NA         NA    ECLV       2779 0.90428            0    19 0.05  0        0.1  0       0.15  0        0.2  0       0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8  0        0.85  0         0.9  0        0.95 -1.01114
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC LMV     NEAREST     1           <=273       <=273      NA         NA    ECLV        397 0                 NA    19 0.05 NA        0.1 NA       0.15 NA        0.2 NA       0.25 NA        0.3 NA        0.35 NA         0.4      NA 0.45      NA   0.5       NA  0.55       NA   0.6       NA  0.65 NA          0.7 NA         0.75 NA         0.8 NA        0.85 NA         0.9 NA        0.95 NA
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 T2       K          0,*,*    TMP     NA        Z2       ADPSFC LMV     NEAREST     1           >273        >273       NA         NA    ECLV        397 1                 NA    19 0.05 NA        0.1 NA       0.15 NA        0.2 NA       0.25 NA        0.3 NA        0.35 NA         0.4      NA 0.45      NA   0.5       NA  0.55       NA   0.6       NA  0.65 NA          0.7 NA         0.75 NA         0.8 NA        0.85 NA         0.9 NA        0.95 NA
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           <=273       <=273      NA         NA    ECLV        124 0.30645            0    19 0.05 -7.39535  0.1 -2.97674 0.15 -1.50388  0.2 -0.76744 0.25 -0.32558  0.3 -0.031008 0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8  0        0.85  0         0.9  0        0.95  0
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC165  NEAREST     1           >273        >273       NA         NA    ECLV        124 0.69355            0    19 0.05  0        0.1  0       0.15  0        0.2  0       0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7 -0.031008  0.75 -0.32558   0.8 -0.76744  0.85 -1.50388   0.9 -2.97674  0.95 -7.39535
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           <=273       <=273      NA         NA    ECLV        320 0.35938            0    19 0.05 -9.65854  0.1 -4.04878 0.15 -2.17886  0.2 -1.2439  0.25 -0.68293  0.3 -0.30894  0.35 -0.041812  0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65  0          0.7  0         0.75  0         0.8  0        0.85  0         0.9  0        0.95  0
V12.0.0 FCST  NA   240000    20080808_120000 20080808_120000 000000   20080808_113000 20130510_144000 TT       K          P850     TMP     NA        P850-700 ADPUPA DTC166  NEAREST     1           >273        >273       NA         NA    ECLV        320 0.64062            0    19 0.05  0        0.1  0       0.15  0        0.2  0       0.25  0        0.3  0        0.35  0         0.4       0 0.45       0   0.5        0  0.55        0   0.6        0  0.65 -0.041812   0.7 -0.30894   0.75 -0.68293   0.8 -1.2439   0.85 -2.17886   0.9 -4.04878  0.95 -9.65854
