VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK      INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4  CL_5 VALUE_5   CL_6 VALUE_6    CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9    CL_10 VALUE_10  CL_11 VALUE_11   CL_12 VALUE_12     CL_13 VALUE_13   CL_14 VALUE_14   CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18    CL_19 VALUE_19
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.1       <273.0     NA         NA    ECLV       1146 0.19721     0.61062      19 0.05 -0.81739   0.1  0.13913  0.15  0.45797   0.2  0.61062 0.25  0.61062   0.3  0.61062   0.35  0.61062   0.4  0.61062  0.45   0.61062    0.5   0.61062  0.55   0.61062    0.6   0.61062     0.65   0.61062    0.7   0.61062   0.75   0.61062   0.8   0.61062  0.85   0.61062   0.9    0.61062   0.95    0.61062
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.2       <273.0     NA         NA    ECLV       1146 0.19721     0.56637      19 0.05 -1.02391   0.1  0.041304 0.15  0.39638   0.2  0.56637 0.25  0.56637   0.3  0.56637   0.35  0.56637   0.4  0.56637  0.45   0.56637    0.5   0.56637  0.55   0.56637    0.6   0.56637     0.65   0.56637    0.7   0.56637   0.75   0.56637   0.8   0.56637  0.85   0.56637   0.9    0.56637   0.95    0.56637
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.3       <273.0     NA         NA    ECLV       1146 0.19721     0.4469       19 0.05 -1.58152   0.1 -0.22283  0.15  0.23007   0.2  0.4469  0.25  0.4469    0.3  0.4469    0.35  0.4469    0.4  0.4469   0.45   0.4469     0.5   0.4469   0.55   0.4469     0.6   0.4469      0.65   0.4469     0.7   0.4469    0.75   0.4469    0.8   0.4469   0.85   0.4469    0.9    0.4469    0.95    0.4469
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.4       <273.0     NA         NA    ECLV       1146 0.19721     0.44248      19 0.05 -1.60217   0.1 -0.23261  0.15  0.22391   0.2  0.44248 0.25  0.44248   0.3  0.44248   0.35  0.44248   0.4  0.44248  0.45   0.44248    0.5   0.44248  0.55   0.44248    0.6   0.44248     0.65   0.44248    0.7   0.44248   0.75   0.44248   0.8   0.44248  0.85   0.44248   0.9    0.44248   0.95    0.44248
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.5       <273.0     NA         NA    ECLV       1146 0.19721     0.37168      19 0.05 -1.93261   0.1 -0.38913  0.15  0.12536   0.2  0.37168 0.25  0.37168   0.3  0.37168   0.35  0.37168   0.4  0.37168  0.45   0.37168    0.5   0.37168  0.55   0.37168    0.6   0.37168     0.65   0.37168    0.7   0.37168   0.75   0.37168   0.8   0.37168  0.85   0.37168   0.9    0.37168   0.95    0.37168
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.6       <273.0     NA         NA    ECLV       1146 0.19721     0.34071      19 0.05 -2.07717   0.1 -0.45761  0.15  0.082246  0.2  0.34071 0.25  0.34071   0.3  0.34071   0.35  0.34071   0.4  0.34071  0.45   0.34071    0.5   0.34071  0.55   0.34071    0.6   0.34071     0.65   0.34071    0.7   0.34071   0.75   0.34071   0.8   0.34071  0.85   0.34071   0.9    0.34071   0.95    0.34071
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.7       <273.0     NA         NA    ECLV       1146 0.19721     0.31416      19 0.05 -2.20109   0.1 -0.5163   0.15  0.04529   0.2  0.31416 0.25  0.31416   0.3  0.31416   0.35  0.31416   0.4  0.31416  0.45   0.31416    0.5   0.31416  0.55   0.31416    0.6   0.31416     0.65   0.31416    0.7   0.31416   0.75   0.31416   0.8   0.31416  0.85   0.31416   0.9    0.31416   0.95    0.31416
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.8       <273.0     NA         NA    ECLV       1146 0.19721     0.23009      19 0.05 -2.59348   0.1 -0.70217  0.15 -0.071739  0.2  0.23009 0.25  0.23009   0.3  0.23009   0.35  0.23009   0.4  0.23009  0.45   0.23009    0.5   0.23009  0.55   0.23009    0.6   0.23009     0.65   0.23009    0.7   0.23009   0.75   0.23009   0.8   0.23009  0.85   0.23009   0.9    0.23009   0.95    0.23009
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=0.9       <273.0     NA         NA    ECLV       1146 0.19721     0.20796      19 0.05 -2.69674   0.1 -0.75109  0.15 -0.10254   0.2  0.20796 0.25  0.20796   0.3  0.20796   0.35  0.20796   0.4  0.20796  0.45   0.20796    0.5   0.20796  0.55   0.20796    0.6   0.20796     0.65   0.20796    0.7   0.20796   0.75   0.20796   0.8   0.20796  0.85   0.20796   0.9    0.20796   0.95    0.20796
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           >=1.0       <273.0     NA         NA    ECLV       1146 0.19721     0            19 0.05 -3.66739   0.1 -1.21087  0.15 -0.39203   0.2  0       0.25  0         0.3  0         0.35  0         0.4  0        0.45   0          0.5   0        0.55   0          0.6   0           0.65   0          0.7   0         0.75   0         0.8   0        0.85   0         0.9    0         0.95    0
