VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK      INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_1 ON_1 THRESH_2 OY_2 ON_2 THRESH_3 OY_3 ON_3 THRESH_4 OY_4 ON_4 THRESH_5 OY_5 ON_5 THRESH_6 OY_6 ON_6 THRESH_7 OY_7 ON_7 THRESH_8 OY_8 ON_8 THRESH_9 OY_9 ON_9 THRESH_10 OY_10 ON_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT        1146       11        0   88  920      0.1   10    0      0.2   27    0      0.3    1    0      0.4   16    0      0.5    7    0      0.6    6    0      0.7   19    0      0.8    5    0       0.9    47     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_2  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT        1105       11        0   16  880      0.1    6   17      0.2    3   16      0.3    4    7      0.4   13   16      0.5   16    0      0.6    5    7      0.7   16    7      0.8    8    0       0.9    68     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_3  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT         530       11        0    1  434      0.1    2   11      0.2    3   10      0.3    0    7      0.4    2   27      0.5    7    3      0.6    6    4      0.7    1    4      0.8    0    3       0.9     3     2         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_4  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT         242       11        0    0  214      0.1    0    0      0.2    1   11      0.3    0    1      0.4    1    3      0.5    2    4      0.6    0    3      0.7    1    0      0.8    0    1       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_5  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT         140       11        0    0  125      0.1    0    0      0.2    0    6      0.3    0    1      0.4    0    2      0.5    1    2      0.6    0    2      0.7    0    1      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_6  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT          82       11        0    0   80      0.1    0    1      0.2    0    0      0.3    0    1      0.4    0    0      0.5    0    0      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_7  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT          75       11        0    0   70      0.1    0    0      0.2    0    0      0.3    0    0      0.4    0    0      0.5    0    2      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     3         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_8  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT          33       11        0    0   29      0.1    0    0      0.2    0    2      0.3    0    0      0.4    0    0      0.5    0    1      0.6    0    0      0.7    0    1      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_9  NEAREST     1           ==0.10000   <273.0     NA         NA    PCT          36       11        0    0   33      0.1    0    0      0.2    0    0      0.3    0    3      0.4    0    0      0.5    0    0      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_10 NEAREST     1           ==0.10000   <273.0     NA         NA    PCT          19       11        0    0   16      0.1    0    0      0.2    0    0      0.3    0    0      0.4    0    1      0.5    0    2      0.6    0    0      0.7    0    0      0.8    0    0       0.9     0     0         1
