VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR          FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK      INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 PODY_1   POFD_1    THRESH_2 PODY_2   POFD_2    THRESH_3 PODY_3   POFD_3    THRESH_4 PODY_4   POFD_4    THRESH_5 PODY_5   POFD_5    THRESH_6 PODY_6   POFD_6    THRESH_7 PODY_7   POFD_7    THRESH_8 PODY_8   POFD_8    THRESH_9 PODY_9   POFD_9    THRESH_10 PODY_10 POFD_10 THRESH_11
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_1  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC        1146       11        0  0.61062 0              0.1  0.56637 0              0.2  0.4469  0              0.3  0.44248 0              0.4  0.37168 0              0.5  0.34071 0              0.6  0.31416 0              0.7  0.23009 0              0.8  0.20796 0               0.9       0       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_2  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC        1105       11        0  0.89677 0.073684       0.1  0.85806 0.055789       0.2  0.83871 0.038947       0.3  0.8129  0.031579       0.4  0.72903 0.014737       0.5  0.62581 0.014737       0.6  0.59355 0.0073684      0.7  0.49032 0              0.8  0.43871 0               0.9       0       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_3  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC         530       11        0  0.96    0.14059        0.1  0.88    0.11881        0.2  0.76    0.09901        0.3  0.76    0.085149       0.4  0.68    0.031683       0.5  0.4     0.025743       0.6  0.16    0.017822       0.7  0.12    0.009901       0.8  0.12    0.0039604       0.9       0       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_4  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC         242       11        0  1       0.097046       0.1  1       0.097046       0.2  0.8     0.050633       0.3  0.8     0.046414       0.4  0.6     0.033755       0.5  0.2     0.016878       0.6  0.2     0.0042194      0.7  0       0.0042194      0.8  0       0               0.9       0       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_5  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC         140       11        0  1       0.10072        0.1  1       0.10072        0.2  1       0.057554       0.3  1       0.05036        0.4  1       0.035971       0.5  0       0.021583       0.6  0       0.0071942      0.7  0       0              0.8  0       0               0.9       0       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_6  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC          82       11        0 NA       0.02439        0.1 NA       0.012195       0.2 NA       0.012195       0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_7  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC          75       11        0 NA       0.066667       0.1 NA       0.066667       0.2 NA       0.066667       0.3 NA       0.066667       0.4 NA       0.066667       0.5 NA       0.04           0.6 NA       0.04           0.7 NA       0.04           0.8 NA       0.04            0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_8  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC          33       11        0 NA       0.12121        0.1 NA       0.12121        0.2 NA       0.060606       0.3 NA       0.060606       0.4 NA       0.060606       0.5 NA       0.030303       0.6 NA       0.030303       0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_9  NEAREST     1           ==0.10000   <273.0     NA         NA    PRC          36       11        0 NA       0.083333       0.1 NA       0.083333       0.2 NA       0.083333       0.3 NA       0              0.4 NA       0              0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
V12.0.0 SREF  CLIMO_BINS 150000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 PROB(TMP<273.000) %          Z2       TMP     NA        Z2      ADPSFC CONUS_BIN_10 NEAREST     1           ==0.10000   <273.0     NA         NA    PRC          19       11        0 NA       0.15789        0.1 NA       0.15789        0.2 NA       0.15789        0.3 NA       0.15789        0.4 NA       0.10526        0.5 NA       0              0.6 NA       0              0.7 NA       0              0.8 NA       0               0.9      NA       0         1
