VERSION MODEL DESC      FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH BASER    BASER_NCL BASER_NCU RELIABILITY RESOLUTION UNCERTAINTY ROC_AUC BRIER    BRIER_NCL  BRIER_NCU BRIERCL  BRIERCL_NCL BRIERCL_NCU BSS      BSS_SMPL  THRESH_1 THRESH_2 THRESH_3 THRESH_4 THRESH_5
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.067797  0.026679   0.16176  0.016814     0.030491    0.0632   0.75    0.049523 -0.024695    0.12374 0.066472  -0.0083451     0.14129 0.25498   0.21641         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.067797  0.026679   0.16176  0.0032722    0           0.0632   0.5     0.066472 -0.0083451   0.14129 0.066472  -0.0083451     0.14129 0        -0.051776        0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.067797  0.026679   0.16176  0.0032722    0           0.0632   0.5     0.066472 -0.0083451   0.14129 0.066472  -0.0083451     0.14129 0        -0.051776        0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.067797  0.026679   0.16176  0.011899     0.014983    0.0632   0.625   0.060117 -0.01426     0.13449 0.066472  -0.0083451     0.14129 0.095618  0.048793        0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.15254   0.082385   0.26518  0.020231     0.099981    0.12927  0.93556 0.049523 -0.056871    0.15592 0.13215    0.024192      0.24011 0.62525   0.61691         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.15254   0.082385   0.26518  0.01302      0.086413    0.12927  0.93    0.055879 -0.049864    0.16162 0.13215    0.024192      0.24011 0.57715   0.56774         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.15254   0.082385   0.26518  0.016692     0.090086    0.12927  0.93111 0.055879 -0.049555    0.16131 0.13215    0.024192      0.24011 0.57715   0.56774         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.15254   0.082385   0.26518  0.011287     0.067732    0.12927  0.86667 0.072828 -0.031937    0.17759 0.13639    0.028788      0.24399 0.46602   0.43663         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.084746  0.036742   0.18352  0.016836     0.053351    0.077564 0.98148 0.041049 -0.038382    0.12048 0.079184  -0.0029598     0.16133 0.48161   0.47078         0     0.25      0.5     0.75        1
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           >OCDP90     >OCDP90    ==0.25000  0.05  PSTD         59        5 0.084746  0.036742   0.18352  0.011708     0.039748    0.077564 0.88519 0.049523 -0.030958    0.13    0.079184  -0.0029598     0.16133 0.37458   0.36152         0     0.25      0.5     0.75        1
