VERSION MODEL DESC      FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD  INTERP_PNTS FCST_THRESH    OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_PROB RPS_REL  RPS_RES  RPS_UNC RPS      RPSS    RPSS_SMPL RPS_COMP
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           ==OCDP50.00000 NA         NA         NA    RPS          59      4 0.015769 0.078749 0.11462 0.051642 0.61233   0.54946  0.94836
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           ==OCDP50.00000 NA         NA         NA    RPS          59      9 0.016424 0.081089 0.11462 0.049958 0.63647   0.56415  0.95004
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          ==OCDP50.00000 NA         NA         NA    RPS          59     16 0.026034 0.085124 0.11462 0.055532 0.56648   0.51552  0.94447
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 TMP      K          P850     TMP     NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          ==OCDP50.00000 NA         NA         NA    RPS          59     25 0.032436 0.081817 0.11462 0.065241 0.5083    0.43082  0.93476
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           ==OCDP50.00000 NA         NA         NA    RPS          59      4 0.019185 0.11066  0.20138 0.1099   0.5006    0.45424  0.8901
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           ==OCDP50.00000 NA         NA         NA    RPS          59      9 0.012292 0.1068   0.20138 0.10687  0.46949   0.46929  0.89313
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          ==OCDP50.00000 NA         NA         NA    RPS          59     16 0.049499 0.14642  0.20138 0.10446  0.48754   0.48128  0.89554
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 UGRD     m/s        P850     UGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          ==OCDP50.00000 NA         NA         NA    RPS          59     25 0.039744 0.12536  0.20138 0.11576  0.42646   0.42515  0.88424
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           ==OCDP50.00000 NA         NA         NA    RPS          59      4 0.028047 0.13529  0.1896  0.082362 0.71389   0.5656   0.91764
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           ==OCDP50.00000 NA         NA         NA    RPS          59      9 0.027323 0.13579  0.1896  0.081136 0.63787   0.57207  0.91886
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          ==OCDP50.00000 NA         NA         NA    RPS          59     16 0.033626 0.15207  0.1896  0.071157 0.70333   0.6247   0.92884
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 VGRD     m/s        P850     VGRD    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          ==OCDP50.00000 NA         NA         NA    RPS          59     25 0.03813  0.1437   0.1896  0.084034 0.62857   0.55678  0.91597
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 WIND     m/s        P850     WIND    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 4           ==OCDP50.00000 NA         NA         NA    RPS          59      4 0.007207 0.098412 0.19793 0.10673  0.47458   0.46079  0.89327
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 WIND     m/s        P850     WIND    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 9           ==OCDP50.00000 NA         NA         NA    RPS          59      9 0.03082  0.099697 0.19793 0.12905  0.35939   0.34799  0.87095
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 WIND     m/s        P850     WIND    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 16          ==OCDP50.00000 NA         NA         NA    RPS          59     16 0.050374 0.12061  0.19793 0.1277   0.36023   0.35484  0.8723
V12.0.0 GFS   WMO_CLIMO 120000    20120409_120000 20120409_120000 000000   20120409_103000 20120409_133000 WIND     m/s        P850     WIND    NA        P850    ADPUPA CONUS   NBRHD_SQUARE 25          ==OCDP50.00000 NA         NA         NA    RPS          59     25 0.054356 0.10409  0.19793 0.1482   0.26576   0.25127  0.8518
