VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK  INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL TILE_DIM TILE_XLL TILE_YLL NSCALE ISCALE MSE        ISC       FENERGY2   OENERGY2   BASER    FBIAS
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      0 0.36652     0.19748  0.43835    0.14886    0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      1 0.086136   -0.50881  0.056732   0.031815   0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      2 0.046459    0.18619  0.03286    0.01749    0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      3 0.044522    0.22012  0.039635   0.013618   0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      4 0.029353    0.48583  0.032541   0.01507    0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      5 0.059052   -0.034388 0.055236   0.012533   0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      6 0.013763    0.75893  0.022325   0.0269     0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      7 0.0034268   0.93997  0.0068721  0.0092792  0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      8 0.083804   -0.46797  0.19215    0.022161   0.14886  2.94465
V12.0.0 FCST  NA   240000    20050808_000000 20050808_000000 000000   20050808_000000 20050808_000000 APCP_12  kg/m^2     A12      APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      0 0.062073    0.13799  0.045959   0.028687   0.028687 1.60213
