VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK  INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL TILE_DIM TILE_XLL TILE_YLL NSCALE ISCALE MSE       ISC         FENERGY2  OENERGY2   BASER     FBIAS
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      0 0.19165   -0.012132   0.15485   0.049988   0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      1 0.02301    0.027837   0.013412  0.0097809  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      2 0.029144  -0.23132    0.019985  0.0082817  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      3 0.03511   -0.48339    0.028735  0.0076151  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      4 0.034197  -0.44481    0.028357  0.0075171  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      5 0.02062    0.12883    0.011482  0.0083387  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      6 0.033568  -0.41822    0.027572  0.0043972  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      7 0.0050048  0.78855    0.0013252 0.0015583  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >0.0        >0.0       NA         NA    ISC       16384      128       29       29      7      8 0.010995   0.53546    0.023977  0.0024988  0.049988   3.09768
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      0 0.15625   -0.00040815 0.15271   0.0050049  0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      1 0.015533   0.20436    0.013824  0.00177    0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      2 0.021896  -0.12155    0.019684  0.0017242  0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      3 0.029219  -0.49661    0.028465  0.00092125 0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      4 0.028374  -0.45335    0.028059  0.00038195 0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      5 0.011555   0.40816    0.011315  0.00010347 0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      6 0.026659  -0.36549    0.0268    7.2211e-05 0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      7 0.0011971  0.93869    0.0012425 6.6906e-06 0.0050049 30.5122
V12.0.0 FCST  NA   120000    20050807_120000 20050807_120000 120000   20120409_120000 20120409_120000 FCST     None       Surface  APCP_12 kg/m^2    A12     MC_PCP TILE_TOT NONE        NA          >=5.0       >=5.0      NA         NA    ISC       16384      128       29       29      7      8 0.021817  -0.11748    0.02332   2.5049e-05 0.0050049 30.5122
